RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,25364,Paul Casey,21.18,36,170
2,0,25572,Graeme McDowell,20.83,35,168
3,0,36689,Brooks Koepka,20.69,30,145
4,0,34174,John Huh,20.66,56,271
5,0,30925,Dustin Johnson,20.13,30,149
6,0,21528,Henrik Stenson,19.53,25,128
7,0,23320,Ryan Palmer,19.50,47,241
8,0,24502,Adam Scott,19.38,44,227
9,0,25804,Bubba Watson,18.97,33,174
10,0,33122,Russell Knox,18.95,58,306
11,0,33141,Keegan Bradley,18.94,50,264
12,0,20593,Greg Chalmers,18.82,51,271
13,0,02206,David Toms,18.65,36,193
14,0,32839,Hideki Matsuyama,18.60,48,258
15,0,20104,Ken Duke,18.50,47,254
16,0,29221,Webb Simpson,18.49,49,265
17,0,19846,Brian Gay,18.34,42,229
18,0,30852,Ryo Ishikawa,18.33,44,240
19,0,21209,Sergio Garcia,18.18,24,132
20,0,30927,Brendon Todd,18.07,60,332
21,0,06522,Ernie Els,18.02,40,222
22,0,20396,Lee Westwood,17.96,30,167
23,0,25834,Daniel Summerhays,17.94,54,301
24,0,31202,William McGirt,17.89,56,313
25,0,23983,Luke Donald,17.81,26,146
26,0,29461,Jamie Lovemark,17.79,29,163
27,0,23541,Ben Crane,17.73,50,282
28,0,25632,Jimmy Walker,17.62,46,261
29,0,28259,Sangmoon Bae,17.57,42,239
30,0,31560,Brian Stuard,17.54,50,285
31,0,34099,Harris English,17.51,52,297
32,0,24912,Will MacKenzie,17.43,42,241
32,0,23621,Rory Sabbatini,17.43,38,218
34,0,26758,David Hearn,17.41,55,316
35,0,20157,Retief Goosen,17.38,53,305
36,0,28237,Rory McIlroy,17.37,29,167
37,0,27141,J.B. Holmes,17.36,46,265
38,0,30750,Tommy Gainey,17.30,41,237
38,0,30944,Jason Kokrak,17.30,41,237
40,0,30926,Chris Kirk,17.28,52,301
41,0,35539,Luke Guthrie,17.25,49,284
42,0,32150,Michael Thompson,17.21,37,215
43,0,24358,Robert Garrigus,17.16,46,268
44,0,27649,Brandt Snedeker,17.14,42,245
45,0,32200,Roberto Castro,17.11,32,187
45,0,08075,Jerry Kelly,17.11,45,263
47,0,24357,K.J. Choi,17.08,41,240
48,0,29479,Scott Brown,17.01,49,288
48,0,21731,Freddie Jacobson,17.01,50,294
50,0,29478,Kevin Kisner,16.98,45,265
51,0,33418,Shawn Stefani,16.96,39,230
52,0,27644,Brian Harman,16.91,58,343
53,0,28475,Jeff Overton,16.88,39,231
54,0,22046,Geoff Ogilvy,16.86,44,261
55,0,25240,D.A. Points,16.84,33,196
56,0,32366,Kevin Chappell,16.82,54,321
57,0,24490,George McNeill,16.79,44,262
58,0,22293,Heath Slocum,16.74,40,239
59,0,25686,Jason Dufner,16.67,27,162
60,0,25191,Gonzalo Fernandez-Castaño,16.60,44,265
61,0,26679,Kevin Stadler,16.59,36,217
62,0,31323,Gary Woodland,16.54,44,266
63,0,22621,Ben Curtis,16.53,40,242
64,0,33413,Ben Martin,16.52,38,230
65,0,26851,Marc Leishman,16.42,45,274
66,0,32334,Charlie Beljan,16.28,42,258
67,0,35541,John Peterson,16.23,31,191
68,0,29535,Brice Garnett,16.19,45,278
69,0,25562,Andres Romero,16.13,45,279
70,0,27466,Spencer Levin,16.11,34,211
71,0,27963,Chris Stroud,16.06,44,274
72,0,29926,Danny Lee,16.03,42,262
73,0,26331,Charl Schwartzel,16.02,29,181
74,0,34264,Hudson Swafford,15.98,39,244
75,0,27095,Nick Watney,15.96,34,213
76,0,33461,Morgan Hoffmann,15.91,49,308
76,0,28780,Nicholas Thompson,15.91,42,264
78,0,23409,James Driscoll,15.88,37,233
79,0,34431,Robert Streb,15.75,40,254
80,0,34261,Scott Langley,15.68,45,287
81,0,27214,Kevin Streelman,15.58,31,199
82,0,20229,Stewart Cink,15.57,45,289
83,0,26300,Matt Jones,15.49,35,226
84,0,23623,Bo Van Pelt,15.42,39,253
85,0,20645,John Senden,15.41,47,305
86,0,28307,Matt Every,15.35,35,228
87,0,10809,Jim Furyk,15.29,37,242
88,0,10860,Justin Leonard,15.19,36,237
89,0,26596,Ryan Moore,15.15,35,231
89,0,28132,Tyrone Van Aswegen,15.15,35,231
91,0,27770,Camilo Villegas,15.12,49,324
92,0,30692,Scott Stallings,15.04,34,226
93,0,12510,Chad Campbell,14.97,28,187
94,0,29222,Billy Hurley III,14.96,41,274
95,0,27436,Graham DeLaet,14.86,37,249
96,0,22378,Trevor Immelman,14.73,38,258
97,0,07867,Woody Austin,14.71,30,204
98,0,25396,Kevin Na,14.70,41,279
99,0,33419,Cameron Tringale,14.67,49,334
100,0,23108,Matt Kuchar,14.65,40,273
101,0,24846,Ricky Barnes,14.57,44,302
102,0,29425,Andrew Svoboda,14.56,38,261
103,0,34265,Will Wilcox,14.53,26,179
104,0,24925,Jonathan Byrd,14.50,38,262
105,0,28486,Michael Putnam,14.48,54,373
106,0,25345,Carl Pettersson,14.46,47,325
107,0,24361,Pat Perez,14.44,40,277
108,0,35732,Wes Roach,14.43,28,194
109,0,27936,Martin Laird,14.41,32,222
110,0,29740,Brad Fritsch,14.29,25,175
111,0,25444,Justin Hicks,14.20,50,352
112,0,23800,Bryce Molder,14.17,34,240
113,0,34046,Jordan Spieth,14.12,37,262
114,0,01810,Phil Mickelson,14.10,22,156
114,0,29289,S.Y. Noh,14.10,44,312
116,0,24924,Bill Haas,14.09,41,291
116,0,21878,Mark Wilson,14.09,31,220
118,0,23135,Tim Clark,14.08,30,213
118,0,21961,Charles Howell III,14.08,48,341
120,0,34098,Russell Henley,14.07,37,263
121,0,34409,David Lingmerth,13.86,37,267
122,0,28089,Jason Day,13.82,17,123
122,0,32102,Rickie Fowler,13.82,34,246
124,0,20098,Stuart Appleby,13.76,45,327
125,0,26956,Bronson La'Cassie,13.74,18,131
126,0,24024,Zach Johnson,13.67,38,278
127,0,27895,Jonas Blixt,13.61,20,147
128,0,24138,Ian Poulter,13.55,21,155
129,0,32640,Troy Merritt,13.47,26,193
130,0,34360,Patrick Reed,13.39,32,239
131,0,01724,Jeff Maggert,13.38,21,157
132,0,30110,Kyle Stanley,13.31,35,263
