RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,20099,Doug Barron,46.11,83,180
2,0,01928,Corey Pavin,45.73,107,234
3,0,08537,J.P. Hayes,45.68,74,162
4,0,20593,Greg Chalmers,45.24,57,126
4,0,01249,John Daly,45.24,57,126
6,0,07457,Steve Flesch,44.89,202,450
7,0,21949,Joe Ogilvie,44.44,136,306
8,0,22378,Trevor Immelman,43.86,150,342
9,0,01810,Phil Mickelson,43.14,132,306
10,0,01685,J.L. Lewis,43.06,93,216
10,0,01941,Tom Pernice Jr.,43.06,155,360
12,0,01035,Tommy Armour III,42.93,85,198
13,0,26420,Richard Johnson,42.90,139,324
14,0,10565,Ian Leggatt,42.78,77,180
15,0,06012,Greg Kraft,42.74,100,234
16,0,20098,Stuart Appleby,42.59,138,324
16,0,25936,Alex Aragon,42.59,46,108
16,0,23614,Rich Beem,42.59,115,270
16,0,24361,Pat Perez,42.59,69,162
20,0,20229,Stewart Cink,42.50,153,360
21,0,20121,Todd Fischer,42.48,130,306
22,0,07867,Woody Austin,42.42,168,396
23,0,25935,John Engler Jr.,42.36,61,144
23,0,20127,Chris Riley,42.36,122,288
25,0,20631,David McKenzie,42.31,99,234
26,0,12755,Vance Veazey,42.22,76,180
27,0,01388,Robert Gamez,42.16,129,306
28,0,01577,Lee Janzen,42.13,91,216
29,0,10505,Shane Bertsch,42.11,144,342
30,0,23135,Tim Clark,41.98,136,324
31,0,10860,Justin Leonard,41.85,113,270
31,0,07013,Wes Short Jr.,41.85,113,270
33,0,02239,Scott Verplank,41.81,143,342
34,0,06522,Ernie Els,41.67,120,288
34,0,21731,Freddie Jacobson,41.67,75,180
34,0,01761,Len Mattiace,41.67,60,144
37,0,01161,Mark Calcavecchia,41.53,157,378
38,0,06034,Marco Dawson,41.50,127,306
39,0,11123,Chris Couch,41.41,82,198
39,0,12602,Dean Wilson,41.41,164,396
41,0,01473,Todd Hamilton,41.36,67,162
41,0,12680,Shigeki Maruyama,41.36,134,324
41,0,12660,Jesper Parnevik,41.36,134,324
41,0,23325,Vaughn Taylor,41.36,134,324
45,0,21470,Daisuke Maruyama,41.32,119,288
46,0,24924,Bill Haas,41.23,141,342
46,0,08075,Jerry Kelly,41.23,141,342
46,0,10423,Mike Weir,41.23,141,342
49,0,02214,Kirk Triplett,41.20,89,216
50,0,21878,Mark Wilson,41.11,111,270
51,0,23718,Nathan Green,41.06,170,414
52,0,06567,Vijay Singh,40.97,177,432
53,0,22548,Patrick Sheehan,40.85,125,306
54,0,22946,Henrik Bjornstad,40.74,132,324
54,0,19881,Robert Damron,40.74,110,270
56,0,20572,Rod Pampling,40.56,146,360
57,0,21805,Harrison Frazar,40.43,131,324
58,0,19824,Craig Barlow,40.37,109,270
58,0,23788,D.J. Trahan,40.37,109,270
60,0,25345,Carl Pettersson,40.35,138,342
61,0,23673,Michael Connell,40.28,29,72
61,0,01887,Mark O'Meara,40.28,58,144
61,0,20548,Hidemichi Tanaka,40.28,58,144
64,0,20850,Daniel Chopra,40.21,152,378
65,0,23048,Eric Axley,40.20,123,306
65,0,20094,Jonathan Kaye,40.20,123,306
67,0,27120,Troy Matteson,40.12,130,324
68,0,27095,Nick Watney,40.06,137,342
69,0,01132,Mark Brooks,40.00,72,180
70,0,28780,Nicholas Thompson,39.93,115,288
71,0,01219,John Cook,39.90,79,198
71,0,23409,James Driscoll,39.90,79,198
73,0,01320,Bob Estes,39.87,122,306
73,0,20634,Peter Lonard,39.87,122,306
75,0,24138,Ian Poulter,39.81,86,216
76,0,27770,Camilo Villegas,39.77,136,342
77,0,12823,Carlos Franco,39.68,100,252
78,0,19846,Brian Gay,39.65,157,396
79,0,06527,Steve Stricker,39.63,107,270
79,0,02206,David Toms,39.63,107,270
81,0,22293,Heath Slocum,39.54,121,306
82,0,10885,Robert Allenby,39.51,128,324
82,0,23621,Rory Sabbatini,39.51,128,324
84,0,23349,Charles Warren,39.47,135,342
85,0,23320,Ryan Palmer,39.44,142,360
85,0,11011,Mike Sposa,39.44,71,180
87,0,24507,Jason Bohn,39.37,163,414
88,0,01329,Brad Faxon,39.32,92,234
89,0,24925,Jonathan Byrd,39.29,99,252
90,0,23541,Ben Crane,39.22,120,306
91,0,23497,Tag Ridings,39.20,127,324
92,0,24781,Hunter Mahan,39.15,148,378
93,0,01042,Paul Azinger,38.89,112,288
93,0,12510,Chad Campbell,38.89,133,342
93,0,23983,Luke Donald,38.89,105,270
93,0,20157,Retief Goosen,38.89,98,252
93,0,11032,Frank Lickliter II,38.89,147,378
93,0,28475,Jeff Overton,38.89,140,360
93,0,21660,Jason Schultz,38.89,77,198
93,0,25804,Bubba Watson,38.89,105,270
101,0,23623,Bo Van Pelt,38.65,160,414
102,0,12716,Charley Hoffman,38.62,146,378
103,0,01707,Steve Lowery,38.61,139,360
104,0,06251,Chris DiMarco,38.52,104,270
105,0,08835,Kris Cox,38.49,97,252
106,0,07749,Brett Quigley,38.36,145,378
107,0,06197,Michael Allen,38.24,117,306
107,0,20472,Alex Cejka,38.24,117,306
107,0,01948,Tim Petrovic,38.24,117,306
110,0,21407,Arjun Atwal,38.19,110,288
110,0,24980,Scott Gutschewski,38.19,55,144
112,0,22892,Jason Gore,38.15,103,270
112,0,06575,Dudley Hart,38.15,103,270
114,0,01724,Jeff Maggert,38.10,96,252
115,0,21959,Ted Purdy,38.01,130,342
116,0,26596,Ryan Moore,37.96,82,216
116,0,02110,Jerry Smith,37.96,123,324
116,0,08793,Tiger Woods,37.96,82,216
119,0,01139,Olin Browne,37.92,157,414
120,0,22046,Geoff Ogilvy,37.85,109,288
120,0,24502,Adam Scott,37.85,109,288
122,0,01599,Steve Jones,37.78,102,270
123,0,22371,Aaron Baddeley,37.70,95,252
124,0,08385,Omar Uresti,37.65,61,162
124,0,20812,Tjaart van der Walt,37.65,61,162
126,0,10809,Jim Furyk,37.57,142,378
127,0,06004,Stephen Ames,37.50,81,216
127,0,08123,Jeff Brehaut,37.50,108,288
127,0,23616,Ryan Hietala,37.50,54,144
127,0,22405,Justin Rose,37.50,135,360
127,0,23322,Brett Wetterich,37.50,108,288
132,0,20628,Arron Oberholser,37.43,128,342
133,0,27141,J.B. Holmes,37.41,101,270
134,0,21753,Brian Davis,37.35,121,324
135,0,24357,K.J. Choi,37.30,141,378
135,0,01666,Bernhard Langer,37.30,94,252
135,0,25842,Jon Mills,37.30,47,126
138,0,22621,Ben Curtis,37.25,114,306
139,0,06595,Kevin Sutherland,37.22,134,360
140,0,21350,Ryuji Imada,37.04,140,378
140,0,06515,Shaun Micheel,37.04,120,324
140,0,24140,Sean O'Hair,37.04,140,378
143,0,21961,Charles Howell III,36.84,126,342
144,0,20105,Jeff Gove,36.81,106,288
145,0,02104,Jeff Sluman,36.77,139,378
146,0,01766,Billy Mayfair,36.73,119,324
147,0,01226,Fred Couples,36.67,66,180
147,0,24358,Robert Garrigus,36.67,99,270
149,0,01706,Davis Love III,36.60,112,306
150,0,02246,Duffy Waldorf,36.55,125,342
151,0,01024,Billy Andrade,36.51,92,252
152,0,07223,Brian Bateman,36.42,59,162
152,0,22913,John Rollins,36.42,118,324
152,0,25632,Jimmy Walker,36.42,59,162
155,0,21646,David Branshaw,36.39,131,360
156,0,06373,José María Olazábal,36.32,85,234
157,0,20382,Stephen Leaney,36.30,98,270
158,0,20378,Mathias Grönberg,36.11,104,288
158,0,27943,Matt Hansen,36.11,65,180
160,0,08375,Paul Stankowski,35.90,84,234
161,0,12645,Brent Geiberger,35.83,129,360
162,0,20691,Greg Owen,35.76,103,288
163,0,26360,Bubba Dickerson,35.49,115,324
164,0,09011,David Duval,35.35,70,198
164,0,12760,Danny Ellis,35.35,70,198
166,0,20498,Briny Baird,35.19,95,270
166,0,01313,Steve Elkington,35.19,57,162
166,0,12662,Thomas Levet,35.19,57,162
169,0,24024,Zach Johnson,35.09,120,342
170,0,23353,J.J. Henry,35.00,126,360
171,0,12782,Tim Herron,34.92,88,252
171,0,19913,Ron Whittaker,34.92,88,252
173,0,02223,Bob Tway,34.81,94,270
174,0,06643,Paul Goydos,34.72,75,216
174,0,01553,John Huston,34.72,75,216
174,0,10733,Kent Jones,34.72,125,360
177,0,02106,Chris Smith,34.62,81,234
178,0,06573,Brandt Jobe,34.57,112,324
178,0,01823,Larry Mize,34.57,56,162
180,0,20645,John Senden,34.50,118,342
181,0,01381,Fred Funk,34.44,155,450
182,0,20766,Padraig Harrington,34.34,68,198
183,0,25240,D.A. Points,34.19,80,234
184,0,20574,Mathew Goggin,33.84,67,198
185,0,02101,Joey Sindelar,33.68,97,288
186,0,06621,Joe Durant,33.33,132,396
186,0,21209,Sergio Garcia,33.33,72,216
186,0,25900,Lucas Glover,33.33,126,378
186,0,06350,Bob May,33.33,66,198
186,0,01945,Kenny Perry,33.33,90,270
186,0,23307,Roger Tambellini,33.33,48,144
192,0,20608,David Howell,32.83,65,198
193,0,24912,Will MacKenzie,31.94,92,288
194,0,01619,Skip Kendall,31.85,86,270
195,0,01142,Bart Bryant,31.48,102,324
196,0,01677,Tom Lehman,31.02,67,216
