RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
1,0,02206,David Toms,.16,1,611,-1.00
2,0,24781,Hunter Mahan,.78,7,892,+0.14
3,0,26331,Charl Schwartzel,.91,5,552,+0.40
4,0,23135,Tim Clark,1.01,7,695,+0.14
5,0,08793,Tiger Woods,1.20,8,666,+0.13
6,0,20645,John Senden,1.29,11,855,+0.36
7,0,29476,Kyle Reifers,1.37,14,1023,+0.64
8,0,06527,Steve Stricker,1.46,11,754,+0.36
9,0,26329,Louis Oosthuizen,1.49,10,670,+1.20
10,0,25572,Graeme McDowell,1.51,8,531,+0.38
11,0,34174,John Huh,1.52,18,1185,+0.56
12,0,32200,Roberto Castro,1.53,16,1044,+0.81
13,0,20572,Rod Pampling,1.57,15,958,+0.73
14,0,21878,Mark Wilson,1.59,15,941,+0.60
15,0,22621,Ben Curtis,1.64,11,669,+1.00
16,0,31202,William McGirt,1.65,18,1092,+0.67
17,0,10809,Jim Furyk,1.66,15,905,+0.47
18,0,23204,Gary Christian,1.72,18,1044,+0.89
19,0,21753,Brian Davis,1.74,19,1095,+0.47
20,0,23108,Matt Kuchar,1.75,16,912,+0.31
21,0,08075,Jerry Kelly,1.78,18,1013,+1.11
22,0,22405,Justin Rose,1.91,14,733,+0.57
23,0,22293,Heath Slocum,1.92,20,1043,+0.30
24,0,24024,Zach Johnson,1.95,20,1028,+0.85
24,0,24663,Y.E. Yang,1.95,13,668,+1.15
26,0,28475,Jeff Overton,1.96,25,1274,+0.76
27,0,06522,Ernie Els,2.01,18,895,+0.56
28,0,24357,K.J. Choi,2.04,16,784,+0.56
29,0,23638,Brendon de Jonge,2.05,29,1413,+0.55
30,0,33122,Russell Knox,2.06,16,778,+0.63
31,0,06251,Chris DiMarco,2.10,21,999,+0.76
32,0,24924,Bill Haas,2.12,18,849,+0.33
33,0,21731,Freddie Jacobson,2.13,13,611,+1.00
33,0,24502,Adam Scott,2.13,12,564,+0.92
35,0,28259,Sangmoon Bae,2.15,17,790,+0.82
35,0,30711,Colt Knost,2.15,20,929,+1.05
37,0,28237,Rory McIlroy,2.16,12,556,+0.50
38,0,26951,Johnson Wagner,2.17,23,1061,+0.57
39,0,06036,Scott Dunlap,2.18,14,641,+0.36
40,0,26289,Boo Weekley,2.23,18,806,+0.72
41,0,01797,Rocco Mediate,2.24,18,805,+0.67
42,0,28455,Will Claxton,2.27,27,1192,+0.70
43,0,25457,Alexandre Rocha,2.29,16,698,+0.44
44,0,27060,John Mallinger,2.30,20,871,+0.80
45,0,10213,Dicky Pride,2.35,16,680,+0.31
46,0,30852,Ryo Ishikawa,2.36,12,508,+0.42
47,0,30926,Chris Kirk,2.38,28,1178,+0.61
48,0,35139,Richard Lee,2.39,19,795,+0.74
49,0,29420,Billy Horschel,2.40,16,667,+0.63
50,0,01724,Jeff Maggert,2.41,26,1081,+0.27
51,0,20593,Greg Chalmers,2.42,25,1032,+0.60
51,0,20766,Padraig Harrington,2.42,15,619,+0.33
51,0,24361,Pat Perez,2.42,23,951,+0.78
54,0,23541,Ben Crane,2.44,21,861,+0.81
55,0,27556,Ted Potter Jr.,2.47,21,851,+1.24
56,0,20104,Ken Duke,2.48,31,1250,+0.48
57,0,22961,David Mathis,2.50,24,960,+0.75
58,0,19846,Brian Gay,2.51,27,1077,+0.96
58,0,25240,D.A. Points,2.51,28,1116,+0.71
60,0,20623,Gavin Coles,2.52,20,793,+1.00
60,0,32102,Rickie Fowler,2.52,23,914,+0.65
60,0,20396,Lee Westwood,2.52,14,555,+0.50
63,0,23353,J.J. Henry,2.54,25,986,+0.60
63,0,20691,Greg Owen,2.54,27,1061,+0.41
63,0,22582,Kyle Thompson,2.54,13,512,+0.92
63,0,33419,Cameron Tringale,2.54,27,1061,+0.26
67,0,23623,Bo Van Pelt,2.56,23,900,+0.61
68,0,06573,Brandt Jobe,2.57,16,623,+0.44
69,0,26596,Ryan Moore,2.58,29,1126,+0.69
