RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,28089,Jason Day,31.62,2735,8650,3,9
2,0,30925,Dustin Johnson,27.85,2701,9700,2,12
3,0,24502,Adam Scott,23.71,2063,8700,2,5
4,0,34046,Jordan Spieth,21.36,1965,9200,2,6
5,0,21528,Henrik Stenson,21.01,1387,6600,1,4
6,0,21209,Sergio Garcia,18.26,1306,7150,1,4
7,0,33122,Russell Knox,17.86,2001,11200,2,4
8,0,01810,Phil Mickelson,15.88,1532,9650,0,6
9,0,25804,Bubba Watson,15.06,1235,8200,1,3
10,0,29974,Branden Grace,14.47,1187,8200,1,6
11,0,32839,Hideki Matsuyama,14.39,1468,10200,1,7
12,0,27649,Brandt Snedeker,14.13,1717,12150,1,7
13,0,36689,Brooks Koepka,14.11,1348,9550,0,7
14,0,26331,Charl Schwartzel,13.91,1127,8100,1,3
15,0,32139,Danny Willett,13.41,691,5150,1,1
16,0,28237,Rory McIlroy,12.71,973,7650,0,6
17,0,25396,Kevin Na,12.53,1529,12200,0,8
18,0,34360,Patrick Reed,12.40,1575,12700,0,9
19,0,26596,Ryan Moore,12.29,1235,10050,1,6
20,0,29478,Kevin Kisner,12.22,1491,12200,1,6
21,0,25632,Jimmy Walker,12.13,1352,11150,1,4
22,0,32366,Kevin Chappell,11.90,1422,11950,0,6
22,0,25572,Graeme McDowell,11.90,1142,9600,1,5
22,0,33448,Justin Thomas,11.90,1512,12700,1,5
25,0,23108,Matt Kuchar,11.58,1349,11650,0,9
26,0,31202,William McGirt,11.28,1360,12050,1,7
27,0,40026,Daniel Berger,10.81,1254,11600,1,5
28,0,46970,Jon Rahm,10.68,481,4500,0,2
29,-1,32102,Rickie Fowler,10.57,1131,10700,0,7
30,-1,27064,Jhonattan Vegas,10.26,1119,10900,1,5
31,-1,22405,Justin Rose,10.18,829,8150,0,5
32,-1,24924,Bill Haas,10.13,1129,11150,0,6
33,-1,25686,Jason Dufner,10.06,1273,12650,1,5
34,-1,26329,Louis Oosthuizen,9.99,769,7700,0,2
35,-1,31646,Emiliano Grillo,9.90,1109,11200,1,1
35,-1,27141,J.B. Holmes,9.90,956,9650,0,5
37,-1,25818,Scott Piercy,9.62,1077,11200,0,3
38,-1,37455,Si Woo Kim,9.46,1382,14600,1,4
39,-1,10809,Jim Furyk,9.16,591,6450,0,3
40,-1,46440,Smylie Kaufman,9.12,1181,12950,1,4
41,-1,12716,Charley Hoffman,8.95,1087,12150,1,1
42,-1,06527,Steve Stricker,8.70,583,6700,0,3
43,-1,29222,Billy Hurley III,8.50,710,8350,1,1
44,-1,21961,Charles Howell III,8.39,931,11100,0,5
45,-1,23983,Luke Donald,8.28,849,10250,0,2
46,-1,34099,Harris English,8.15,1032,12650,0,3
47,-1,31560,Brian Stuard,8.14,680,8350,1,1
48,-1,31323,Gary Woodland,8.13,907,11150,0,2
49,-1,34409,David Lingmerth,7.67,859,11200,0,2
50,-1,28679,Fabián Gómez,7.66,924,12050,1,3
51,-1,29420,Billy Horschel,7.62,694,9100,0,4
52,-1,24024,Zach Johnson,7.47,833,11150,0,5
52,-1,29461,Jamie Lovemark,7.47,904,12100,0,5
54,-1,25834,Daniel Summerhays,7.44,963,12950,0,2
55,-1,22371,Aaron Baddeley,7.35,874,11900,1,5
56,-1,32448,James Hahn,7.34,878,11950,1,2
57,-1,25364,Paul Casey,7.32,710,9700,0,4
58,-1,32200,Roberto Castro,7.23,810,11200,0,3
59,-1,24357,K.J. Choi,7.20,705,9800,0,2
60,-1,20472,Alex Cejka,7.18,754,10500,0,4
61,-1,24507,Jason Bohn,7.17,667,9300,0,3
62,-1,23320,Ryan Palmer,7.10,731,10300,0,2
63,-1,29221,Webb Simpson,7.08,666,9400,0,2
64,-1,29518,Brendan Steele,7.06,791,11200,0,2
65,-1,31557,Jim Herman,6.81,923,13550,1,2
65,-1,23325,Vaughn Taylor,6.81,726,10650,1,1
67,-1,29725,Tony Finau,6.80,864,12700,1,2
68,-1,08075,Jerry Kelly,6.78,692,10200,0,2
69,-1,33204,Shane Lowry,6.69,615,9200,0,2
70,-1,30711,Colt Knost,6.64,803,12100,0,3
71,-1,26851,Marc Leishman,6.54,765,11700,0,2
72,-1,20593,Greg Chalmers,6.26,366,5850,1,1
73,-1,25198,Francesco Molinari,6.25,550,8800,0,3
74,-1,34262,Jon Curran,6.22,840,13500,0,3
75,-1,34021,Bud Cauley,6.20,409,6600,0,3
76,-1,48084,Wesley Bryan,6.08,122,2000,0,1
77,-1,33413,Ben Martin,6.07,741,12200,0,2
78,-1,24358,Robert Garrigus,6.06,558,9200,0,3
