RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,28237,Rory McIlroy,3120,2,8
2,0,30925,Dustin Johnson,2380,3,15,740
3,0,34360,Patrick Reed,1986,1,11,1134
4,0,24502,Adam Scott,1930,2,9,1190
5,0,25364,Paul Casey,1880,0,7,1240
6,0,28089,Jason Day,1440,3,10,1680
7,0,26596,Ryan Moore,1336,1,9,1784
8,0,32366,Kevin Chappell,1320,0,8,1800
9,0,34046,Jordan Spieth,1168,2,8,1952
10,0,33122,Russell Knox,992,2,4,2128
11,0,31646,Emiliano Grillo,902,1,3,2218
12,0,33448,Justin Thomas,748,1,7,2372
13,0,32839,Hideki Matsuyama,728,1,8,2392
14,0,25632,Jimmy Walker,652,1,5,2468
15,0,27649,Brandt Snedeker,592,1,7,2528
16,0,01810,Phil Mickelson,548,0,6,2572
17,0,37455,Si Woo Kim,534,1,5,2586
18,0,23108,Matt Kuchar,526,0,10,2594
19,0,25686,Jason Dufner,522,1,6,2598
20,0,31323,Gary Woodland,510,0,4,2610
21,0,25804,Bubba Watson,478,1,4,2642
22,0,32200,Roberto Castro,448,0,4,2672
23,0,29478,Kevin Kisner,436,1,6,2684
24,0,31202,William McGirt,432,1,7,2688
25,0,26331,Charl Schwartzel,430,1,5,2690
26,0,40026,Daniel Berger,422,1,6,2698
27,0,24140,Sean O'Hair,416,0,2,2704
28,0,25396,Kevin Na,400,0,8,2720
29,0,27064,Jhonattan Vegas,362,1,5,2758
30,0,27141,J.B. Holmes,360,0,6,2760
31,0,32102,Rickie Fowler,1607,0,8,3962
32,0,21209,Sergio Garcia,1566,1,4,4003
33,0,30944,Jason Kokrak,1554,0,4,4015
34,0,23320,Ryan Palmer,1545,0,3,4024
35,0,36689,Brooks Koepka,1541,0,7,4028
36,0,21528,Henrik Stenson,1499,1,4,4070
37,0,25818,Scott Piercy,1497,0,3,4072
38,0,26329,Louis Oosthuizen,1468,0,3,4101
39,0,32448,James Hahn,1452,1,3,4117
40,0,28679,Fabián Gómez,1450,1,4,4119
41,0,29974,Branden Grace,1443,1,6,4126
42,0,31557,Jim Herman,1415,1,2,4154
43,0,46440,Smylie Kaufman,1409,1,4,4160
44,0,12716,Charley Hoffman,1383,1,1,4186
45,0,29725,Tony Finau,1314,1,2,4255
46,0,24924,Bill Haas,1285,0,6,4284
47,0,34099,Harris English,1270,0,3,4299
48,0,25572,Graeme McDowell,1250,1,5,4319
49,0,29461,Jamie Lovemark,1232,0,5,4337
50,0,29420,Billy Horschel,1199,0,5,4370
51,0,22405,Justin Rose,1191,0,5,4378
52,0,21961,Charles Howell III,1191,0,5,4378
53,0,27644,Brian Harman,1187,0,2,4382
54,0,30926,Chris Kirk,1167,0,3,4402
55,0,29222,Billy Hurley III,1121,1,2,4448
56,0,26758,David Hearn,1084,0,2,4485
57,0,24024,Zach Johnson,1071,0,5,4498
58,0,23983,Luke Donald,1055,0,2,4514
59,0,27214,Kevin Streelman,1042,0,2,4527
60,0,31560,Brian Stuard,1040,1,1,4529
61,0,29476,Kyle Reifers,1013,0,5,4556
62,0,23325,Vaughn Taylor,1006,1,1,4563
63,0,29518,Brendan Steele,1001,0,2,4568
64,0,34264,Hudson Swafford,981,0,1,4588
65,0,25834,Daniel Summerhays,975,0,2,4594
66,0,34262,Jon Curran,950,0,3,4619
67,0,34409,David Lingmerth,925,0,2,4644
68,0,26851,Marc Leishman,923,0,2,4646
69,0,22371,Aaron Baddeley,922,1,5,4647
70,0,33413,Ben Martin,901,0,2,4668
71,0,24846,Ricky Barnes,844,0,4,4725
72,0,08075,Jerry Kelly,834,0,2,4735
73,0,12510,Chad Campbell,829,0,3,4740
74,0,36699,Patrick Rodgers,827,0,3,4742
