RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
1,0,24357,K.J. Choi,244.6,774991.000,88
2,0,23135,Tim Clark,244.8,546328.000,62
2,0,22378,Trevor Immelman,244.8,493443.000,56
4,0,26289,Boo Weekley,246.5,1286779.000,145
5,0,10423,Mike Weir,247.2,489530.000,55
6,0,06527,Steve Stricker,247.3,747910.000,84
7,0,30925,Dustin Johnson,247.4,1576642.000,177
8,0,20070,Matt Bettencourt,248.5,1288125.000,144
8,0,20229,Stewart Cink,248.5,1154265.000,129
10,0,26851,Marc Leishman,248.7,1280496.000,143
10,0,24490,George McNeill,248.7,1137083.000,127
12,0,06004,Stephen Ames,249.0,950222.000,106
13,0,01706,Davis Love III,249.1,1192842.000,133
14,0,23623,Bo Van Pelt,249.2,1650419.000,184
15,0,27797,Derek Lamely,249.5,1023896.000,114
16,0,23983,Luke Donald,250.1,540242.000,60
17,0,10809,Jim Furyk,250.2,765709.000,85
18,0,24924,Bill Haas,250.4,1406276.000,156
19,0,25900,Lucas Glover,250.5,1217625.000,135
20,0,10885,Robert Allenby,250.6,1064365.000,118
21,0,29910,Blake Adams,251.3,949735.000,105
21,0,23788,D.J. Trahan,251.3,1764022.000,195
23,0,01161,Mark Calcavecchia,251.5,579511.000,64
23,0,01320,Bob Estes,251.5,887400.000,98
25,0,30946,Alex Prugh,251.7,1476999.000,163
25,0,27770,Camilo Villegas,251.7,1069351.000,118
27,0,22405,Justin Rose,251.9,1061127.000,117
27,0,02239,Scott Verplank,251.9,671085.000,74
29,0,26695,Michael Letzig,252.0,1342619.000,148
30,0,27436,Graham DeLaet,252.1,1624571.000,179
31,0,26287,Roland Thatcher,252.2,1144173.000,126
32,0,20691,Greg Owen,252.4,990488.000,109
33,0,07867,Woody Austin,252.5,1154415.000,127
34,0,27141,J.B. Holmes,252.6,1991734.000,219
35,0,24925,Jonathan Byrd,252.7,1319021.000,145
36,0,01116,Michael Bradley,252.8,773640.000,85
36,0,26420,Richard Johnson,252.8,791852.000,87
38,0,23638,Brendon de Jonge,252.9,1420496.000,156
38,0,20157,Retief Goosen,252.9,974062.000,107
38,0,12782,Tim Herron,252.9,974209.000,107
41,0,27302,Garth Mulroy,253.1,856404.000,94
41,0,29221,Webb Simpson,253.1,1193416.000,131
43,0,28158,Steve Marino,253.2,1075673.000,118
44,0,20850,Daniel Chopra,253.4,1194816.000,131
45,0,21961,Charles Howell III,253.5,1478525.000,162
46,0,24507,Jason Bohn,253.6,1022700.000,112
46,0,22293,Heath Slocum,253.6,958460.000,105
48,0,23108,Matt Kuchar,253.7,1278398.000,140
49,0,24663,Y.E. Yang,253.8,1041751.000,114
50,0,24140,Sean O'Hair,253.9,1197283.000,131
51,0,27214,Kevin Streelman,254.0,1445035.000,158
52,0,32102,Rickie Fowler,254.2,1317763.000,144
52,0,24358,Robert Garrigus,254.2,1363529.000,149
52,0,10860,Justin Leonard,254.2,668057.000,73
55,0,28307,Matt Every,254.3,924545.000,101
55,0,20663,Brenden Pappas,254.3,851333.000,93
57,0,27095,Nick Watney,254.4,1483763.000,162
58,0,20498,Briny Baird,254.7,1035950.000,113
58,0,25364,Paul Casey,254.7,733555.000,80
58,0,01810,Phil Mickelson,254.7,1338806.000,146
58,0,23800,Bryce Molder,254.7,724426.000,79
62,0,26596,Ryan Moore,254.8,1183102.000,129
63,0,06522,Ernie Els,254.9,981958.000,107
63,0,27936,Martin Laird,254.9,1734200.000,189
65,0,28089,Jason Day,255.0,1312711.000,143
66,0,20378,Mathias Grönberg,255.1,927511.000,101
67,0,25632,Jimmy Walker,255.2,1203398.000,131
68,0,25686,Jason Dufner,255.3,1139695.000,124
68,0,08075,Jerry Kelly,255.3,1185429.000,129
68,0,06567,Vijay Singh,255.3,937528.000,102
68,0,23322,Brett Wetterich,255.3,1121496.000,122
72,0,27120,Troy Matteson,255.4,1581451.000,172
72,0,31560,Brian Stuard,255.4,891980.000,97
74,0,21350,Ryuji Imada,255.5,1039556.000,113
75,0,24227,Justin Bolli,255.6,450852.000,49
76,0,27933,John Merrick,255.8,1565702.000,170
77,0,20472,Alex Cejka,256.0,893923.000,97
77,0,21731,Freddie Jacobson,256.0,976971.000,106
77,0,06012,Greg Kraft,256.0,350215.000,38
77,0,28475,Jeff Overton,256.0,1198002.000,130
77,0,23307,Roger Tambellini,256.0,1032057.000,112
82,0,23541,Ben Crane,256.1,857489.000,93
82,0,20105,Jeff Gove,256.1,663915.000,72
84,0,22122,Andrew McLardy,256.2,627191.000,68
84,0,25345,Carl Pettersson,256.2,1014571.000,110
86,0,25396,Kevin Na,256.3,1116514.000,121
86,0,23320,Ryan Palmer,256.3,1273532.000,138
88,0,20098,Stuart Appleby,256.5,1348245.000,146
88,0,01577,Lee Janzen,256.5,914042.000,99
90,0,12705,Cliff Kresge,256.6,572660.000,62
91,0,12510,Chad Campbell,256.7,1145985.000,124
