RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,30925,Dustin Johnson,71.85,171,67,-98,-1
2,0,28237,Rory McIlroy,68.28,99,46,-52,+9
3,0,27436,Graham DeLaet,67.70,174,83,-99,+9
4,0,24358,Robert Garrigus,67.62,142,68,-72,+10
5,0,27141,J.B. Holmes,67.31,208,101,-140,E
6,0,20848,Ángel Cabrera,66.15,127,65,-73,+4
7,0,12716,Charley Hoffman,66.08,189,97,-111,-3
8,0,11123,Chris Couch,65.74,142,74,-76,+2
9,0,23322,Brett Wetterich,65.41,121,64,-57,+1
10,0,23349,Charles Warren,65.33,130,69,-68,+3
11,0,27936,Martin Laird,64.93,187,101,-105,E
12,0,01810,Phil Mickelson,64.84,142,77,-88,-5
13,0,01249,John Daly,64.24,97,54,-53,+16
14,0,23788,D.J. Trahan,64.09,191,107,-110,-8
15,0,22371,Aaron Baddeley,63.88,214,121,-123,-3
16,0,25804,Bubba Watson,61.69,153,95,-114,+3
17,0,27095,Nick Watney,61.45,161,101,-90,-4
18,0,25900,Lucas Glover,61.36,135,85,-79,+1
19,0,23409,James Driscoll,60.75,161,104,-91,+4
20,0,24781,Hunter Mahan,60.32,149,98,-77,E
21,0,28500,Martin Flores,60.17,142,94,-87,+13
21,0,26289,Boo Weekley,60.17,145,96,-71,+3
23,0,25818,Scott Piercy,59.73,175,118,-91,+8
24,0,27770,Camilo Villegas,59.49,116,79,-70,-2
25,0,20378,Mathias Grönberg,59.17,100,69,-45,+1
26,0,27302,Garth Mulroy,59.12,94,65,-56,-6
27,0,22946,Henrik Bjornstad,58.88,126,88,-64,+2
28,0,23623,Bo Van Pelt,58.60,184,130,-119,-15
29,0,21959,Ted Purdy,58.39,160,114,-84,+15
30,0,24924,Bill Haas,58.27,155,111,-89,-15
31,0,20157,Retief Goosen,58.24,106,76,-67,-16
31,0,26679,Kevin Stadler,58.24,159,114,-79,-11
33,0,26596,Ryan Moore,58.11,129,93,-73,-3
34,0,23621,Rory Sabbatini,57.95,153,111,-96,-1
35,0,22913,John Rollins,57.88,158,115,-89,-9
36,0,26851,Marc Leishman,57.61,140,103,-76,-7
37,0,20574,Mathew Goggin,57.56,156,115,-74,E
37,0,25562,Andres Romero,57.56,156,115,-77,+3
39,0,28089,Jason Day,57.55,141,104,-84,+6
40,0,27120,Troy Matteson,57.34,168,125,-71,-10
41,0,10585,Scott McCarron,57.24,170,127,-85,+2
42,0,30946,Alex Prugh,56.84,162,123,-97,+4
43,0,28780,Nicholas Thompson,56.79,159,121,-64,+1
44,0,28307,Matt Every,56.74,101,77,-55,+1
45,0,01706,Davis Love III,56.60,133,102,-85,-19
46,0,20645,John Senden,55.73,175,139,-88,-18
47,0,08725,Tom Gillis,55.21,180,146,-108,-26
48,0,24502,Adam Scott,55.17,112,91,-65,+3
49,0,22056,Cameron Percy,54.95,122,100,-55,+4
50,0,20070,Matt Bettencourt,54.75,144,119,-93,-1
51,0,10885,Robert Allenby,54.67,117,97,-73,-11
51,0,27214,Kevin Streelman,54.67,158,131,-84,-5
53,0,06522,Ernie Els,54.59,107,89,-64,-13
54,0,24912,Will MacKenzie,54.58,131,109,-64,-8
55,0,20850,Daniel Chopra,54.43,129,108,-77,-9
