RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,06527,Steve Stricker,44.77,556,1242
2,0,25396,Kevin Na,44.25,669,1512
3,0,23983,Luke Donald,43.86,529,1206
4,0,28089,Jason Day,43.53,572,1314
5,0,20593,Greg Chalmers,43.24,685,1584
6,0,22046,Geoff Ogilvy,42.76,508,1188
7,0,27649,Brandt Snedeker,42.48,650,1530
8,0,23800,Bryce Molder,41.94,619,1476
9,0,25562,Andres Romero,41.92,581,1386
10,0,20160,Charlie Wi,41.70,623,1494
11,0,26596,Ryan Moore,41.41,559,1350
12,0,29718,Anthony Kim,41.39,529,1278
13,0,24361,Pat Perez,41.37,566,1368
14,0,32102,Rickie Fowler,41.29,602,1458
15,0,11123,Chris Couch,41.25,542,1314
16,0,23108,Matt Kuchar,41.16,652,1584
17,0,26287,Roland Thatcher,41.04,495,1206
18,0,23320,Ryan Palmer,40.97,590,1440
19,0,24663,Y.E. Yang,40.96,435,1062
20,0,27095,Nick Watney,40.91,567,1386
21,0,24024,Zach Johnson,40.74,572,1404
22,0,22371,Aaron Baddeley,40.62,563,1386
23,0,12602,Dean Wilson,40.59,453,1116
24,0,20766,Padraig Harrington,40.40,429,1062
24,0,19970,Robert Karlsson,40.40,429,1062
26,0,25632,Jimmy Walker,40.37,574,1422
27,0,19846,Brian Gay,40.19,651,1620
28,0,26300,Matt Jones,40.14,513,1278
28,0,25240,D.A. Points,40.14,643,1602
30,0,21407,Arjun Atwal,40.05,656,1638
31,0,29221,Webb Simpson,40.02,706,1764
32,0,28158,Steve Marino,39.99,547,1368
33,0,23325,Vaughn Taylor,39.89,639,1602
34,0,07457,Steve Flesch,39.84,631,1584
35,0,21753,Brian Davis,39.68,750,1890
36,0,21350,Ryuji Imada,39.63,592,1494
37,0,24138,Ian Poulter,39.54,363,918
38,0,25274,Steven Bowditch,39.53,612,1548
39,0,23541,Ben Crane,39.50,519,1314
40,0,01810,Phil Mickelson,39.47,547,1386
41,0,30926,Chris Kirk,39.40,617,1566
42,0,27214,Kevin Streelman,39.26,636,1620
43,0,21878,Mark Wilson,39.21,614,1566
44,0,27936,Martin Laird,39.11,535,1368
45,0,24781,Hunter Mahan,39.08,626,1602
45,0,24502,Adam Scott,39.08,415,1062
47,0,09011,David Duval,39.05,471,1206
47,0,27770,Camilo Villegas,39.05,478,1224
49,0,20070,Matt Bettencourt,38.96,589,1512
50,0,25345,Carl Pettersson,38.83,664,1710
51,0,20098,Stuart Appleby,38.80,454,1170
52,0,26331,Charl Schwartzel,38.79,391,1008
53,0,24925,Jonathan Byrd,38.75,572,1476
