RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,06527,Steve Stricker,68.18,750,11
2,0,22405,Justin Rose,69.41,1180,17
3,0,29221,Webb Simpson,69.50,2780,40
4,0,23638,Brendon de Jonge,69.58,4105,59
5,0,33141,Keegan Bradley,69.63,2785,40
6,0,28092,D.H. Lee,69.67,2299,33
6,0,26331,Charl Schwartzel,69.67,1881,27
8,0,23108,Matt Kuchar,69.73,2859,41
9,0,28089,Jason Day,69.84,2654,38
9,0,26300,Matt Jones,69.84,3003,43
11,0,29420,Billy Horschel,69.91,3076,44
12,0,08793,Tiger Woods,69.92,1678,24
13,0,23320,Ryan Palmer,69.95,2868,41
14,0,08075,Jerry Kelly,69.97,2659,38
14,0,27649,Brandt Snedeker,69.97,2309,33
16,0,33461,Morgan Hoffmann,70.00,2100,30
16,0,27770,Camilo Villegas,70.00,2940,42
18,0,23800,Bryce Molder,70.06,3293,47
19,0,32200,Roberto Castro,70.07,3153,45
19,0,30926,Chris Kirk,70.07,3083,44
21,0,27095,Nick Watney,70.10,2944,42
22,0,23983,Luke Donald,70.11,1963,28
22,0,26679,Kevin Stadler,70.11,3155,45
24,0,25632,Jimmy Walker,70.13,2805,40
25,0,25834,Daniel Summerhays,70.15,2736,39
26,0,30944,Jason Kokrak,70.16,2245,32
27,0,34431,Robert Streb,70.19,2527,36
28,0,01810,Phil Mickelson,70.22,2528,36
29,0,25686,Jason Dufner,70.23,2739,39
29,0,27933,John Merrick,70.23,2809,40
31,0,01320,Bob Estes,70.24,2669,38
31,0,10809,Jim Furyk,70.24,2388,34
33,0,24502,Adam Scott,70.25,1686,24
34,0,21961,Charles Howell III,70.28,2741,39
35,0,32102,Rickie Fowler,70.29,2671,38
36,0,24924,Bill Haas,70.31,2250,32
37,0,24781,Hunter Mahan,70.33,2532,36
37,0,26476,Chez Reavie,70.33,2813,40
37,0,33419,Cameron Tringale,70.33,3235,46
37,0,25804,Bubba Watson,70.33,2110,30
41,0,34046,Jordan Spieth,70.34,2251,32
42,0,10860,Justin Leonard,70.38,3519,50
43,0,24494,Erik Compton,70.39,2534,36
44,0,12716,Charley Hoffman,70.43,2606,37
45,0,21209,Sergio Garcia,70.48,1621,23
46,0,27436,Graham DeLaet,70.51,3173,45
46,0,23621,Rory Sabbatini,70.51,2750,39
48,0,23325,Vaughn Taylor,70.52,1622,23
49,0,20160,Charlie Wi,70.53,2821,40
50,0,34099,Harris English,70.55,3316,47
50,0,24024,Zach Johnson,70.55,2187,31
52,0,21528,Henrik Stenson,70.56,1764,25
53,0,31323,Gary Woodland,70.59,3459,49
