RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,12510,Chad Campbell,8,4,4
2,0,08337,Mike Heinen,9,1,8
3,0,06621,Joe Durant,11,10,1
4,0,20645,John Senden,13,6,7
5,0,20498,Briny Baird,15,13,2
6,0,01945,Kenny Perry,23,3,20
7,0,10885,Robert Allenby,24,9,15
8,0,10809,Jim Furyk,31,25,6
9,0,08123,Jeff Brehaut,33,17,16
10,0,02170,Hal Sutton,35,11,24
11,0,06567,Vijay Singh,39,27,12
12,0,01938,David Peoples,51,38,13
13,0,23353,J.J. Henry,55,35,20
14,0,01706,Davis Love III,56,26,30
15,0,02002,John Riegger,57,19,38
15,0,02214,Kirk Triplett,57,38,19
17,0,21805,Harrison Frazar,63,12,51
18,0,10733,Kent Jones,65,24,41
19,0,23338,David Gossett,66,35,31
19,0,06581,David Sutherland,66,56,10
19,0,20548,Hidemichi Tanaka,66,33,33
22,0,01553,John Huston,67,47,20
23,0,20157,Retief Goosen,68,59,9
24,0,07223,Brian Bateman,69,16,53
25,0,08725,Tom Gillis,70,20,50
25,0,02106,Chris Smith,70,52,18
27,0,07941,Mike Grob,71,7,64
27,0,08793,Tiger Woods,71,45,26
29,0,20574,Mathew Goggin,73,28,45
29,0,01677,Tom Lehman,73,68,5
29,0,20095,Carl Paulson,73,2,71
29,0,02101,Joey Sindelar,73,56,17
33,0,06573,Brandt Jobe,75,28,47
34,0,08075,Jerry Kelly,76,42,34
35,0,02223,Bob Tway,77,66,11
36,0,02246,Duffy Waldorf,80,44,36
37,0,08375,Paul Stankowski,82,68,14
38,0,06522,Ernie Els,83,55,28
39,0,01035,Tommy Armour III,85,5,80
39,0,01569,Peter Jacobsen,85,23,62
41,0,19824,Craig Barlow,87,22,65
42,0,23034,Brent Schwarzrock,88,14,74
43,0,10565,Ian Leggatt,92,50,42
44,0,20094,Jonathan Kaye,94,42,52
45,0,23177,Kenneth Staton,97,8,89
46,0,01361,Dan Forsman,101,98,3
46,0,02104,Jeff Sluman,101,77,24
48,0,01766,Billy Mayfair,102,33,69
49,0,12652,Cameron Beckman,104,49,55
