RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,08793,Tiger Woods,68.55,2125,31
2,0,02206,David Toms,68.72,3161,46
3,0,01968,Nick Price,69.25,1385,20
4,0,06251,Chris DiMarco,69.30,2772,40
5,0,01706,Davis Love III,69.36,1942,28
6,0,01810,Phil Mickelson,69.49,2571,37
6,0,06567,Vijay Singh,69.49,3405,49
8,0,01381,Fred Funk,69.50,2641,38
9,0,02106,Chris Smith,69.53,2364,34
10,0,06373,José María Olazábal,69.55,765,11
11,0,02104,Jeff Sluman,69.60,3271,47
12,0,20094,Jonathan Kaye,69.62,2019,29
13,0,02239,Scott Verplank,69.63,2437,35
14,0,10860,Justin Leonard,69.67,2299,33
15,0,01361,Dan Forsman,69.68,1533,22
15,0,01527,Scott Hoch,69.68,1742,25
17,0,21961,Charles Howell III,69.69,2718,39
18,0,08075,Jerry Kelly,69.73,2789,40
18,0,01945,Kenny Perry,69.73,2301,33
20,0,01553,John Huston,69.74,2371,34
20,0,10585,Scott McCarron,69.74,2441,35
20,0,02010,Loren Roberts,69.74,2371,34
23,0,01948,Tim Petrovic,69.75,1395,20
24,0,20127,Chris Riley,69.76,2372,34
25,0,01677,Tom Lehman,69.81,1117,16
26,0,10809,Jim Furyk,69.84,2584,37
27,0,02214,Kirk Triplett,69.85,1886,27
28,0,01329,Brad Faxon,69.90,1398,20
28,0,01761,Len Mattiace,69.90,2027,29
28,0,01766,Billy Mayfair,69.90,1398,20
31,0,12782,Tim Herron,69.94,2378,34
32,0,01320,Bob Estes,69.96,1749,25
33,0,08537,J.P. Hayes,70.00,1400,20
34,0,01219,John Cook,70.04,1821,26
35,0,01307,Joel Edwards,70.05,2592,37
36,0,06078,Esteban Toledo,70.06,2312,33
37,0,23108,Matt Kuchar,70.10,1402,20
37,0,01666,Bernhard Langer,70.10,701,10
39,0,12645,Brent Geiberger,70.11,1262,18
40,0,10885,Robert Allenby,70.12,2384,34
40,0,01920,Craig Parry,70.12,1753,25
42,0,20157,Retief Goosen,70.14,1473,21
43,0,01685,J.L. Lewis,70.15,1824,26
44,0,01797,Rocco Mediate,70.16,1754,25
45,0,21209,Sergio Garcia,70.17,2105,30
45,0,12680,Shigeki Maruyama,70.17,2035,29
47,0,24357,K.J. Choi,70.18,1965,28
47,0,06515,Shaun Micheel,70.18,2737,39
49,0,01024,Billy Andrade,70.19,2246,32
49,0,20229,Stewart Cink,70.19,1474,21
51,0,01926,Steve Pate,70.21,983,14
51,0,02246,Duffy Waldorf,70.21,1685,24
53,0,06575,Dudley Hart,70.26,1897,27
54,0,06522,Ernie Els,70.28,1757,25
55,0,08881,Tripp Isenhour,70.30,1406,20
56,0,20574,Mathew Goggin,70.31,1125,16
57,0,19881,Robert Damron,70.32,1547,22
57,0,08633,Per-Ulrik Johansson,70.32,1758,25
59,0,23125,Brad Elder,70.33,1055,15
59,0,20634,Peter Lonard,70.33,1266,18
61,0,24925,Jonathan Byrd,70.34,2251,32
62,0,06643,Paul Goydos,70.35,1196,17
63,0,01941,Tom Pernice Jr.,70.37,2111,30
64,0,22913,John Rollins,70.38,2604,37
65,0,19846,Brian Gay,70.39,2182,31
66,0,01388,Robert Gamez,70.41,1549,22
67,0,06350,Bob May,70.46,1691,24
68,0,07749,Brett Quigley,70.52,1763,25
69,0,01569,Peter Jacobsen,70.55,1411,20
69,0,23621,Rory Sabbatini,70.55,1552,22
71,0,06617,Brian Henninger,70.56,1129,16
72,0,02223,Bob Tway,70.57,2611,37
73,0,02133,Craig Stadler,70.58,1341,19
74,0,22293,Heath Slocum,70.59,1906,27
75,0,01619,Skip Kendall,70.60,2118,30
76,0,01157,Tom Byrum,70.62,1483,21
77,0,12388,Michael Clark II,70.63,1695,24
77,0,12663,Phil Tataurangi,70.63,1907,27
79,0,20098,Stuart Appleby,70.65,2190,31
79,0,10107,Deane Pappas,70.65,1837,26
81,0,23135,Tim Clark,70.67,1696,24
82,0,12510,Chad Campbell,70.68,2686,38
82,0,23541,Ben Crane,70.68,1767,25
84,0,01938,David Peoples,70.69,2474,35
85,0,20645,John Senden,70.73,1839,26
86,0,08931,Glen Day,70.74,1910,27
87,0,10565,Ian Leggatt,70.75,2264,32
88,0,01577,Lee Janzen,70.76,2689,38
89,0,19958,Miguel Angel Jiménez,70.77,920,13
90,0,22046,Geoff Ogilvy,70.78,1628,23
91,0,07721,Pat Bates,70.79,1699,24
91,0,02101,Joey Sindelar,70.79,2407,34
93,0,01098,Jay Don Blake,70.81,2195,31
93,0,01175,Jim Carter,70.81,1841,26
93,0,01378,David Frost,70.81,1912,27
96,0,23338,David Gossett,70.83,2125,30
97,0,20566,Kaname Yokoo,70.84,1346,19
98,0,01185,Brandel Chamblee,70.86,1488,21
98,0,06012,Greg Kraft,70.86,1488,21
98,0,02099,Scott Simpson,70.86,992,14
101,0,01475,Donnie Hammond,70.88,1205,17
101,0,06573,Brandt Jobe,70.88,2339,33
101,0,11032,Frank Lickliter II,70.88,1843,26
104,0,23353,J.J. Henry,70.90,2198,31
105,0,01707,Steve Lowery,70.91,2411,34
106,0,07867,Woody Austin,70.93,1915,27
106,0,20095,Carl Paulson,70.93,2128,30
108,0,08545,Glen Hnatiuk,70.96,1774,25
109,0,07457,Steve Flesch,70.98,2839,40
110,0,01139,Olin Browne,71.00,1633,23
110,0,01549,Mike Hulbert,71.00,994,14
110,0,10733,Kent Jones,71.00,2130,30
110,0,02002,John Riegger,71.00,1775,25
110,0,10425,Jay Williamson,71.00,1917,27
115,0,23614,Rich Beem,71.03,2273,32
116,0,21633,Steve Allan,71.04,1989,28
117,0,09011,David Duval,71.05,1563,22
117,0,10201,Matt Gogel,71.05,1421,20
119,0,01249,John Daly,71.07,995,14
120,0,06004,Stephen Ames,71.08,1777,25
120,0,08123,Jeff Brehaut,71.08,1777,25
120,0,06332,Neal Lancaster,71.08,1848,26
123,0,07223,Brian Bateman,71.09,1564,22
123,0,12652,Cameron Beckman,71.09,2417,34
123,0,10457,Frank Nobilo,71.09,1635,23
126,0,06621,Joe Durant,71.12,1849,26
127,0,23903,Stephen Gangluff,71.13,1636,23
128,0,01928,Corey Pavin,71.14,1565,22
129,0,06595,Kevin Sutherland,71.15,1423,20
130,0,12660,Jesper Parnevik,71.18,1210,17
131,0,12823,Carlos Franco,71.20,2492,35
131,0,06613,Tommy Tolles,71.20,1424,20
133,0,01226,Fred Couples,71.21,997,14
133,0,21805,Harrison Frazar,71.21,2350,33
135,0,01042,Paul Azinger,71.22,1282,18
136,0,23983,Luke Donald,71.24,2707,38
136,0,02245,Grant Waite,71.24,1496,21
138,0,19972,José Coceres,71.25,1140,16
138,0,01927,Dennis Paulson,71.25,1995,28
140,0,08375,Paul Stankowski,71.26,1924,27
141,0,20572,Rod Pampling,71.27,2352,33
142,0,01457,Jay Haas,71.28,1782,25
142,0,24361,Pat Perez,71.28,2067,29
144,0,02170,Hal Sutton,71.29,1212,17
145,0,20593,Greg Chalmers,71.30,1640,23
146,0,20548,Hidemichi Tanaka,71.32,2639,37
147,0,20029,Notah Begay III,71.35,1427,20
148,0,01161,Mark Calcavecchia,71.36,1570,22
148,0,11011,Mike Sposa,71.36,1570,22
150,0,01887,Mark O'Meara,71.37,1356,19
151,0,10423,Mike Weir,71.42,1714,24
152,0,07003,David Berganio Jr.,71.44,1286,18
152,0,06809,Bob Burns,71.44,1786,25
154,0,06527,Steve Stricker,71.45,786,11
