RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 240-260,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,22348,Nick O'Hern,25.00,237,948,+0.068
2,0,20623,Gavin Coles,24.59,196,797,+0.097
3,0,06251,Chris DiMarco,23.45,235,1002,+0.217
4,0,01941,Tom Pernice Jr.,23.31,169,725,+0.172
5,0,30711,Colt Knost,22.44,210,936,+0.190
6,0,21350,Ryuji Imada,21.70,209,963,+0.091
7,0,29222,Billy Hurley III,21.68,173,798,+0.098
8,0,21878,Mark Wilson,20.74,197,950,+0.102
9,0,23800,Bryce Molder,20.24,201,993,+0.005
10,0,08075,Jerry Kelly,19.67,200,1017,+0.140
11,0,27060,John Mallinger,18.38,161,876,+0.075
12,0,19846,Brian Gay,18.23,198,1086,+0.045
13,0,02206,David Toms,17.92,110,614,+0.064
14,0,20593,Greg Chalmers,17.89,187,1045,+0.091
15,0,24490,George McNeill,17.61,174,988,+0.098
16,0,01116,Michael Bradley,17.56,135,769,+0.141
17,0,23135,Tim Clark,17.34,121,698,+0.058
18,0,21753,Brian Davis,17.08,188,1101,+0.059
19,0,01797,Rocco Mediate,17.06,138,809,+0.080
19,0,10213,Dicky Pride,17.06,117,686,E
21,0,22548,Patrick Sheehan,17.05,105,616,+0.181
22,0,22961,David Mathis,16.93,163,963,+0.117
23,0,01320,Bob Estes,16.78,152,906,+0.086
23,0,10809,Jim Furyk,16.78,152,906,-0.013
25,0,10860,Justin Leonard,16.70,158,946,+0.209
26,0,30927,Brendon Todd,16.63,146,878,+0.055
27,0,20104,Ken Duke,16.51,207,1254,+0.034
28,0,06004,Stephen Ames,16.42,89,542,+0.067
29,0,23204,Gary Christian,16.35,171,1046,-0.006
30,0,32150,Michael Thompson,16.26,147,904,+0.068
31,0,24357,K.J. Choi,16.07,126,784,+0.071
32,0,33122,Russell Knox,15.84,124,783,+0.105
33,0,23718,Nathan Green,15.79,126,798,+0.135
34,0,26851,Marc Leishman,15.75,167,1060,+0.108
35,0,22293,Heath Slocum,15.55,163,1048,+0.123
36,0,22621,Ben Curtis,15.48,104,672,+0.067
37,0,23983,Luke Donald,15.42,103,668,+0.029
38,0,27974,Sung Kang,15.41,133,863,+0.150
39,0,06036,Scott Dunlap,15.37,99,644,+0.010
40,0,27963,Chris Stroud,15.35,161,1049,+0.124
41,0,20098,Stuart Appleby,15.21,138,907,+0.051
42,0,25396,Kevin Na,15.20,138,908,+0.043
43,0,24846,Ricky Barnes,15.01,172,1146,+0.041
44,0,31202,William McGirt,14.91,164,1100,+0.043
45,0,28087,Kris Blanks,14.85,124,835,+0.153
46,0,26476,Chez Reavie,14.81,136,918,+0.037
47,0,24604,Hunter Haas,14.72,107,727,+0.103
48,0,06573,Brandt Jobe,14.47,91,629,+0.066
48,0,20160,Charlie Wi,14.47,147,1016,+0.075
50,0,08793,Tiger Woods,14.43,97,672,-0.052
51,0,23409,James Driscoll,14.29,139,973,+0.151
52,0,26596,Ryan Moore,14.25,161,1130,-0.050
53,0,23638,Brendon de Jonge,14.19,202,1424,-0.040
54,0,24024,Zach Johnson,14.08,145,1030,-0.152
55,0,34174,John Huh,14.06,167,1188,+0.048
56,0,26758,David Hearn,14.00,172,1229,+0.116
57,0,24507,Jason Bohn,13.94,128,918,+0.133
58,0,27556,Ted Potter Jr.,13.85,118,852,+0.119
59,0,29910,Blake Adams,13.84,170,1228,+0.165
60,0,22378,Trevor Immelman,13.68,109,797,+0.064
61,0,23903,Stephen Gangluff,13.64,82,601,+0.415
62,0,22582,Kyle Thompson,13.54,70,517,+0.143
63,0,27933,John Merrick,13.53,136,1005,+0.096
64,0,26951,Johnson Wagner,13.51,144,1066,+0.090
65,0,25240,D.A. Points,13.48,151,1120,+0.073
66,0,35139,Richard Lee,13.43,107,797,+0.131
66,0,25457,Alexandre Rocha,13.43,94,700,+0.138
68,0,27649,Brandt Snedeker,13.16,119,904,+0.134
69,0,29518,Brendan Steele,13.14,118,898,+0.085
70,0,12652,Cameron Beckman,13.08,126,963,+0.294
71,0,21407,Arjun Atwal,13.06,120,919,+0.158
72,0,27797,Derek Lamely,12.80,100,781,+0.140
73,0,25632,Jimmy Walker,12.78,162,1268,+0.043
74,0,26300,Matt Jones,12.70,78,614,+0.167
75,0,27466,Spencer Levin,12.69,117,922,+0.120
76,0,11123,Chris Couch,12.65,95,751,+0.063
77,0,30852,Ryo Ishikawa,12.60,65,516,+0.138
77,0,24361,Pat Perez,12.60,121,960,+0.074
79,0,10885,Robert Allenby,12.50,115,920,+0.200
80,0,28500,Martin Flores,12.48,143,1146,+0.091
81,0,21209,Sergio Garcia,12.42,76,612,+0.118
