RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,22348,Nick O'Hern,6.08,9,148,+0.44
2,0,20623,Gavin Coles,5.30,7,132,E
3,0,01941,Tom Pernice Jr.,4.31,5,116,+0.80
4,0,23903,Stephen Gangluff,3.92,4,102,+1.25
5,0,12652,Cameron Beckman,3.90,6,154,+0.67
6,0,25396,Kevin Na,3.62,5,138,+0.60
7,0,25632,Jimmy Walker,3.61,7,194,+0.71
8,0,20098,Stuart Appleby,3.52,5,142,+0.40
8,0,27974,Sung Kang,3.52,5,142,+0.40
10,0,23621,Rory Sabbatini,3.13,5,160,+1.00
11,0,20850,Daniel Chopra,3.06,3,98,+0.67
12,0,25892,Steve Wheatcroft,3.00,3,100,+0.33
12,0,24663,Y.E. Yang,3.00,3,100,+0.33
14,0,25240,D.A. Points,2.98,5,168,+0.20
15,0,08793,Tiger Woods,2.94,3,102,-0.33
16,0,22621,Ben Curtis,2.88,3,104,+1.33
17,0,20070,Matt Bettencourt,2.86,4,140,+1.50
18,0,06034,Marco Dawson,2.78,3,108,+0.33
19,0,24357,K.J. Choi,2.68,3,112,E
20,0,22371,Aaron Baddeley,2.59,3,116,+1.67
21,0,26851,Marc Leishman,2.56,4,156,E
22,0,01116,Michael Bradley,2.54,3,118,E
22,0,11123,Chris Couch,2.54,3,118,-0.33
24,0,32366,Kevin Chappell,2.53,4,158,+0.25
24,0,06251,Chris DiMarco,2.53,4,158,+0.50
26,0,24140,Sean O'Hair,2.50,4,160,+0.25
27,0,23204,Gary Christian,2.35,4,170,+0.25
28,0,23718,Nathan Green,2.31,3,130,+1.33
29,0,19846,Brian Gay,2.30,4,174,+0.50
29,0,26596,Ryan Moore,2.30,4,174,+0.75
31,0,24846,Ricky Barnes,2.27,4,176,+0.50
31,0,29222,Billy Hurley III,2.27,3,132,E
31,0,21731,Freddie Jacobson,2.27,2,88,E
34,0,02206,David Toms,2.17,2,92,+1.00
35,0,27895,Jonas Blixt,2.14,3,140,+1.00
35,0,01320,Bob Estes,2.14,3,140,+0.33
37,0,20766,Padraig Harrington,2.13,2,94,+1.00
38,0,20104,Ken Duke,2.08,4,192,+0.25
38,0,32150,Michael Thompson,2.08,3,144,+0.67
40,0,27466,Spencer Levin,2.00,3,150,+0.67
40,0,22961,David Mathis,2.00,3,150,+0.33
40,0,23325,Vaughn Taylor,2.00,3,150,+0.33
43,0,21350,Ryuji Imada,1.97,3,152,+0.67
44,0,06036,Scott Dunlap,1.96,2,102,E
45,0,21805,Harrison Frazar,1.92,2,104,+0.50
46,0,08075,Jerry Kelly,1.88,3,160,E
47,0,22405,Justin Rose,1.85,2,108,+0.50
47,0,06527,Steve Stricker,1.85,2,108,-0.50
49,0,27141,J.B. Holmes,1.83,3,164,+2.33
49,0,26951,Johnson Wagner,1.83,3,164,-0.33
51,0,33419,Cameron Tringale,1.79,3,168,+0.67
52,0,21753,Brian Davis,1.76,3,170,+0.67
52,0,22293,Heath Slocum,1.76,3,170,E
54,0,12782,Tim Herron,1.74,3,172,E
54,0,21961,Charles Howell III,1.74,3,172,+0.67
56,0,31202,William McGirt,1.67,3,180,+1.00
57,0,24604,Hunter Haas,1.64,2,122,+1.00
58,0,34174,John Huh,1.61,3,186,+1.00
58,0,27797,Derek Lamely,1.61,2,124,+0.50
60,0,28259,Sangmoon Bae,1.59,2,126,+0.50
61,0,28087,Kris Blanks,1.56,2,128,E
61,0,01797,Rocco Mediate,1.56,2,128,E
63,0,01810,Phil Mickelson,1.54,2,130,-0.50
64,0,23542,Tommy Biershenk,1.52,2,132,-0.50
64,0,33122,Russell Knox,1.52,2,132,E
66,0,33120,Mark Anderson,1.45,2,138,+1.00
66,0,23788,D.J. Trahan,1.45,2,138,+0.50
68,0,21878,Mark Wilson,1.43,2,140,E
69,0,33141,Keegan Bradley,1.39,2,144,E
70,0,24494,Erik Compton,1.37,2,146,+1.00
70,0,10860,Justin Leonard,1.37,2,146,+1.00
72,0,08725,Tom Gillis,1.33,2,150,E
72,0,30711,Colt Knost,1.33,2,150,+2.50
72,0,24361,Pat Perez,1.33,2,150,E
75,0,20848,Ángel Cabrera,1.32,1,76,+1.00
75,0,30852,Ryo Ishikawa,1.32,1,76,+1.00
77,0,24490,George McNeill,1.30,2,154,-0.50
77,0,23800,Bryce Molder,1.30,2,154,E
77,0,27770,Camilo Villegas,1.30,2,154,+1.00
80,0,27933,John Merrick,1.27,2,158,E
81,0,24138,Ian Poulter,1.25,1,80,E
81,0,20396,Lee Westwood,1.25,1,80,E
81,0,20160,Charlie Wi,1.25,2,160,-0.50
84,0,24358,Robert Garrigus,1.23,2,162,+1.00
84,0,23353,J.J. Henry,1.23,2,162,+1.00
86,0,29476,Kyle Reifers,1.22,2,164,-0.50
87,0,01724,Jeff Maggert,1.20,2,166,+1.00
87,0,27214,Kevin Streelman,1.20,2,166,+1.00
89,0,24502,Adam Scott,1.19,1,84,E
90,0,21528,Henrik Stenson,1.16,1,86,+1.00
91,0,21209,Sergio Garcia,1.14,1,88,E
92,0,22582,Kyle Thompson,1.11,1,90,+2.00
93,0,28500,Martin Flores,1.10,2,182,+1.00
94,0,06004,Stephen Ames,1.09,1,92,E
95,0,31558,J.J. Killeen,1.08,2,186,+1.00
96,0,34099,Harris English,1.06,2,188,E
97,0,26758,David Hearn,1.05,2,190,+0.50
97,0,28475,Jeff Overton,1.05,2,190,E
99,0,23983,Luke Donald,1.04,1,96,+1.00
100,0,34021,Bud Cauley,1.03,2,194,-0.50
101,0,24940,Edward Loar,.98,1,102,+1.00
102,0,22548,Patrick Sheehan,.96,1,104,+1.00
103,0,27302,Garth Mulroy,.94,1,106,+1.00
104,0,29420,Billy Horschel,.91,1,110,E
105,0,24925,Jonathan Byrd,.89,1,112,+1.00
105,0,25457,Alexandre Rocha,.89,1,112,+2.00
107,0,20229,Stewart Cink,.88,1,114,E
108,0,22046,Geoff Ogilvy,.86,1,116,E
109,0,29479,Scott Brown,.85,1,118,-1.00
110,0,29478,Kevin Kisner,.82,1,122,+1.00
111,0,22378,Trevor Immelman,.78,1,128,E
111,0,20645,John Senden,.78,1,128,+1.00
113,0,28093,Miguel Angel Carballo,.77,1,130,+2.00
114,0,29926,Danny Lee,.76,1,132,E
115,0,10809,Jim Furyk,.74,1,136,+1.00
