RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,25804,Bubba Watson,80.61,158,38,-100,-4
2,0,28237,Rory McIlroy,75.38,98,32,-69,-6
3,0,24358,Robert Garrigus,75.09,199,66,-103,E
4,0,01249,John Daly,72.81,83,31,-45,-6
5,0,30110,Kyle Stanley,71.66,177,70,-109,-3
6,0,20396,Lee Westwood,70.63,101,42,-54,+4
7,0,33141,Keegan Bradley,70.04,180,77,-103,-8
8,0,31323,Gary Woodland,69.46,141,62,-88,+14
9,0,21209,Sergio Garcia,69.44,100,44,-64,-7
10,0,11123,Chris Couch,69.35,129,57,-70,+11
11,0,30925,Dustin Johnson,69.14,121,54,-83,+1
12,0,21528,Henrik Stenson,66.90,95,47,-48,-7
13,0,30692,Scott Stallings,66.67,164,82,-94,-1
14,0,27936,Martin Laird,66.20,141,72,-78,E
15,0,27064,Jhonattan Vegas,65.74,165,86,-81,+1
16,0,27141,J.B. Holmes,65.48,184,97,-116,+7
17,0,19970,Robert Karlsson,65.10,97,52,-55,-4
18,0,24924,Bill Haas,64.50,149,82,-72,-2
19,0,25818,Scott Piercy,64.06,205,115,-115,-2
20,0,32334,Charlie Beljan,63.89,92,52,-51,+1
21,0,08793,Tiger Woods,63.58,103,59,-73,-8
22,0,06567,Vijay Singh,63.48,179,103,-107,+2
23,0,23621,Rory Sabbatini,63.42,163,94,-87,-5
24,0,12716,Charley Hoffman,63.35,178,103,-99,E
25,0,24502,Adam Scott,63.31,88,51,-63,+3
26,0,27330,Josh Teater,63.19,194,113,-117,E
27,0,20645,John Senden,63.09,147,86,-77,-6
28,0,26331,Charl Schwartzel,63.08,82,48,-41,-6
29,0,32698,Bobby Gates,63.00,172,101,-82,E
30,0,26329,Louis Oosthuizen,62.58,102,61,-75,+2
30,0,28475,Jeff Overton,62.58,199,119,-108,-26
32,0,25562,Andres Romero,62.37,121,73,-58,-4
33,0,01810,Phil Mickelson,62.22,140,85,-83,-11
34,0,32102,Rickie Fowler,62.14,151,92,-90,-1
35,0,24140,Sean O'Hair,61.79,173,107,-104,-4
36,0,29221,Webb Simpson,61.51,155,97,-82,-20
37,0,24940,Edward Loar,61.38,89,56,-44,+5
38,0,29479,Scott Brown,61.36,108,68,-48,-1
39,0,23320,Ryan Palmer,60.70,156,101,-76,-11
40,0,29289,S.Y. Noh,60.67,182,118,-100,-4
41,0,28089,Jason Day,60.48,101,66,-62,+5
42,0,20848,Ángel Cabrera,60.45,81,53,-49,+1
43,0,27120,Troy Matteson,60.27,176,116,-93,+6
44,0,23409,James Driscoll,60.24,153,101,-89,-1
45,0,27436,Graham DeLaet,60.00,147,98,-82,+6
45,0,22913,John Rollins,60.00,150,100,-75,-10
47,0,29420,Billy Horschel,59.74,92,62,-53,E
48,0,24494,Erik Compton,59.56,134,91,-61,-5
49,0,25632,Jimmy Walker,59.28,198,136,-126,+4
50,0,34099,Harris English,59.06,189,131,-99,-1
51,0,24604,Hunter Haas,58.85,113,79,-38,+4
52,0,01706,Davis Love III,58.75,94,66,-52,E
53,0,20574,Mathew Goggin,58.59,116,82,-64,-9
54,0,23718,Nathan Green,58.54,120,85,-57,-4
55,0,30944,Jason Kokrak,58.51,141,100,-76,+5
56,0,23788,D.J. Trahan,58.37,122,87,-58,-3
57,0,20766,Padraig Harrington,58.28,88,63,-54,-5
58,0,24925,Jonathan Byrd,57.99,127,92,-68,-17
59,0,34174,John Huh,57.72,172,126,-95,-10
60,0,23623,Bo Van Pelt,57.64,132,97,-81,-8
61,0,32366,Kevin Chappell,57.59,148,109,-88,-8
62,0,27302,Garth Mulroy,57.41,93,69,-50,+4
63,0,21805,Harrison Frazar,57.38,105,78,-49,-11
64,0,33419,Cameron Tringale,57.14,168,126,-86,-7
65,0,26679,Kevin Stadler,56.86,145,110,-59,-4
66,0,30926,Chris Kirk,56.73,177,135,-84,+6
67,0,24781,Hunter Mahan,56.60,133,102,-58,-3
68,0,20691,Greg Owen,56.59,146,112,-73,-17
69,0,25686,Jason Dufner,56.50,126,97,-74,-12
70,0,24490,George McNeill,55.81,144,114,-75,-3
71,0,25240,D.A. Points,55.74,165,131,-86,-11
72,0,22405,Justin Rose,55.38,103,83,-53,-10
73,0,06522,Ernie Els,55.11,124,101,-72,-2
74,0,26300,Matt Jones,55.06,87,71,-48,+4
75,0,01766,Billy Mayfair,55.04,153,125,-77,-1
76,0,21961,Charles Howell III,54.79,143,118,-105,-8
77,0,28455,Will Claxton,54.70,163,135,-84,-22
78,0,29910,Blake Adams,54.63,171,142,-93,-4
79,0,21407,Arjun Atwal,54.59,119,99,-58,+6
80,0,23638,Brendon de Jonge,54.50,200,167,-123,-23
81,0,26289,Boo Weekley,54.45,104,87,-64,+7
82,0,32200,Roberto Castro,54.44,141,118,-80,-16
83,0,25345,Carl Pettersson,54.35,150,126,-82,+3
84,0,23541,Ben Crane,54.10,132,112,-79,-15
85,0,27095,Nick Watney,53.98,156,133,-99,-8
86,0,25396,Kevin Na,53.94,137,117,-61,-1
87,0,28259,Sangmoon Bae,53.73,108,93,-53,+2
88,0,27214,Kevin Streelman,53.71,152,131,-80,+1
89,0,20850,Daniel Chopra,53.57,75,65,-37,-3
90,0,27770,Camilo Villegas,53.56,143,124,-77,-13
91,0,30750,Tommy Gainey,53.48,169,147,-79,E
92,0,08725,Tom Gillis,53.41,141,123,-79,+10
93,0,27466,Spencer Levin,53.04,131,116,-67,-13
94,0,22046,Geoff Ogilvy,52.83,112,100,-71,-7
95,0,24361,Pat Perez,52.73,135,121,-87,-16
96,0,26287,Roland Thatcher,52.32,79,72,-30,+1
97,0,22371,Aaron Baddeley,52.25,116,106,-61,-10
98,0,34021,Bud Cauley,52.10,174,160,-112,-3
99,0,33120,Mark Anderson,52.02,116,107,-63,+10
100,0,28087,Kris Blanks,51.83,113,105,-67,-5
101,0,35139,Richard Lee,51.81,100,93,-51,-14
102,0,29926,Danny Lee,51.67,108,101,-56,+8
103,0,26851,Marc Leishman,51.62,143,134,-67,-20
104,0,28500,Martin Flores,51.58,147,138,-87,-17
105,0,28308,Troy Kelly,51.45,89,84,-43,+11
106,0,12510,Chad Campbell,51.37,131,124,-55,-12
107,0,29518,Brendan Steele,51.18,130,124,-55,-8
108,0,31558,J.J. Killeen,51.01,152,146,-64,-6
109,0,27797,Derek Lamely,50.75,101,98,-35,+6
110,0,24138,Ian Poulter,50.71,71,69,-37,-5
111,0,27895,Jonas Blixt,50.63,121,118,-83,-4
112,0,27933,John Merrick,50.59,129,126,-73,-6
113,0,20572,Rod Pampling,50.21,118,117,-66,-12
114,0,27644,Brian Harman,50.16,160,159,-86,-23
115,0,29478,Kevin Kisner,50.00,92,92,-55,+1
115,0,22582,Kyle Thompson,50.00,60,60,-25,E
117,0,01724,Jeff Maggert,49.81,133,134,-69,-14
118,0,25834,Daniel Summerhays,49.60,123,125,-51,-11
119,0,01797,Rocco Mediate,49.51,101,103,-51,-15
120,0,28307,Matt Every,49.35,114,117,-58,-10
121,0,27649,Brandt Snedeker,49.33,110,113,-65,-17
122,0,06036,Scott Dunlap,49.06,78,81,-29,+4
123,0,23903,Stephen Gangluff,49.01,74,77,-29,+5
124,0,24846,Ricky Barnes,48.80,142,149,-65,-11
125,0,20104,Ken Duke,48.72,152,160,-79,-27
126,0,23548,Bill Lunde,48.57,119,126,-71,-6
127,0,24024,Zach Johnson,48.47,127,135,-75,-31
128,0,06527,Steve Stricker,48.26,97,104,-58,-19
129,0,28093,Miguel Angel Carballo,48.10,101,109,-55,-5
130,0,24663,Y.E. Yang,48.00,72,78,-28,-7
131,0,20070,Matt Bettencourt,47.95,105,114,-51,E
132,0,22378,Trevor Immelman,47.78,97,106,-52,+3
133,0,24357,K.J. Choi,47.66,102,112,-59,-15
134,0,25572,Graeme McDowell,47.41,64,71,-25,-9
135,0,21731,Freddie Jacobson,47.30,70,78,-37,+2
136,0,20229,Stewart Cink,47.29,96,107,-49,-7
137,0,20593,Greg Chalmers,47.19,126,141,-78,-13
138,0,10885,Robert Allenby,47.06,104,117,-35,+1
139,0,23204,Gary Christian,47.04,119,134,-60,-11
140,0,30852,Ryo Ishikawa,47.01,55,62,-35,-8
141,0,20160,Charlie Wi,46.99,125,141,-60,-18
142,0,26951,Johnson Wagner,46.96,139,157,-74,-15
143,0,26596,Ryan Moore,46.86,142,161,-73,-9
144,0,12782,Tim Herron,46.74,122,139,-77,-13
145,0,25892,Steve Wheatcroft,46.26,68,79,-35,-5
146,0,33122,Russell Knox,45.45,90,108,-64,-11
147,0,23542,Tommy Biershenk,45.41,99,119,-57,+2
148,0,27963,Chris Stroud,45.02,122,149,-66,-1
149,0,27974,Sung Kang,44.89,101,124,-45,-7
150,0,23108,Matt Kuchar,44.87,105,129,-62,-10
151,0,06573,Brandt Jobe,44.05,74,94,-38,+5
152,0,22293,Heath Slocum,43.63,113,146,-53,-12
153,0,26476,Chez Reavie,43.44,106,138,-49,-18
154,0,27556,Ted Potter Jr.,42.79,92,123,-35,-17
155,0,20098,Stuart Appleby,42.41,95,129,-60,-14
156,0,29476,Kyle Reifers,42.22,114,156,-63,-11
157,0,23983,Luke Donald,42.20,73,100,-50,-25
158,0,08075,Jerry Kelly,41.83,105,146,-47,-28
159,0,31202,William McGirt,41.73,116,162,-65,-31
160,0,06034,Marco Dawson,41.52,71,100,-42,-1
161,0,24507,Jason Bohn,41.48,95,134,-53,-15
162,0,22548,Patrick Sheehan,41.45,63,89,-31,-1
163,0,26758,David Hearn,41.40,130,184,-76,-13
164,0,10213,Dicky Pride,41.28,71,101,-42,-11
165,0,01116,Michael Bradley,41.26,85,121,-35,-3
166,0,12652,Cameron Beckman,40.89,101,146,-47,-17
167,0,23353,J.J. Henry,40.61,106,155,-49,-1
168,0,25457,Alexandre Rocha,40.34,71,105,-32,-16
169,0,01941,Tom Pernice Jr.,40.32,75,111,-43,-3
170,0,21753,Brian Davis,40.21,115,171,-59,-10
171,0,21878,Mark Wilson,39.69,102,155,-55,-18
172,0,23325,Vaughn Taylor,39.66,92,140,-40,-16
173,0,01320,Bob Estes,39.37,87,134,-47,-13
174,0,10809,Jim Furyk,38.12,85,138,-49,-32
175,0,23135,Tim Clark,38.10,64,104,-33,-18
176,0,21350,Ryuji Imada,37.80,93,153,-45,-9
177,0,32150,Michael Thompson,37.55,86,143,-60,-19
178,0,27060,John Mallinger,37.44,82,137,-47,-10
179,0,02206,David Toms,37.28,63,106,-32,-10
180,0,06251,Chris DiMarco,37.11,95,161,-55,-22
181,0,30927,Brendon Todd,36.74,79,136,-43,-5
182,0,22621,Ben Curtis,36.41,67,117,-38,-20
183,0,06004,Stephen Ames,35.51,49,89,-26,-4
184,0,22961,David Mathis,35.12,85,157,-44,-1
185,0,10860,Justin Leonard,32.50,78,162,-29,-27
186,0,20623,Gavin Coles,29.38,57,137,-33,-28
187,0,23800,Bryce Molder,28.62,77,192,-49,-41
188,0,30711,Colt Knost,28.33,68,172,-33,-14
189,0,19846,Brian Gay,27.84,76,197,-37,-43
190,0,29222,Billy Hurley III,27.04,53,143,-23,-9
191,0,22348,Nick O'Hern,27.00,64,173,-20,-22
