RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),ATTEMPTS
1,1,29974,Branden Grace,6' 5",1052.917,165
2,-1,34363,Tyrrell Hatton,6' 6",1162.500,178
3,2,33122,Russell Knox,6' 9",1562.417,232
4,2,28252,Seamus Power,6' 10",625.750,92
5,2,21209,Sergio Garcia,6' 11",1186.750,172
5,2,32839,Hideki Matsuyama,6' 11",2198.500,317
7,3,25686,Jason Dufner,7' 1",2001.000,284
7,3,28679,Fabián Gómez,7' 1",1543.167,217
9,4,27644,Brian Harman,7' 3",2770.500,382
9,4,34098,Russell Henley,7' 3",1936.917,266
9,3,33448,Justin Thomas,7' 3",2114.583,293
12,4,27349,Alex Noren,7' 4",1897.000,259
12,1,48081,Xander Schauffele,7' 4",2145.833,294
12,-3,29221,Webb Simpson,7' 4",1731.167,236
12,4,48887,Matt Wallace,7' 4",1563.667,213
12,4,25349,Tim Wilkinson,7' 4",1237.417,168
17,2,32791,K.H. Lee,7' 5",2362.667,317
17,2,27649,Brandt Snedeker,7' 5",2027.833,274
19,3,33948,Byeong Hun An,7' 6",2434.833,323
19,13,40026,Daniel Berger,7' 6",2308.500,309
19,3,33419,Cameron Tringale,7' 6",1988.167,266
22,4,34021,Bud Cauley,7' 7",2498.250,328
22,0,47959,Bryson DeChambeau,7' 7",2364.750,313
22,13,30925,Dustin Johnson,7' 7",1738.000,228
22,4,26596,Ryan Moore,7' 7",1288.167,169
22,4,34213,Grayson Murray,7' 7",1372.083,180
22,-3,25396,Kevin Na,7' 7",2663.083,351
22,4,34046,Jordan Spieth,7' 7",2146.333,282
22,4,31560,Brian Stuard,7' 7",2779.083,368
22,4,37189,Harold Varner III,7' 7",2048.750,269
31,4,29725,Tony Finau,7' 8",2265.167,296
31,1,27942,Rob Oppenheim,7' 8",1927.667,251
33,2,22371,Aaron Baddeley,7' 9",1636.083,210
33,2,24924,Bill Haas,7' 9",1207.167,156
33,-1,29420,Billy Horschel,7' 9",2540.583,329
33,2,21961,Charles Howell III,7' 9",2015.000,261
33,-11,29478,Kevin Kisner,7' 9",2495.000,321
33,2,34466,Peter Malnati,7' 9",2097.000,272
33,13,50525,Collin Morikawa,7' 9",2828.833,364
33,2,33667,Carlos Ortiz,7' 9",2638.083,340
33,2,22056,Cameron Percy,7' 9",1309.000,169
33,2,24502,Adam Scott,7' 9",1235.000,159
43,3,28089,Jason Day,7' 10",1834.000,234
43,3,33204,Shane Lowry,7' 10",1347.500,172
45,5,26758,David Hearn,7' 11",1543.583,195
45,5,49298,Kramer Hickok,7' 11",1556.333,196
45,-10,26851,Marc Leishman,7' 11",2610.500,330
45,-10,48822,Sebastián Muñoz,7' 11",3239.333,410
45,5,37275,Sam Ryder,7' 11",2351.250,297
45,5,23621,Rory Sabbatini,7' 11",2377.250,299
45,5,35891,Cameron Smith,7' 11",2562.333,324
45,5,27095,Nick Watney,7' 11",1269.667,160
53,3,29970,Dylan Frittelli,8' 0",3081.500,385
53,3,32618,Rhein Gibson,8' 0",1391.583,174
53,3,47347,Adam Schenk,8' 0",2243.167,280
53,3,32150,Michael Thompson,8' 0",2641.333,331
57,3,32102,Rickie Fowler,8' 1",1801.833,224
57,3,28775,Nate Lashley,8' 1",1997.583,246
57,3,27129,Luke List,8' 1",2311.917,287
57,27,46970,Jon Rahm,8' 1",2215.583,274
57,3,27214,Kevin Streelman,8' 1",2368.000,292
57,3,23788,D.J. Trahan,8' 1",1293.667,160
63,2,19803,Ryan Armour,8' 2",1962.833,241
63,2,34076,Joel Dahmen,8' 2",2958.917,362
63,2,37455,Si Woo Kim,8' 2",2481.500,305
63,-17,23320,Ryan Palmer,8' 2",2721.917,334
63,2,26476,Chez Reavie,8' 2",2457.583,301
63,13,34360,Patrick Reed,8' 2",3086.917,377
63,2,30692,Scott Stallings,8' 2",2062.000,252
63,2,30927,Brendon Todd,8' 2",3593.167,439
71,2,34314,Sebastian Cappelen,8' 3",1619.750,196
71,-6,39971,Sungjae Im,8' 3",3521.250,428
71,5,28237,Rory McIlroy,8' 3",2196.667,267
71,2,01810,Phil Mickelson,8' 3",1876.250,228
75,1,21407,Arjun Atwal,8' 4",854.167,102
75,1,33404,Chris Baker,8' 4",1378.167,165
75,1,31646,Emiliano Grillo,8' 4",1938.250,232
75,1,26300,Matt Jones,8' 4",2918.417,349
75,1,36871,Matthew NeSmith,8' 4",2265.083,271
80,4,35450,Patrick Cantlay,8' 5",1932.500,229
80,4,32366,Kevin Chappell,8' 5",1517.333,181
80,12,34099,Harris English,8' 5",2743.000,326
80,4,35506,Mackenzie Hughes,8' 5",2910.583,345
80,4,29908,C.T. Pan,8' 5",1962.167,233
80,4,27963,Chris Stroud,8' 5",1650.167,197
80,4,32333,Kevin Tway,8' 5",1762.667,210
87,-11,45526,Abraham Ancer,8' 6",2651.833,311
87,5,51766,Wyndham Clark,8' 6",2398.667,282
87,5,39997,Corey Conners,8' 6",2471.417,290
87,5,52375,Doug Ghim,8' 6",1110.083,130
87,5,33399,Adam Hadwin,8' 6",2140.583,253
87,5,36801,Mark Hubbard,8' 6",3404.000,401
87,5,24361,Pat Perez,8' 6",1559.083,184
87,5,49771,J.T. Poston,8' 6",3045.333,359
87,5,24138,Ian Poulter,8' 6",1931.167,227
96,7,29479,Scott Brown,8' 7",2535.083,294
96,7,29268,Bronson Burgoon,8' 7",2114.417,247
96,-4,35310,Lanto Griffin,8' 7",3938.500,460
96,7,33597,Harry Higgs,8' 7",3199.167,373
96,7,35461,Beau Hossler,8' 7",2367.250,276
96,7,36689,Brooks Koepka,8' 7",1675.250,196
96,7,27936,Martin Laird,8' 7",1257.500,146
96,7,27556,Ted Potter Jr.,8' 7",1453.083,169
96,7,22405,Justin Rose,8' 7",1694.500,197
96,7,47128,Richy Werenski,8' 7",2150.667,250
106,6,29926,Danny Lee,8' 8",2790.167,322
106,6,34431,Robert Streb,8' 8",1515.917,175
106,6,27064,Jhonattan Vegas,8' 8",1609.667,185
109,6,33141,Keegan Bradley,8' 9",2814.167,322
109,6,29535,Brice Garnett,8' 9",1875.167,215
109,6,32662,Michael Gligic,8' 9",1529.417,175
109,6,27974,Sung Kang,8' 9",3021.417,345
109,6,49766,Hank Lebioda,8' 9",1917.333,219
109,6,46442,Maverick McNealy,8' 9",2663.583,304
109,6,26329,Louis Oosthuizen,8' 9",1987.000,227
109,6,33449,Zack Sucher,8' 9",1080.500,124
117,6,33120,Mark Anderson,8' 10",1748.417,198
117,6,26499,Rafa Cabrera Bello,8' 10",2053.000,232
117,6,19846,Brian Gay,8' 10",2500.917,283
117,6,12716,Charley Hoffman,8' 10",2009.000,228
