RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,28237,Rory McIlroy,67.06,338,504,-0.139
2,0,30925,Dustin Johnson,61.57,511,830,-0.178
3,0,36689,Brooks Koepka,58.21,546,938,-0.132
4,0,27141,J.B. Holmes,57.14,488,854,-0.113
5,0,46970,Jon Rahm,54.76,506,924,-0.119
6,0,32366,Kevin Chappell,52.08,525,1008,-0.105
7,0,33448,Justin Thomas,51.10,466,912,-0.217
8,0,28420,Ryan Brehm,50.44,459,910,-0.185
9,0,29725,Tony Finau,50.16,639,1274,-0.196
10,0,46601,Trey Mullinax,50.00,489,978,-0.147
11,0,27129,Luke List,49.75,597,1200,-0.193
12,0,32333,Kevin Tway,49.42,512,1036,-0.188
13,0,34213,Grayson Murray,49.33,586,1188,-0.160
13,0,25804,Bubba Watson,49.33,367,744,-0.142
15,0,32839,Hideki Matsuyama,48.43,402,830,-0.147
16,0,31323,Gary Woodland,48.00,455,948,-0.169
17,0,48081,Xander Schauffele,47.30,490,1036,-0.178
18,0,28089,Jason Day,47.29,366,774,-0.128
19,0,46550,Brandon Hagy,46.69,451,966,-0.211
20,0,29461,Jamie Lovemark,46.15,515,1116,-0.165
21,0,35300,Andrew Loupe,46.04,302,656,-0.070
22,0,46440,Smylie Kaufman,45.68,402,880,-0.139
23,0,30944,Jason Kokrak,45.60,528,1158,-0.116
24,0,24502,Adam Scott,45.41,267,588,-0.139
25,0,33948,Byeong Hun An,44.96,357,794,-0.120
26,0,23320,Ryan Palmer,44.75,307,686,-0.065
27,0,27064,Jhonattan Vegas,43.99,439,998,-0.134
28,0,21209,Sergio Garcia,43.17,278,644,-0.133
29,0,36699,Patrick Rodgers,43.06,397,922,-0.098
30,0,12716,Charley Hoffman,41.95,547,1304,-0.218
31,0,26331,Charl Schwartzel,41.92,280,668,-0.150
32,0,22405,Justin Rose,41.91,311,742,-0.116
33,0,26300,Matt Jones,41.46,296,714,-0.182
34,0,28500,Martin Flores,41.45,388,936,-0.111
35,0,34046,Jordan Spieth,41.32,395,956,-0.205
36,0,24140,Sean O'Hair,40.49,396,978,-0.104
37,0,29518,Brendan Steele,40.48,404,998,-0.149
38,0,26329,Louis Oosthuizen,40.06,286,714,-0.161
39,0,33204,Shane Lowry,39.66,211,532,-0.209
40,0,35450,Patrick Cantlay,39.53,253,640,-0.178
41,0,24358,Robert Garrigus,39.35,329,836,-0.170
42,0,34264,Hudson Swafford,39.34,417,1060,-0.125
43,0,23497,Tag Ridings,39.29,275,700,-0.175
44,0,46501,Ollie Schniederjans,39.13,443,1132,-0.190
45,0,47959,Bryson DeChambeau,39.10,398,1018,-0.126
46,0,26851,Marc Leishman,38.85,397,1022,-0.212
47,0,29420,Billy Horschel,38.46,430,1118,-0.121
48,0,32102,Rickie Fowler,38.32,338,882,-0.151
49,0,30692,Scott Stallings,38.29,363,948,-0.146
50,0,46732,Rick Lamb,37.59,200,532,-0.100
51,0,40026,Daniel Berger,37.40,362,968,-0.210
52,0,37189,Harold Varner III,37.27,448,1202,-0.165
53,0,27436,Graham DeLaet,36.97,366,990,-0.180
54,0,27095,Nick Watney,36.21,323,892,-0.136
55,0,28252,Seamus Power,35.97,341,948,-0.214
56,0,48822,Sebastián Muñoz,35.90,196,546,-0.189
57,0,34360,Patrick Reed,35.71,420,1176,-0.121
58,0,25632,Jimmy Walker,35.65,251,704,-0.135
59,0,31420,Anirban Lahiri,35.59,294,826,-0.150
60,0,34099,Harris English,35.56,357,1004,-0.126
61,0,27974,Sung Kang,35.43,406,1146,-0.165
