RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,30925,Dustin Johnson,43.18,57,132,-0.33
1,0,28237,Rory McIlroy,43.18,38,88,-0.45
3,0,36689,Brooks Koepka,36.84,56,152,-0.32
4,0,46550,Brandon Hagy,36.36,56,154,-0.32
5,0,27129,Luke List,36.22,71,196,-0.31
6,0,27141,J.B. Holmes,34.72,50,144,-0.46
7,0,46601,Trey Mullinax,33.54,55,164,-0.27
8,0,33448,Justin Thomas,33.10,47,142,-0.21
9,0,35300,Andrew Loupe,32.69,34,104,-0.18
10,0,28420,Ryan Brehm,32.47,50,154,-0.28
11,0,29725,Tony Finau,31.50,63,200,-0.37
12,0,34213,Grayson Murray,30.56,55,180,-0.27
13,0,48081,Xander Schauffele,30.43,56,184,-0.30
14,0,32333,Kevin Tway,29.55,52,176,-0.17
15,0,31323,Gary Woodland,29.01,47,162,-0.34
16,0,36699,Patrick Rodgers,28.57,40,140,-0.40
17,0,25804,Bubba Watson,27.97,33,118,-0.18
18,0,46501,Ollie Schniederjans,27.01,47,174,-0.28
19,0,28089,Jason Day,26.52,35,132,-0.26
20,0,46970,Jon Rahm,26.51,44,166,-0.23
21,0,24502,Adam Scott,26.00,26,100,-0.31
22,0,30944,Jason Kokrak,24.73,45,182,-0.20
23,0,22405,Justin Rose,24.22,31,128,-0.16
24,0,29461,Jamie Lovemark,23.91,44,184,-0.32
25,0,46440,Smylie Kaufman,23.88,32,134,-0.41
26,0,29720,Andres Gonzales,23.19,32,138,-0.13
27,0,37189,Harold Varner III,21.58,41,190,-0.20
28,0,32102,Rickie Fowler,21.53,31,144,-0.13
29,0,32366,Kevin Chappell,21.34,35,164,E
30,0,23320,Ryan Palmer,20.75,22,106,-0.18
31,0,29518,Brendan Steele,20.63,33,160,-0.12
32,0,34099,Harris English,20.39,31,152,-0.35
33,0,32839,Hideki Matsuyama,19.85,27,136,-0.22
34,0,26851,Marc Leishman,19.77,34,172,-0.09
34,0,34264,Hudson Swafford,19.77,34,172,-0.32
36,0,27064,Jhonattan Vegas,19.51,32,164,-0.09
37,0,23497,Tag Ridings,19.49,23,118,-0.48
38,0,21209,Sergio Garcia,19.44,21,108,-0.24
39,0,27436,Graham DeLaet,19.08,29,152,-0.24
40,0,24358,Robert Garrigus,18.75,27,144,-0.22
40,0,26300,Matt Jones,18.75,21,112,-0.43
42,0,25632,Jimmy Walker,18.03,22,122,-0.36
43,0,46732,Rick Lamb,18.00,18,100,-0.22
44,0,28500,Martin Flores,17.28,28,162,-0.21
45,0,20229,Stewart Cink,17.20,32,186,-0.53
46,0,26331,Charl Schwartzel,16.96,19,112,E
47,0,27095,Nick Watney,16.67,23,138,-0.30
48,0,34098,Russell Henley,16.49,32,194,-0.19
49,0,24140,Sean O'Hair,16.25,26,160,-0.46
50,0,25900,Lucas Glover,16.11,29,180,-0.41
51,0,40026,Daniel Berger,16.03,25,156,-0.36
52,0,25364,Paul Casey,15.85,26,164,-0.35
53,0,28307,Matt Every,15.71,22,140,-0.41
54,0,35450,Patrick Cantlay,15.63,15,96,-0.20
55,0,34431,Robert Streb,15.56,28,180,-0.36
56,0,26329,Louis Oosthuizen,15.52,18,116,-0.22
57,0,35506,Mackenzie Hughes,15.38,32,208,-0.28
58,0,48822,Sebastián Muñoz,15.31,15,98,-0.13
59,0,28252,Seamus Power,15.00,24,160,-0.33
60,0,49771,J.T. Poston,14.94,26,174,-0.04
61,0,12716,Charley Hoffman,14.81,32,216,-0.28
62,0,33141,Keegan Bradley,14.80,29,196,+0.03
63,0,47959,Bryson DeChambeau,14.61,26,178,-0.19
64,0,29420,Billy Horschel,14.53,25,172,-0.16
65,0,33204,Shane Lowry,14.44,13,90,-0.08
66,0,39954,Cody Gribble,14.29,22,154,-0.32
67,0,30110,Kyle Stanley,14.00,28,200,-0.36
68,0,29289,S.Y. Noh,13.79,24,174,-0.33
69,0,30692,Scott Stallings,13.64,21,154,-0.14
70,0,25818,Scott Piercy,13.56,16,118,-0.31
71,0,34046,Jordan Spieth,13.46,21,156,-0.19
72,0,27974,Sung Kang,13.27,26,196,-0.27
73,0,27936,Martin Laird,13.25,22,166,-0.23
74,0,25686,Jason Dufner,12.80,21,164,-0.10
75,0,29974,Branden Grace,12.73,14,110,-0.43
76,0,31420,Anirban Lahiri,12.50,17,136,-0.18
76,0,01810,Phil Mickelson,12.50,20,160,-0.35
76,0,33418,Shawn Stefani,12.50,17,136,-0.29
79,0,29223,Sam Saunders,12.14,17,140,-0.06
80,0,34360,Patrick Reed,11.96,22,184,-0.32
81,0,37455,Si Woo Kim,11.94,16,134,-0.06
82,0,46443,Brian Campbell,11.76,12,102,-0.17
83,0,33948,Byeong Hun An,11.72,15,128,-0.20
84,0,35891,Cameron Smith,11.59,19,164,-0.11
85,0,27214,Kevin Streelman,11.36,20,176,-0.25
86,0,31557,Jim Herman,11.27,16,142,-0.19
87,0,21961,Charles Howell III,10.90,17,156,-0.59
88,0,40009,Dominic Bozzelli,10.77,14,130,-0.29
89,0,31646,Emiliano Grillo,10.76,17,158,E
90,0,25191,Gonzalo Fernandez-Castaño,10.71,12,112,-0.17
90,0,37278,Nicholas Lindheim,10.71,12,112,E
92,0,33399,Adam Hadwin,10.64,20,188,+0.05
93,0,22056,Cameron Percy,10.00,13,130,-0.08
94,0,32448,James Hahn,9.78,18,184,-0.11
95,0,34021,Bud Cauley,9.66,17,176,E
96,0,26499,Rafa Cabrera Bello,9.62,10,104,+0.10
97,0,32757,Patton Kizzire,9.21,14,152,-0.14
98,0,20572,Rod Pampling,9.15,13,142,-0.23
99,0,37454,Whee Kim,9.03,13,144,-0.31
100,0,25493,Nick Taylor,8.95,17,190,-0.18
101,0,30191,Julián Etulain,8.73,11,126,+0.09
102,0,25349,Tim Wilkinson,8.62,10,116,-0.50
103,0,33461,Morgan Hoffmann,8.52,15,176,-0.33
104,0,35879,Kelly Kraft,8.45,12,142,-0.17
104,0,24781,Hunter Mahan,8.45,12,142,-0.58
106,0,27644,Brian Harman,8.33,16,192,-0.44
106,0,27770,Camilo Villegas,8.33,12,144,-0.25
108,0,29926,Danny Lee,8.24,14,170,-0.14
109,0,23353,J.J. Henry,8.14,14,172,-0.43
109,0,24361,Pat Perez,8.14,14,172,-0.64
111,0,25198,Francesco Molinari,8.09,11,136,-0.18
112,0,33122,Russell Knox,8.06,10,124,-0.10
113,0,29478,Kevin Kisner,7.78,14,180,-0.43
114,0,26596,Ryan Moore,7.75,11,142,-0.36
115,0,32150,Michael Thompson,7.14,8,112,+0.13
116,0,29908,C.T. Pan,6.98,12,172,-0.33
117,0,23621,Rory Sabbatini,6.92,9,130,-0.22
118,0,24924,Bill Haas,6.79,11,162,-0.36
119,0,30852,Ryo Ishikawa,6.73,7,104,-0.14
120,0,30926,Chris Kirk,6.63,11,166,+0.09
121,0,22371,Aaron Baddeley,6.60,7,106,-0.29
122,0,29221,Webb Simpson,6.57,13,198,-0.23
123,0,20157,Retief Goosen,6.52,6,92,-0.17
124,0,25274,Steven Bowditch,6.36,7,110,-0.43
125,0,34358,Jonathan Randolph,6.35,8,126,-0.13
126,0,33413,Ben Martin,6.33,10,158,-0.10
127,0,39975,Michael Kim,6.11,11,180,E
128,0,27649,Brandt Snedeker,6.00,6,100,-0.33
129,0,27963,Chris Stroud,5.93,7,118,-0.43
130,0,32640,Troy Merritt,5.92,9,152,-0.11
131,0,12510,Chad Campbell,5.91,11,186,-0.27
132,0,29740,Brad Fritsch,5.77,6,104,E
133,0,24846,Ricky Barnes,5.68,10,176,+0.10
134,0,35110,Brett Drewitt,5.66,6,106,E
135,0,34409,David Lingmerth,5.63,8,142,-0.88
136,0,31202,William McGirt,5.42,9,166,-0.22
137,0,39324,J.J. Spaun,5.23,9,172,-0.56
138,0,25834,Daniel Summerhays,5.00,9,180,-0.22
139,0,33120,Mark Anderson,4.81,5,104,+0.40
140,0,26951,Johnson Wagner,4.76,6,126,+0.17
141,0,24024,Zach Johnson,4.55,7,154,-0.29
141,0,23108,Matt Kuchar,4.55,8,176,-0.50
143,0,29479,Scott Brown,4.40,8,182,-0.13
144,0,28093,Miguel Angel Carballo,4.39,5,114,-0.40
145,0,35532,Tom Hoge,4.35,4,92,-0.25
146,0,28132,Tyrone Van Aswegen,4.30,8,186,+0.13
147,0,06522,Ernie Els,4.17,4,96,-0.50
147,0,34174,John Huh,4.17,7,168,-0.43
147,0,22046,Geoff Ogilvy,4.17,6,144,E
147,0,29476,Kyle Reifers,4.17,7,168,-0.57
151,0,26289,Boo Weekley,4.11,6,146,-0.17
152,0,25396,Kevin Na,4.05,6,148,E
153,0,24357,K.J. Choi,4.03,5,124,-0.40
154,0,33419,Cameron Tringale,3.80,6,158,-0.17
155,0,27895,Jonas Blixt,3.57,5,140,-0.40
156,0,29485,Brett Stegmaier,3.47,5,144,E
157,0,19803,Ryan Armour,3.39,4,118,-0.25
158,0,26476,Chez Reavie,3.30,6,182,-0.17
159,0,29222,Billy Hurley III,3.29,5,152,E
160,0,23541,Ben Crane,3.16,5,158,+0.20
161,0,26758,David Hearn,3.09,5,162,-0.60
162,0,10809,Jim Furyk,2.94,3,102,E
163,0,35545,Blayne Barber,2.82,4,142,-0.50
163,0,31416,Derek Fathauer,2.82,4,142,-0.50
165,0,47128,Richy Werenski,2.70,4,148,E
166,0,25720,Chad Collins,2.42,3,124,-0.33
167,0,20771,Steven Alker,2.38,3,126,-0.33
167,0,23325,Vaughn Taylor,2.38,4,168,-0.25
169,0,25240,D.A. Points,2.21,3,136,-0.67
170,0,48084,Wesley Bryan,2.20,4,182,E
171,0,36801,Mark Hubbard,2.14,3,140,-0.67
172,0,27958,Ryan Blaum,2.08,4,192,-0.75
173,0,23800,Bryce Molder,2.03,3,148,-0.67
174,0,19846,Brian Gay,1.92,3,156,-0.33
175,0,27466,Spencer Levin,1.85,3,162,E
176,0,28679,Fabián Gómez,1.69,2,118,-1.00
176,0,25345,Carl Pettersson,1.69,2,118,-0.50
178,0,40058,Zac Blair,1.58,3,190,+0.33
179,0,32200,Roberto Castro,1.56,2,128,-0.50
179,0,24138,Ian Poulter,1.56,2,128,-0.50
181,0,20593,Greg Chalmers,1.41,2,142,E
181,0,20104,Ken Duke,1.41,2,142,E
183,0,34466,Peter Malnati,1.23,2,162,-1.50
184,0,24507,Jason Bohn,.70,1,142,-2.00
185,0,20472,Alex Cejka,.68,1,146,E
186,0,23983,Luke Donald,.00,0,96,E
186,0,22986,Søren Kjeldsen,.00,0,90,E
186,0,25572,Graeme McDowell,.00,0,112,E
186,0,31560,Brian Stuard,.00,0,166,E
