RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
1,0,28237,Rory McIlroy,309.9,156169,504
2,0,30925,Dustin Johnson,306.4,254290,830
3,0,36689,Brooks Koepka,304.0,285118,938
4,0,27141,J.B. Holmes,303.3,259017,854
5,0,46970,Jon Rahm,301.9,278948,924
6,0,25804,Bubba Watson,300.2,223373,744
7,0,33448,Justin Thomas,299.6,273197,912
8,0,32366,Kevin Chappell,298.9,301305,1008
9,0,29725,Tony Finau,298.3,380019,1274
10,0,46601,Trey Mullinax,297.6,291028,978
11,0,34213,Grayson Murray,297.3,353190,1188
12,0,32333,Kevin Tway,297.0,307668,1036
13,0,28420,Ryan Brehm,296.9,270138,910
14,0,27129,Luke List,296.8,356197,1200
15,0,28089,Jason Day,296.5,229506,774
15,0,21209,Sergio Garcia,296.5,190926,644
17,0,46550,Brandon Hagy,296.4,286367,966
17,0,32839,Hideki Matsuyama,296.4,245989,830
19,0,24502,Adam Scott,296.1,174124,588
20,0,31323,Gary Woodland,295.8,280434,948
21,0,35300,Andrew Loupe,295.3,193690,656
22,0,48081,Xander Schauffele,294.9,305530,1036
23,0,30944,Jason Kokrak,294.5,341065,1158
23,0,29461,Jamie Lovemark,294.5,328649,1116
25,0,23320,Ryan Palmer,294.2,201817,686
26,0,27064,Jhonattan Vegas,294.1,293473,998
27,0,46440,Smylie Kaufman,294.0,258741,880
27,0,34046,Jordan Spieth,294.0,281026,956
29,0,12716,Charley Hoffman,293.8,383140,1304
30,0,33948,Byeong Hun An,293.6,233124,794
30,0,22405,Justin Rose,293.6,217852,742
32,0,26331,Charl Schwartzel,292.6,195437,668
33,0,29518,Brendan Steele,292.0,291420,998
34,0,28500,Martin Flores,291.9,273264,936
34,0,36699,Patrick Rodgers,291.9,269127,922
36,0,24140,Sean O'Hair,291.6,285173,978
36,0,26329,Louis Oosthuizen,291.6,208224,714
38,0,26300,Matt Jones,291.4,208025,714
39,0,33204,Shane Lowry,291.3,154953,532
39,0,34360,Patrick Reed,291.3,342565,1176
39,0,23497,Tag Ridings,291.3,203913,700
42,0,47959,Bryson DeChambeau,290.9,296178,1018
43,0,35450,Patrick Cantlay,290.6,186012,640
44,0,24358,Robert Garrigus,290.5,242840,836
44,0,34264,Hudson Swafford,290.5,307925,1060
46,0,26851,Marc Leishman,290.3,296688,1022
46,0,46501,Ollie Schniederjans,290.3,328592,1132
48,0,32102,Rickie Fowler,290.2,255966,882
48,0,37189,Harold Varner III,290.2,348839,1202
50,0,46732,Rick Lamb,290.0,154291,532
51,0,40026,Daniel Berger,289.9,280598,968
52,0,29974,Branden Grace,289.8,191816,662
53,0,29420,Billy Horschel,289.7,323915,1118
53,0,48822,Sebastián Muñoz,289.7,158157,546
55,0,21961,Charles Howell III,289.3,274241,948
55,0,31420,Anirban Lahiri,289.3,238979,826
57,0,01810,Phil Mickelson,289.2,279407,966
57,0,30692,Scott Stallings,289.2,274118,948
59,0,20229,Stewart Cink,288.8,326327,1130
60,0,27436,Graham DeLaet,288.6,285751,990
60,0,37455,Si Woo Kim,288.6,243293,843
62,0,25900,Lucas Glover,288.4,346064,1200
62,0,27974,Sung Kang,288.4,330495,1146
64,0,28307,Matt Every,288.2,245578,852
65,0,33141,Keegan Bradley,288.0,365782,1270
65,0,29720,Andres Gonzales,288.0,229860,798
65,0,25632,Jimmy Walker,288.0,202765,704
68,0,24781,Hunter Mahan,287.9,236639,822
68,0,25818,Scott Piercy,287.9,196950,684
68,0,27095,Nick Watney,287.9,256824,892
71,0,46443,Brian Campbell,287.8,165175,574
71,0,25686,Jason Dufner,287.8,290073,1008
71,0,34099,Harris English,287.8,288930,1004
74,0,39954,Cody Gribble,287.3,282173,982
75,0,22056,Cameron Percy,286.9,220931,770
76,0,33461,Morgan Hoffmann,286.8,328128,1144
76,0,35506,Mackenzie Hughes,286.8,386575,1348
76,0,29289,S.Y. Noh,286.8,300519,1048
76,0,49771,J.T. Poston,286.8,291966,1018
76,0,28252,Seamus Power,286.8,271891,948
81,0,34098,Russell Henley,286.4,343712,1200
82,0,40009,Dominic Bozzelli,286.3,219309,766
83,0,25364,Paul Casey,285.9,284193,994
83,0,34021,Bud Cauley,285.9,327121,1144
85,0,27936,Martin Laird,285.7,287455,1006
85,0,25198,Francesco Molinari,285.7,235952,826
87,0,30110,Kyle Stanley,285.5,374615,1312
88,0,34431,Robert Streb,285.3,334933,1174
89,0,28093,Miguel Angel Carballo,285.1,171602,602
89,0,30191,Julián Etulain,285.1,203543,714
89,0,35891,Cameron Smith,285.1,282277,990
92,0,20157,Retief Goosen,285.0,162999,572
92,0,33122,Russell Knox,285.0,216018,758
94,0,25191,Gonzalo Fernandez-Castaño,284.9,175471,616
94,0,23621,Rory Sabbatini,284.9,211410,742
96,0,33418,Shawn Stefani,284.7,238584,838
96,0,27214,Kevin Streelman,284.7,309760,1088
96,0,25493,Nick Taylor,284.7,329654,1158
99,0,27644,Brian Harman,284.6,342105,1202
99,0,31557,Jim Herman,284.6,262949,924
99,0,34409,David Lingmerth,284.6,273813,962
102,0,31646,Emiliano Grillo,284.5,262914,924
103,0,32448,James Hahn,284.4,322542,1134
103,0,23353,J.J. Henry,284.4,297431,1046
105,0,39324,J.J. Spaun,284.0,285738,1006
106,0,35532,Tom Hoge,283.8,154947,546
106,0,23108,Matt Kuchar,283.8,304786,1074
108,0,30852,Ryo Ishikawa,283.7,169669,598
109,0,26499,Rafa Cabrera Bello,283.5,182566,644
109,0,33399,Adam Hadwin,283.5,312424,1102
111,0,33413,Ben Martin,283.4,276605,976
