RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES
1,0,02190,Doug Tewell,70.91,1002,1413
2,0,01797,Rocco Mediate,70.85,1084,1530
3,0,01633,Tom Kite,70.22,1087,1548
4,0,02159,Curtis Strange,70.06,908,1296
5,0,01060,Dave Barr,70.00,1197,1710
6,0,02100,Tim Simpson,69.89,1177,1684
7,0,01715,Mark Lye,69.73,1117,1602
8,0,02241,Bobby Wadkins,69.58,1290,1854
9,0,02010,Loren Roberts,69.30,1397,2016
10,0,01975,Tom Purtzer,69.12,958,1386
11,0,02322,Richard Zokol,68.78,824,1198
12,0,01569,Peter Jacobsen,68.72,1002,1458
13,0,01837,Gil Morgan,68.69,1051,1530
14,0,01510,Nolan Henke,68.62,1087,1584
15,0,01938,David Peoples,68.02,1359,1998
16,0,01725,John Mahaffey,67.77,1171,1728
17,0,01219,John Cook,67.72,1158,1710
17,0,02148,Ray Stewart,67.72,1158,1710
17,0,02180,Harry Taylor,67.72,707,1044
20,0,01968,Nick Price,67.46,1190,1764
21,0,01945,Kenny Perry,67.42,898,1332
22,0,01559,Hale Irwin,67.40,740,1098
23,0,01042,Paul Azinger,67.29,1187,1764
24,0,01133,Billy Ray Brown,67.27,1005,1494
25,0,01823,Larry Mize,67.24,1053,1566
26,0,01690,Bruce Lietzke,67.21,738,1098
27,0,01196,Brian Claar,67.20,1016,1512
28,0,01226,Fred Couples,67.19,907,1350
29,0,01527,Scott Hoch,67.07,1053,1570
30,0,01766,Billy Mayfair,67.02,1315,1962
31,0,01323,Brad Fabel,66.99,1049,1566
32,0,01887,Mark O'Meara,66.86,1023,1530
33,0,06118,Greg Bruckner,66.73,1069,1602
33,0,02201,Jim Thorpe,66.73,1051,1575
35,0,01928,Corey Pavin,66.72,1261,1890
36,0,01161,Mark Calcavecchia,66.67,1116,1674
36,0,01783,Mark McCumber,66.67,996,1494
36,0,01876,Greg Norman,66.67,720,1080
36,0,02303,Robert Wrenn,66.67,1152,1728
40,0,06284,Jim Hallet,66.57,1378,2070
40,0,02067,Ted Schulz,66.57,1390,2088
42,0,01313,Steve Elkington,66.55,1150,1728
42,0,02049,Gene Sauers,66.55,1162,1746
44,0,01682,Wayne Levi,66.52,886,1332
45,0,01284,Mike Donald,66.47,1364,2052
46,0,02101,Joey Sindelar,66.46,957,1440
47,0,01203,Russ Cochran,66.44,1148,1728
47,0,01310,Dave Eichelberger,66.44,1190,1791
49,0,01098,Jay Don Blake,66.28,1093,1649
50,0,01049,Ian Baker-Finch,66.19,965,1458
51,0,01035,Tommy Armour III,66.07,1106,1674
52,0,01926,Steve Pate,65.94,1187,1800
53,0,01599,Steve Jones,65.86,901,1368
54,0,02170,Hal Sutton,65.80,1066,1620
55,0,01306,David Edwards,65.75,864,1314
55,0,01385,Jim Gallagher Jr.,65.75,1361,2070
57,0,02321,Fuzzy Zoeller,65.73,840,1278
58,0,01024,Billy Andrade,65.70,1218,1854
58,0,02292,Bob Wolcott,65.70,1017,1548
60,0,01469,Dan Halldorson,65.69,603,918
60,0,06332,Neal Lancaster,65.69,875,1332
62,0,01468,Gary Hallberg,65.64,957,1458
63,0,01151,Clark Burroughs,65.57,1133,1728
63,0,01418,Bill Glasson,65.57,758,1156
65,0,01320,Bob Estes,65.53,1097,1674
66,0,01078,Jim Benepe,65.36,1000,1530
67,0,01132,Mark Brooks,65.29,1328,2034
68,0,01996,Mike Reid,65.24,775,1188
69,0,02214,Kirk Triplett,65.22,904,1386
70,0,01040,Emlyn Aubrey,65.21,1162,1782
71,0,06128,Steve Lamontagne,65.18,996,1528
72,0,01723,Andrew Magee,65.14,1149,1764
73,0,02186,Brian Tennyson,65.10,1125,1728
74,0,01549,Mike Hulbert,65.07,1347,2070
75,0,01006,John Adams,65.02,1024,1575
76,0,01307,Joel Edwards,64.99,1006,1548
77,0,06132,Sonny Skinner,64.96,877,1350
78,0,02215,Paul Trittler,64.95,982,1512
79,0,02298,Jim Woodward,64.92,853,1314
80,0,02146,Payne Stewart,64.91,1110,1710
81,0,01443,Hubert Green,64.85,712,1098
82,0,01639,Kenny Knox,64.83,1097,1692
83,0,01156,Curt Byrum,64.79,1038,1602
84,0,01390,Buddy Gardner,64.78,1201,1854
85,0,01361,Dan Forsman,64.74,1010,1560
86,0,02223,Bob Tway,64.72,1130,1746
87,0,01971,Dillard Pruitt,64.70,920,1422
88,0,01946,Peter Persons,64.67,1164,1800
89,0,01388,Robert Gamez,64.63,919,1422
90,0,01096,Phil Blackmar,64.59,1058,1638
91,0,01333,Jack Ferenz,64.58,587,909
92,0,02087,Don Shirey Jr.,64.55,1069,1656
93,0,01235,Ben Crenshaw,64.54,790,1224
94,0,01943,Chris Perry,64.53,1115,1728
95,0,02090,Tom Sieckmann,64.52,1022,1584
96,0,02195,Leonard Thompson,64.43,1067,1656
97,0,01458,Jerry Haas,64.42,1032,1602
98,0,01444,Ken Green,64.40,1002,1556
99,0,01706,Davis Love III,64.29,1053,1638
100,0,01201,Lennie Clements,64.14,941,1467
101,0,01014,Fulton Allem,64.12,831,1296
101,0,01381,Fred Funk,64.12,958,1494
103,0,02242,Lanny Wadkins,64.09,946,1476
104,0,01935,Calvin Peete,64.08,744,1161
105,0,01261,Jay Delsing,64.06,1107,1728
106,0,01129,Bill Britton,64.03,1141,1782
107,0,01068,Andy Bean,64.01,772,1206
107,0,01457,Jay Haas,64.01,1060,1656
109,0,02225,Howard Twitty,63.98,1094,1710
110,0,06144,John Dowdall,63.94,633,990
111,0,01435,Wayne Grady,63.92,955,1494
111,0,01577,Lee Janzen,63.92,1116,1746
113,0,02239,Scott Verplank,63.89,1012,1584
114,0,01771,Blaine McCallister,63.86,1092,1710
115,0,01835,Tommy Moore,63.76,1010,1584
116,0,01487,Jeff Hart,63.75,941,1476
117,0,02256,Tom Watson,63.74,654,1026
118,0,01106,Jim Booros,63.70,1009,1584
118,0,06130,Jeffrey Wilson,63.70,860,1350
120,0,01846,Jodie Mudd,63.65,951,1494
121,0,02118,J.C. Snead,63.62,836,1314
122,0,01143,Brad Bryant,63.61,1042,1638
123,0,01093,Ronnie Black,63.49,960,1512
124,0,02133,Craig Stadler,63.47,754,1188
125,0,02246,Duffy Waldorf,63.45,1005,1584
126,0,01200,Keith Clearwater,63.43,874,1378
127,0,01154,Bill Buttner,63.35,992,1566
128,0,01499,Mark Hayes,63.30,866,1368
129,0,02033,Dave Rummells,63.19,944,1494
129,0,02111,Mike Smith,63.19,1035,1638
131,0,01266,Clark Dennis,63.18,978,1548
132,0,02224,Greg Twiggs,63.17,1012,1602
133,0,01701,Bob Lohr,63.14,1091,1728
134,0,01960,Don Pooley,63.08,849,1346
135,0,01571,Barry Jaeckel,63.06,647,1026
136,0,01197,Bobby Clampett,62.96,646,1026
137,0,02099,Scott Simpson,62.79,712,1134
138,0,02095,Larry Silveira,62.69,931,1485
139,0,02041,Bill Sander,62.68,1117,1782
139,0,02104,Jeff Sluman,62.68,1191,1900
141,0,06197,Michael Allen,62.62,1037,1656
142,0,01378,David Frost,62.53,923,1476
143,0,02267,D.A. Weibring,62.43,736,1179
144,0,01507,Webb Heintzelman,62.41,1069,1713
145,0,01346,Ed Fiori,62.40,1213,1944
146,0,01288,Ed Dougherty,62.35,853,1368
147,0,01072,Chip Beck,62.32,976,1566
