RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
1,0,23135,Tim Clark,.42,4,945,E
2,0,06621,Joe Durant,.89,7,789,+0.29
3,0,08385,Omar Uresti,.95,8,846,+1.25
4,0,10809,Jim Furyk,.96,8,833,+0.63
5,0,27214,Kevin Streelman,1.00,11,1105,+0.09
6,0,02206,David Toms,1.03,10,969,+0.50
7,0,01941,Tom Pernice Jr.,1.13,9,800,+0.56
8,0,26289,Boo Weekley,1.17,12,1029,E
9,0,26596,Ryan Moore,1.18,10,846,+0.50
9,0,10425,Jay Williamson,1.18,10,845,+1.10
11,0,01313,Steve Elkington,1.23,10,810,+0.10
12,0,06527,Steve Stricker,1.28,10,779,+0.10
13,0,23353,J.J. Henry,1.29,14,1085,+0.21
14,0,22621,Ben Curtis,1.31,12,916,+0.25
14,0,01797,Rocco Mediate,1.31,11,840,+0.55
16,0,07363,Craig Bowden,1.35,9,665,+0.89
17,0,06004,Stephen Ames,1.36,13,956,+0.54
18,0,01945,Kenny Perry,1.41,11,782,-0.09
19,0,23541,Ben Crane,1.42,13,916,+0.77
20,0,29910,Blake Adams,1.45,15,1034,+0.80
21,0,25686,Jason Dufner,1.46,14,957,+0.43
22,0,08075,Jerry Kelly,1.49,17,1144,+0.29
22,0,20127,Chris Riley,1.49,13,873,+0.69
22,0,06595,Kevin Sutherland,1.49,16,1076,+0.69
25,0,20645,John Senden,1.50,18,1203,+0.22
26,0,24024,Zach Johnson,1.53,16,1046,+0.88
27,0,01766,Billy Mayfair,1.55,14,903,+0.71
27,0,24140,Sean O'Hair,1.55,14,903,+0.36
29,0,21350,Ryuji Imada,1.56,18,1154,+0.61
30,0,22293,Heath Slocum,1.57,16,1019,+0.44
31,0,20472,Alex Cejka,1.61,15,931,+0.87
32,0,25396,Kevin Na,1.63,17,1044,+0.29
33,0,19846,Brian Gay,1.66,19,1144,+1.11
33,0,10585,Scott McCarron,1.66,19,1142,+0.68
33,0,06567,Vijay Singh,1.66,13,785,+0.46
