RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,23135,Tim Clark,87.87,1043,1187
2,0,23541,Ben Crane,87.83,1010,1150
3,0,06595,Kevin Sutherland,87.01,1038,1193
4,0,24781,Hunter Mahan,86.94,1025,1179
5,0,24924,Bill Haas,86.57,1051,1214
6,0,23788,D.J. Trahan,86.46,1111,1285
7,0,06527,Steve Stricker,86.42,878,1016
8,0,20645,John Senden,86.35,1246,1443
9,0,24912,Will MacKenzie,86.16,865,1004
10,0,11123,Chris Couch,86.09,792,920
10,0,19846,Brian Gay,86.09,1182,1373
12,0,02206,David Toms,85.98,1018,1184
13,0,25686,Jason Dufner,85.86,1044,1216
14,0,24502,Adam Scott,85.76,819,955
15,0,06643,Paul Goydos,85.61,934,1091
16,0,10809,Jim Furyk,85.60,886,1035
17,0,01706,Davis Love III,85.57,949,1109
17,0,26596,Ryan Moore,85.57,949,1109
19,0,06004,Stephen Ames,85.56,883,1032
20,0,23108,Matt Kuchar,85.48,1142,1336
21,0,24925,Jonathan Byrd,85.38,1010,1183
22,0,23325,Vaughn Taylor,85.33,1035,1213
23,0,27095,Nick Watney,85.31,1057,1239
24,0,01945,Kenny Perry,85.15,814,956
25,0,22621,Ben Curtis,85.13,933,1096
26,0,27120,Troy Matteson,84.97,1001,1178
27,0,22913,John Rollins,84.85,963,1135
28,0,08725,Tom Gillis,84.83,1146,1351
29,0,32102,Rickie Fowler,84.79,1165,1374
30,0,24024,Zach Johnson,84.65,1086,1283
31,0,24507,Jason Bohn,84.60,989,1169
32,0,10885,Robert Allenby,84.58,883,1044
33,0,02239,Scott Verplank,84.52,868,1027
34,0,24140,Sean O'Hair,84.50,976,1155
35,0,22293,Heath Slocum,84.40,1152,1365
36,0,23623,Bo Van Pelt,84.33,1232,1461
37,0,01948,Tim Petrovic,84.26,1237,1468
38,0,10585,Scott McCarron,84.24,1053,1250
39,0,24663,Y.E. Yang,84.07,834,992
40,0,20229,Stewart Cink,83.98,949,1130
41,0,20691,Greg Owen,83.96,806,960
41,0,22405,Justin Rose,83.96,916,1091
43,0,21731,Freddie Jacobson,83.88,973,1160
44,0,25240,D.A. Points,83.85,1054,1257
45,0,20574,Mathew Goggin,83.84,996,1188
46,0,12510,Chad Campbell,83.81,1087,1297
47,0,21753,Brian Davis,83.64,1176,1406
48,0,26695,Michael Letzig,83.58,977,1169
49,0,25804,Bubba Watson,83.55,899,1076
50,0,01797,Rocco Mediate,83.47,823,986
51,0,10860,Justin Leonard,83.43,1027,1231
52,0,20472,Alex Cejka,83.39,939,1126
53,0,25396,Kevin Na,83.38,1084,1300
54,0,21209,Sergio Garcia,83.31,609,731
55,0,29910,Blake Adams,83.22,972,1168
56,0,06567,Vijay Singh,83.03,866,1043
57,0,20572,Rod Pampling,83.01,889,1071
58,0,20160,Charlie Wi,82.97,1096,1321
