RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,32816,Satoshi Kodaira,34' 10",34.833,1,35,35
2,0,56762,Will Gordon,33' 9",134.917,4,57,10
3,0,32139,Danny Willett,32' 2",64.250,2,55,9
4,0,29518,Brendan Steele,30' 7",122.333,4,40,21
5,0,34360,Patrick Reed,29' 4",205.083,7,50,6
6,0,21961,Charles Howell III,28' 10",86.500,3,57,9
7,0,39324,J.J. Spaun,28' 7",28.583,1,29,29
8,0,23788,D.J. Trahan,28' 3",84.750,3,42,16
9,0,46550,Brandon Hagy,27' 9",111.000,4,47,8
10,0,47483,Will Zalatoris,27' 6",247.333,9,66,4
11,0,35506,Mackenzie Hughes,26' 11",161.500,6,62,12
12,0,32150,Michael Thompson,26' 7",106.417,4,36,23
13,0,22371,Aaron Baddeley,26' 6",26.500,1,27,27
13,0,26331,Charl Schwartzel,26' 6",132.583,5,54,2
15,0,40042,Tyler McCumber,26' 2",104.500,4,61,1
15,0,34213,Grayson Murray,26' 2",104.667,4,65,3
17,0,29478,Kevin Kisner,25' 10",129.167,5,55,5
18,0,39953,Chase Seiffert,25' 8",51.250,2,37,15
19,0,30110,Kyle Stanley,25' 7",153.417,6,48,2
20,0,51766,Wyndham Clark,25' 2",100.667,4,51,2
21,0,01810,Phil Mickelson,25' 0",25.000,1,25,25
22,0,25396,Kevin Na,24' 9",148.417,6,60,7
23,0,34098,Russell Henley,24' 5",122.083,5,42,5
24,0,23621,Rory Sabbatini,24' 4",73.000,3,43,12
24,0,51894,Vince Whaley,24' 4",121.583,5,36,11
26,0,26300,Matt Jones,23' 7",94.333,4,65,6
27,0,46441,Robby Shelton,23' 5",23.417,1,23,23
28,0,35658,Kris Ventura,23' 3",139.500,6,59,7
29,0,30163,Henrik Norlander,23' 1",161.583,7,39,2
30,0,29221,Webb Simpson,22' 6",135.083,6,35,10
31,0,33141,Keegan Bradley,22' 5",134.417,6,59,6
31,0,35230,Nelson Ledesma,22' 5",89.583,4,49,6
33,0,32448,James Hahn,22' 4",111.583,5,46,6
34,0,28420,Ryan Brehm,22' 3",22.250,1,22,22
34,0,49771,J.T. Poston,22' 3",222.583,10,61,5
34,0,25493,Nick Taylor,22' 3",155.833,7,52,4
37,0,33667,Carlos Ortiz,22' 2",244.250,11,38,4
37,0,35617,Martin Trainer,22' 2",66.583,3,31,14
39,0,35449,Adam Long,22' 1",44.083,2,31,13
40,0,27129,Luke List,21' 11",241.500,11,65,2
41,0,27064,Jhonattan Vegas,21' 10",109.167,5,41,6
42,0,34046,Jordan Spieth,21' 9",130.417,6,55,3
42,0,27095,Nick Watney,21' 9",43.417,2,26,18
44,0,36689,Brooks Koepka,21' 7",129.250,6,41,2
45,0,25686,Jason Dufner,21' 5",64.250,3,38,10
46,0,49298,Kramer Hickok,21' 3",42.500,2,22,20
47,0,25804,Bubba Watson,20' 8",165.333,8,50,2
48,0,31646,Emiliano Grillo,20' 4",81.250,4,25,14
49,0,49766,Hank Lebioda,20' 2",80.500,4,48,7
50,0,46046,Scottie Scheffler,20' 0",60.000,3,40,9
51,0,30692,Scott Stallings,19' 10",138.667,7,45,5
52,0,35461,Beau Hossler,19' 7",117.500,6,48,4
53,0,30925,Dustin Johnson,19' 6",155.917,8,54,2
54,0,26851,Marc Leishman,19' 5",116.583,6,46,3
55,0,30911,Tommy Fleetwood,19' 3",38.500,2,24,15
55,0,29420,Billy Horschel,19' 3",96.167,5,30,5
57,0,48081,Xander Schauffele,19' 2",153.167,8,82,2
57,0,32333,Kevin Tway,19' 2",96.000,5,42,2
