RANK,MOVEMENT,PLAYER_ID,PLAYER,% UNDER THEN OVER PAR,TOTAL UNDER THEN OVER PAR,UNDER PAR
1,0,02010,Loren Roberts,9.06,26,287
2,0,01457,Jay Haas,10.36,29,280
3,0,20157,Retief Goosen,11.16,24,215
4,0,02214,Kirk Triplett,11.26,34,302
5,0,12760,Danny Ellis,11.28,30,266
6,0,01142,Bart Bryant,11.30,27,239
7,0,01941,Tom Pernice Jr.,11.38,38,334
8,0,02239,Scott Verplank,12.25,43,351
9,0,20127,Chris Riley,12.29,29,236
10,0,01810,Phil Mickelson,12.58,40,318
11,0,01473,Todd Hamilton,12.77,36,282
12,0,08075,Jerry Kelly,12.81,51,398
13,0,08793,Tiger Woods,12.87,39,303
14,0,06567,Vijay Singh,12.88,60,466
15,0,02246,Duffy Waldorf,13.01,35,269
16,0,19972,José Coceres,13.06,29,222
17,0,20628,Arron Oberholser,13.08,31,237
18,0,23623,Bo Van Pelt,13.25,51,385
19,0,20645,John Senden,13.27,45,339
20,0,22548,Patrick Sheehan,13.28,53,399
21,0,20472,Alex Cejka,13.39,32,239
22,0,01388,Robert Gamez,13.41,48,358
23,0,22621,Ben Curtis,13.46,21,156
24,0,20121,Todd Fischer,13.47,45,334
25,0,06621,Joe Durant,13.53,41,303
26,0,06522,Ernie Els,13.54,31,229
26,0,10201,Matt Gogel,13.54,39,288
28,0,21805,Harrison Frazar,13.56,43,317
29,0,12652,Cameron Beckman,13.58,47,346
30,0,06373,José María Olazábal,13.61,23,169
31,0,21893,Brian Kortan,13.69,23,168
32,0,20229,Stewart Cink,13.73,49,357
33,0,20634,Peter Lonard,13.74,25,182
33,0,10423,Mike Weir,13.74,36,262
35,0,06595,Kevin Sutherland,13.79,36,261
36,0,01139,Olin Browne,13.82,42,304
36,0,23320,Ryan Palmer,13.82,51,369
38,0,22046,Geoff Ogilvy,13.83,48,347
39,0,12660,Jesper Parnevik,14.15,44,311
40,0,01320,Bob Estes,14.23,34,239
40,0,23108,Matt Kuchar,14.23,39,274
42,0,02223,Bob Tway,14.34,38,265
43,0,19825,Darren Clarke,14.37,25,174
44,0,25345,Carl Pettersson,14.40,55,382
45,0,21209,Sergio Garcia,14.41,34,236
46,0,10585,Scott McCarron,14.43,44,305
46,0,23621,Rory Sabbatini,14.43,44,305
48,0,21633,Steve Allan,14.45,49,339
49,0,24357,K.J. Choi,14.49,41,283
50,0,06004,Stephen Ames,14.56,53,364
51,0,07749,Brett Quigley,14.63,48,328
52,0,23135,Tim Clark,14.68,43,293
53,0,20098,Stuart Appleby,14.69,42,286
54,0,20498,Briny Baird,14.71,50,340
55,0,08537,J.P. Hayes,14.72,34,231
56,0,01926,Steve Pate,14.73,33,224
57,0,12645,Brent Geiberger,14.74,46,312
58,0,01706,Davis Love III,14.93,40,268
59,0,20433,Mark Hensby,14.96,51,341
60,0,06251,Chris DiMarco,14.97,53,354
61,0,25396,Kevin Na,14.98,46,307
62,0,02104,Jeff Sluman,15.07,52,345
63,0,22405,Justin Rose,15.09,40,265
64,0,10425,Jay Williamson,15.12,49,324
65,0,01887,Mark O'Meara,15.14,28,185
65,0,01945,Kenny Perry,15.14,43,284
67,0,12602,Dean Wilson,15.16,52,343
68,0,20850,Daniel Chopra,15.18,58,382
68,0,06575,Dudley Hart,15.18,29,191
70,0,01157,Tom Byrum,15.24,41,269
71,0,07457,Steve Flesch,15.34,58,378
72,0,02206,David Toms,15.36,43,280
73,0,24925,Jonathan Byrd,15.41,47,305
73,0,02101,Joey Sindelar,15.41,51,331
75,0,23541,Ben Crane,15.43,50,324
76,0,01042,Paul Azinger,15.44,42,272
77,0,01378,David Frost,15.45,38,246
77,0,10912,Craig Perks,15.45,34,220
79,0,20548,Hidemichi Tanaka,15.49,44,284
80,0,23325,Vaughn Taylor,15.58,50,321
81,0,23353,J.J. Henry,15.61,54,346
82,0,20572,Rod Pampling,15.63,53,339
83,0,01948,Tim Petrovic,15.65,54,345
84,0,21961,Charles Howell III,15.67,50,319
