RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,28089,Jason Day,.632,25.287,40
2,1,27942,Rob Oppenheim,.536,24.106,45
3,1,22371,Aaron Baddeley,.520,19.257,37
4,1,27649,Brandt Snedeker,.514,25.685,50
5,1,32839,Hideki Matsuyama,.458,27.951,61
6,1,35506,Mackenzie Hughes,.454,28.143,62
7,1,27349,Alex Noren,.443,19.947,45
8,1,28252,Seamus Power,.433,9.102,21
9,1,24502,Adam Scott,.424,12.714,30
10,1,48887,Matt Wallace,.401,16.034,40
11,1,21961,Charles Howell III,.392,19.581,50
12,1,34021,Bud Cauley,.380,22.029,58
13,1,01810,Phil Mickelson,.379,14.401,38
14,1,33948,Byeong Hun An,.373,22.406,60
15,1,27644,Brian Harman,.362,25.715,71
16,1,23621,Rory Sabbatini,.359,17.955,50
17,1,32618,Rhein Gibson,.342,11.628,34
18,3,33448,Justin Thomas,.339,19.637,58
19,0,34046,Jordan Spieth,.330,15.531,47
20,0,33667,Carlos Ortiz,.327,21.261,65
21,2,34360,Patrick Reed,.316,20.533,65
22,0,21209,Sergio Garcia,.308,9.847,32
23,0,37455,Si Woo Kim,.305,18.329,60
24,5,46970,Jon Rahm,.304,17.329,57
25,0,31560,Brian Stuard,.300,19.213,64
26,1,29484,Peter Uihlein,.290,9.557,33
27,5,34099,Harris English,.279,18.993,68
28,12,40026,Daniel Berger,.271,15.184,56
29,1,29970,Dylan Frittelli,.267,18.175,68
30,4,29725,Tony Finau,.266,15.705,59
31,0,24924,Bill Haas,.265,9.023,34
32,-6,29221,Webb Simpson,.244,12.435,51
32,3,37189,Harold Varner III,.244,13.914,57
34,2,21407,Arjun Atwal,.238,4.756,20
35,2,26476,Chez Reavie,.237,13.505,57
36,3,25349,Tim Wilkinson,.234,7.489,32
37,1,48081,Xander Schauffele,.225,13.755,61
38,3,34098,Russell Henley,.224,12.996,58
39,3,32102,Rickie Fowler,.222,9.107,41
40,3,33419,Cameron Tringale,.195,10.348,53
41,3,49298,Kramer Hickok,.193,6.961,36
42,-9,34363,Tyrrell Hatton,.184,6.242,34
43,2,35450,Patrick Cantlay,.170,7.484,44
44,3,25686,Jason Dufner,.167,9.343,56
45,3,27095,Nick Watney,.162,5.834,36
46,3,19803,Ryan Armour,.160,7.212,45
47,4,46550,Brandon Hagy,.149,5.347,36
48,4,33449,Zack Sucher,.148,3.559,24
49,-4,25396,Kevin Na,.140,8.258,59
50,6,45157,Cam Davis,.131,6.028,46
51,6,33399,Adam Hadwin,.130,7.042,54
52,7,28679,Fabián Gómez,.129,5.028,39
52,7,32791,K.H. Lee,.129,6.966,54
54,8,33204,Shane Lowry,.122,4.377,36
55,8,52375,Doug Ghim,.120,3.346,28
56,9,27129,Luke List,.118,6.971,59
57,9,32448,James Hahn,.117,3.149,27
58,17,46046,Scottie Scheffler,.115,8.080,70
59,8,33141,Keegan Bradley,.112,6.374,57
60,8,51766,Wyndham Clark,.110,5.037,46
60,-5,48822,Sebastián Muñoz,.110,8.617,78
62,7,49766,Hank Lebioda,.109,4.481,41
63,17,28237,Rory McIlroy,.108,5.524,51
64,6,30911,Tommy Fleetwood,.107,2.997,28
64,6,32333,Kevin Tway,.107,3.749,35
66,6,28775,Nate Lashley,.106,4.774,45
67,-4,29420,Billy Horschel,.095,5.596,59
67,6,49771,J.T. Poston,.095,5.999,63
67,6,23788,D.J. Trahan,.095,3.123,33
70,-16,30927,Brendon Todd,.092,6.873,75
71,-10,35891,Cameron Smith,.091,5.025,55
71,5,47128,Richy Werenski,.091,4.475,49
73,4,26300,Matt Jones,.089,5.710,64
74,4,29974,Branden Grace,.085,2.814,33
75,4,34213,Grayson Murray,.083,2.565,31
76,5,35310,Lanto Griffin,.077,6.158,80
76,6,33122,Russell Knox,.077,3.751,49
78,5,35732,Wes Roach,.073,1.608,22
79,5,30692,Scott Stallings,.072,3.812,53
80,5,34466,Peter Malnati,.067,3.165,47
81,5,32254,Xinjun Zhang,.063,3.693,59
82,5,31420,Anirban Lahiri,.057,1.309,23
83,5,24138,Ian Poulter,.053,2.005,38
84,5,26758,David Hearn,.047,1.692,36
85,5,33486,Roger Sloan,.042,1.595,38
86,5,29535,Brice Garnett,.027,1.236,45
87,5,23320,Ryan Palmer,.017,1.000,59
88,6,46402,Talor Gooch,.016,1.221,75
89,6,23108,Matt Kuchar,.015,.717,49
90,6,30110,Kyle Stanley,.014,.595,43
91,7,34314,Sebastian Cappelen,.010,.355,35
92,5,39971,Sungjae Im,.007,.591,79
93,5,50525,Collin Morikawa,.005,.384,71
94,6,29479,Scott Brown,.004,.190,50
95,27,30925,Dustin Johnson,.002,.078,47
95,6,27214,Kevin Streelman,.002,.137,57
97,5,27330,Josh Teater,-.009,-.242,27
98,5,49964,Aaron Wise,-.010,-.337,34
99,5,33490,Bo Hoag,-.015,-.745,49
100,5,36699,Patrick Rodgers,-.018,-1.320,75
101,5,27936,Martin Laird,-.023,-.663,29
102,5,36689,Brooks Koepka,-.028,-1.060,38
103,5,25493,Nick Taylor,-.030,-1.487,50
104,5,32757,Patton Kizzire,-.031,-1.473,47
104,5,25632,Jimmy Walker,-.031,-1.276,41
106,5,12716,Charley Hoffman,-.034,-1.617,48
107,5,56762,Will Gordon,-.036,-.803,22
108,5,29518,Brendan Steele,-.038,-2.111,56
109,5,34076,Joel Dahmen,-.040,-2.534,63
109,5,32150,Michael Thompson,-.040,-2.228,56
111,14,47959,Bryson DeChambeau,-.041,-2.539,62
112,4,23623,Bo Van Pelt,-.048,-1.501,31
113,4,46435,Austin Cook,-.049,-2.345,48
114,4,27963,Chris Stroud,-.051,-1.848,36
115,4,46442,Maverick McNealy,-.053,-3.071,58
116,4,35449,Adam Long,-.055,-3.900,71
117,6,10809,Jim Furyk,-.061,-2.212,36
117,6,19846,Brian Gay,-.061,-3.053,50
119,7,40058,Zac Blair,-.065,-3.246,50
119,7,36801,Mark Hubbard,-.065,-4.742,73
121,7,24361,Pat Perez,-.069,-2.760,40
122,7,32662,Michael Gligic,-.080,-2.706,34
123,7,29268,Bronson Burgoon,-.083,-3.740,45
124,7,35461,Beau Hossler,-.085,-4.178,49
125,7,34255,Joseph Bramlett,-.086,-3.357,39
126,7,27554,Scott Harrington,-.087,-4.712,54
127,7,45526,Abraham Ancer,-.093,-5.208,56
127,-6,29478,Kevin Kisner,-.093,-5.205,56
129,5,35532,Tom Hoge,-.095,-6.278,66
129,5,47347,Adam Schenk,-.095,-5.251,55
131,6,24024,Zach Johnson,-.098,-5.290,54
132,7,37275,Sam Ryder,-.099,-5.525,56
133,7,25572,Graeme McDowell,-.103,-3.815,37
134,7,29908,C.T. Pan,-.104,-4.490,43
135,7,33404,Chris Baker,-.105,-3.470,33
136,7,31646,Emiliano Grillo,-.107,-5.128,48
137,7,22405,Justin Rose,-.108,-3.564,33
138,7,40098,Matt Fitzpatrick,-.113,-4.989,44
139,7,20229,Stewart Cink,-.120,-5.409,45
140,9,26596,Ryan Moore,-.136,-4.612,34
141,9,47993,Denny McCarthy,-.137,-8.876,65
142,5,26851,Marc Leishman,-.143,-7.445,52
143,8,27064,Jhonattan Vegas,-.146,-5.412,37
144,8,33597,Harry Higgs,-.148,-10.246,69
144,8,27556,Ted Potter Jr.,-.148,-5.025,34
146,8,46441,Robby Shelton,-.153,-8.719,57
147,8,23325,Vaughn Taylor,-.155,-6.813,44
148,8,32366,Kevin Chappell,-.158,-5.071,32
148,8,36871,Matthew NeSmith,-.158,-8.536,54
150,8,33120,Mark Anderson,-.171,-6.332,37
151,8,39997,Corey Conners,-.175,-10.854,62
152,-4,45486,Joaquin Niemann,-.188,-12.206,65
152,8,32139,Danny Willett,-.188,-6.014,32
154,7,48119,Ben Taylor,-.192,-5.364,28
155,7,34563,Chesson Hadley,-.195,-8.965,46
156,7,45609,Tyler Duncan,-.202,-14.125,70
157,7,40042,Tyler McCumber,-.203,-7.709,38
158,7,30163,Henrik Norlander,-.204,-11.450,56
159,7,25804,Bubba Watson,-.209,-11.938,57
160,7,31323,Gary Woodland,-.210,-11.113,53
161,7,39324,J.J. Spaun,-.214,-10.283,48
162,7,33410,Andrew Landry,-.215,-12.038,56
163,7,30944,Jason Kokrak,-.227,-11.556,51
164,7,40009,Dominic Bozzelli,-.230,-5.530,24
165,7,27974,Sung Kang,-.231,-14.349,62
166,7,39953,Chase Seiffert,-.233,-8.389,36
167,7,32640,Troy Merritt,-.238,-13.104,55
168,14,46717,Viktor Hovland,-.243,-14.103,58
169,6,34431,Robert Streb,-.244,-7.809,32
170,6,34256,Andrew Putnam,-.246,-7.879,32
171,6,39977,Max Homa,-.248,-14.113,57
172,6,35617,Martin Trainer,-.253,-9.883,39
173,7,33413,Ben Martin,-.259,-5.707,22
173,7,51894,Vince Whaley,-.259,-7.257,28
175,8,22056,Cameron Percy,-.264,-8.701,33
176,8,26329,Louis Oosthuizen,-.268,-10.708,40
177,8,25900,Lucas Glover,-.286,-14.317,50
178,8,49960,Sepp Straka,-.288,-17.834,62
179,8,28420,Ryan Brehm,-.293,-9.365,32
179,0,52372,Cameron Champ,-.293,-17.856,61
181,7,29926,Danny Lee,-.296,-16.276,55
182,7,26499,Rafa Cabrera Bello,-.328,-12.804,39
183,7,53165,Doc Redman,-.332,-23.270,70
184,7,56278,Matthew Wolff,-.337,-21.203,63
185,7,25818,Scott Piercy,-.355,-17.738,50
186,7,25364,Paul Casey,-.363,-15.969,44
187,7,47504,Sam Burns,-.394,-21.654,55
188,7,28307,Matt Every,-.395,-16.179,41
189,7,48045,Michael Gellerman,-.403,-12.102,30
190,7,35230,Nelson Ledesma,-.424,-10.170,24
191,7,31557,Jim Herman,-.431,-22.433,52
192,7,39546,Keith Mitchell,-.459,-22.943,50
193,8,35658,Kris Ventura,-.665,-18.632,28
