RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46970,Jon Rahm,1.823,103.920,76.597,27.326,57
2,2,33448,Justin Thomas,1.709,99.147,100.966,-1.816,58
3,4,48081,Xander Schauffele,1.605,97.935,75.582,22.355,61
4,-1,29221,Webb Simpson,1.597,81.422,51.369,30.056,51
5,-3,47959,Bryson DeChambeau,1.566,97.074,56.300,40.776,62
6,-1,40026,Daniel Berger,1.560,87.337,57.892,29.450,56
7,-1,34099,Harris English,1.467,99.728,64.479,35.253,68
8,0,34363,Tyrrell Hatton,1.431,48.637,36.234,12.403,34
9,0,30925,Dustin Johnson,1.409,66.209,53.489,12.722,47
10,2,35450,Patrick Cantlay,1.316,57.911,48.274,9.642,44
11,0,34360,Patrick Reed,1.295,84.154,45.219,38.938,65
12,-2,29725,Tony Finau,1.243,73.346,65.102,8.246,59
12,1,28237,Rory McIlroy,1.243,63.401,67.021,-3.618,51
14,0,50525,Collin Morikawa,1.231,87.387,94.436,-7.044,71
15,2,46046,Scottie Scheffler,1.078,75.461,79.194,-3.730,70
16,-1,40098,Matt Fitzpatrick,1.067,46.946,8.206,38.741,44
17,-1,32839,Hideki Matsuyama,.964,58.815,87.431,-28.613,61
18,2,37189,Harold Varner III,.930,53.002,65.238,-12.233,57
19,2,24502,Adam Scott,.905,27.160,19.092,8.071,30
20,-1,45526,Abraham Ancer,.897,50.241,31.890,18.354,56
21,3,34098,Russell Henley,.853,49.492,60.399,-10.902,58
22,4,28089,Jason Day,.843,33.734,25.110,8.625,40
23,1,46717,Viktor Hovland,.789,45.755,48.533,-2.776,58
24,4,33419,Cameron Tringale,.788,41.784,37.224,4.562,53
25,2,39971,Sungjae Im,.784,61.938,43.558,18.384,79
26,3,31323,Gary Woodland,.783,41.495,23.504,17.994,53
27,-9,29420,Billy Horschel,.771,45.507,20.528,24.983,59
28,3,27644,Brian Harman,.767,54.466,32.611,21.859,71
29,-7,29478,Kevin Kisner,.757,42.409,11.128,31.283,56
30,2,25804,Bubba Watson,.711,40.541,36.913,3.630,57
31,2,32102,Rickie Fowler,.710,29.111,20.204,8.908,41
32,2,29518,Brendan Steele,.708,39.626,32.586,7.045,56
33,4,48822,Sebastián Muñoz,.691,53.922,49.608,4.319,78
33,-10,25396,Kevin Na,.691,40.753,-.126,40.883,59
35,1,24138,Ian Poulter,.689,26.165,.072,26.094,38
36,2,23108,Matt Kuchar,.677,33.150,-.498,33.651,49
37,3,27349,Alex Noren,.651,29.304,11.318,17.987,45
38,-3,35310,Lanto Griffin,.640,51.194,24.357,26.841,80
39,2,34021,Bud Cauley,.638,36.994,33.979,3.019,58
40,2,53165,Doc Redman,.594,41.557,41.853,-.293,70
41,2,34076,Joel Dahmen,.588,37.072,41.051,-3.975,63
42,2,21209,Sergio Garcia,.583,18.646,42.765,-24.118,32
43,2,33399,Adam Hadwin,.573,30.951,20.981,9.974,54
44,2,45157,Cam Davis,.560,25.779,25.570,.211,46
45,2,26596,Ryan Moore,.559,18.993,17.889,1.107,34
46,2,30911,Tommy Fleetwood,.556,15.569,3.321,12.249,28
47,2,35449,Adam Long,.533,37.824,21.808,16.021,71
48,3,36801,Mark Hubbard,.508,37.057,6.907,30.154,73
49,-10,45486,Joaquin Niemann,.502,32.649,48.360,-15.708,65
50,3,56278,Matthew Wolff,.491,30.947,23.223,7.727,63
51,3,47128,Richy Werenski,.484,23.715,-.025,23.741,49
52,4,47993,Denny McCarthy,.469,30.503,-33.698,64.205,65
53,4,24024,Zach Johnson,.466,25.142,5.240,19.906,54
54,5,33667,Carlos Ortiz,.458,29.780,23.590,6.195,65
55,5,25364,Paul Casey,.431,18.958,35.818,-16.858,44
55,5,49771,J.T. Poston,.431,27.139,-8.886,36.028,63
57,5,46402,Talor Gooch,.423,31.742,8.271,23.477,75
58,5,36689,Brooks Koepka,.420,15.970,24.924,-8.952,38
59,5,27214,Kevin Streelman,.414,23.596,28.400,-4.801,57
60,5,39997,Corey Conners,.405,25.086,62.462,-37.373,62
61,5,35532,Tom Hoge,.401,26.482,23.453,3.031,66
62,-5,30927,Brendon Todd,.397,29.765,-7.574,37.342,75
63,6,35506,Mackenzie Hughes,.392,24.303,-17.905,42.211,62
64,-12,52372,Cameron Champ,.390,23.782,34.324,-10.539,61
65,-15,23320,Ryan Palmer,.387,22.834,38.869,-16.031,59
66,1,36699,Patrick Rodgers,.386,28.954,-20.326,49.285,75
67,1,49960,Sepp Straka,.368,22.832,7.207,15.627,62
68,1,10809,Jim Furyk,.356,12.827,14.700,-1.869,36
69,3,47504,Sam Burns,.329,18.083,-4.396,22.482,55
70,3,32448,James Hahn,.327,8.828,11.073,-2.243,27
71,3,29535,Brice Garnett,.324,14.567,4.762,9.807,45
72,3,33204,Shane Lowry,.322,11.599,24.420,-12.819,36
73,3,22405,Justin Rose,.318,10.495,11.326,-.830,33
74,4,28252,Seamus Power,.307,6.456,4.192,2.263,21
75,4,47347,Adam Schenk,.303,16.651,10.182,6.472,55
76,4,27129,Luke List,.301,17.777,47.520,-29.741,59
77,4,12716,Charley Hoffman,.300,14.384,10.302,4.087,48
78,4,30944,Jason Kokrak,.293,14.919,29.298,-14.376,51
79,4,30163,Henrik Norlander,.281,15.745,15.947,-.201,56
80,4,39977,Max Homa,.279,15.913,7.952,7.965,57
80,4,36871,Matthew NeSmith,.279,15.063,8.586,6.479,54
82,4,26476,Chez Reavie,.278,15.868,32.454,-16.581,57
83,4,56762,Will Gordon,.276,6.072,9.269,-3.197,22
83,4,34563,Chesson Hadley,.276,12.677,15.669,-2.989,46
83,4,27095,Nick Watney,.276,9.953,5.213,4.743,36
86,4,24361,Pat Perez,.272,10.898,.769,10.132,40
87,4,29268,Bronson Burgoon,.268,12.038,-4.296,16.336,45
88,4,37455,Si Woo Kim,.267,16.009,20.749,-4.736,60
89,4,32254,Xinjun Zhang,.260,15.331,10.182,5.153,59
90,4,31560,Brian Stuard,.252,16.096,8.810,7.289,64
91,4,29970,Dylan Frittelli,.245,16.655,24.230,-7.570,68
92,4,46442,Maverick McNealy,.244,14.137,-24.326,38.465,58
93,5,30692,Scott Stallings,.208,11.029,10.039,.992,53
94,5,39953,Chase Seiffert,.196,7.066,-3.725,10.792,36
95,5,27649,Brandt Snedeker,.192,9.588,-7.765,17.357,50
96,5,21961,Charles Howell III,.177,8.848,-1.991,10.844,50
97,5,01810,Phil Mickelson,.147,5.567,8.737,-3.167,38
98,-1,35891,Cameron Smith,.146,8.053,-7.371,15.427,55
99,4,34046,Jordan Spieth,.137,6.450,6.284,.168,47
100,4,22056,Cameron Percy,.113,3.715,4.626,-.909,33
101,4,20229,Stewart Cink,.101,4.566,-.874,5.441,45
102,4,25900,Lucas Glover,.085,4.231,22.015,-17.783,50
103,4,27064,Jhonattan Vegas,.079,2.931,15.765,-12.830,37
104,4,30110,Kyle Stanley,.074,3.183,17.068,-13.882,43
105,4,25493,Nick Taylor,.073,3.642,5.810,-2.164,50
106,4,23621,Rory Sabbatini,.071,3.561,4.308,-.743,50
107,4,33948,Byeong Hun An,.055,3.273,34.782,-31.506,60
108,4,29974,Branden Grace,.053,1.746,13.370,-11.623,33
109,4,45609,Tyler Duncan,.042,2.936,12.145,-9.207,70
110,4,48887,Matt Wallace,.031,1.252,.179,1.073,40
111,4,33122,Russell Knox,.030,1.465,18.640,-17.172,49
112,5,25686,Jason Dufner,.004,.243,38.404,-38.160,56
113,5,37275,Sam Ryder,-.013,-.722,1.248,-1.966,56
114,5,33141,Keegan Bradley,-.045,-2.559,36.350,-38.906,57
115,5,23325,Vaughn Taylor,-.058,-2.554,-15.500,12.948,44
116,5,26329,Louis Oosthuizen,-.060,-2.399,-12.711,10.314,40
117,5,25349,Tim Wilkinson,-.065,-2.066,.659,-2.724,32
118,5,33120,Mark Anderson,-.075,-2.775,-3.772,.998,37
119,5,22371,Aaron Baddeley,-.081,-2.994,-12.477,9.487,37
120,5,27936,Martin Laird,-.082,-2.388,12.041,-14.427,29
121,5,29926,Danny Lee,-.088,-4.857,5.872,-10.725,55
122,6,35658,Kris Ventura,-.115,-3.207,-22.625,19.419,28
123,6,33404,Chris Baker,-.120,-3.945,11.341,-15.286,33
124,6,46441,Robby Shelton,-.121,-6.892,1.755,-8.643,57
125,6,33597,Harry Higgs,-.122,-8.444,-13.932,5.492,69
126,6,26300,Matt Jones,-.129,-8.245,-12.137,3.895,64
127,6,46435,Austin Cook,-.150,-7.202,-12.732,5.532,48
128,6,29484,Peter Uihlein,-.154,-5.093,-17.047,11.955,33
129,6,32640,Troy Merritt,-.166,-9.112,-34.977,25.869,55
130,6,25818,Scott Piercy,-.169,-8.474,2.156,-10.626,50
131,6,32150,Michael Thompson,-.173,-9.695,-19.830,10.137,56
132,6,31646,Emiliano Grillo,-.182,-8.745,34.711,-43.454,48
132,6,32791,K.H. Lee,-.182,-9.803,-4.293,-5.508,54
134,6,19803,Ryan Armour,-.193,-8.700,10.106,-18.804,45
135,6,32662,Michael Gligic,-.208,-7.086,-1.119,-5.966,34
136,-9,26851,Marc Leishman,-.239,-12.432,1.067,-13.496,52
137,5,28679,Fabián Gómez,-.248,-9.672,-10.099,.430,39
138,5,39546,Keith Mitchell,-.258,-12.875,-23.892,11.020,50
139,5,33413,Ben Martin,-.259,-5.688,-6.003,.316,22
140,6,26758,David Hearn,-.281,-10.124,-14.455,4.332,36
141,6,32139,Danny Willett,-.289,-9.252,-16.911,7.659,32
142,6,34255,Joseph Bramlett,-.298,-11.628,-5.602,-6.026,39
143,6,51766,Wyndham Clark,-.302,-13.913,-39.516,25.606,46
144,6,46550,Brandon Hagy,-.311,-11.211,-16.979,5.769,36
145,6,28775,Nate Lashley,-.321,-14.460,-23.499,9.043,45
146,6,33490,Bo Hoag,-.332,-16.246,-22.232,5.988,49
147,6,27554,Scott Harrington,-.344,-18.592,-23.351,4.760,54
148,6,29479,Scott Brown,-.347,-17.325,-4.392,-12.932,50
149,6,32366,Kevin Chappell,-.364,-11.637,-17.974,6.339,32
150,6,27942,Rob Oppenheim,-.368,-16.573,5.893,-22.464,45
151,6,49964,Aaron Wise,-.369,-12.543,3.747,-16.288,34
152,6,33449,Zack Sucher,-.381,-9.151,-3.070,-6.083,24
153,6,34466,Peter Malnati,-.492,-23.139,-38.771,15.634,47
154,6,35461,Beau Hossler,-.499,-24.448,-46.789,22.344,49
155,6,52375,Doug Ghim,-.520,-14.546,-5.566,-8.979,28
156,7,26499,Rafa Cabrera Bello,-.524,-20.422,-23.038,2.616,39
157,7,48045,Michael Gellerman,-.525,-15.755,-21.587,5.833,30
158,7,49298,Kramer Hickok,-.530,-19.062,.161,-19.222,36
159,7,27974,Sung Kang,-.532,-33.009,-13.977,-19.028,62
160,7,33410,Andrew Landry,-.536,-30.005,-10.886,-19.116,56
161,7,27963,Chris Stroud,-.577,-20.766,-22.868,2.104,36
162,7,19846,Brian Gay,-.578,-28.901,-35.370,6.473,50
163,7,23788,D.J. Trahan,-.581,-19.163,-4.074,-15.089,33
164,7,48119,Ben Taylor,-.584,-16.364,-16.313,-.049,28
165,7,33486,Roger Sloan,-.600,-22.791,-20.519,-2.269,38
166,7,32757,Patton Kizzire,-.606,-28.493,-49.803,21.313,47
167,7,49766,Hank Lebioda,-.621,-25.444,-.237,-25.205,41
168,7,39324,J.J. Spaun,-.660,-31.688,-25.784,-5.902,48
169,7,31420,Anirban Lahiri,-.674,-15.511,-10.412,-5.097,23
170,7,34213,Grayson Murray,-.691,-21.407,2.472,-23.877,31
171,7,40042,Tyler McCumber,-.725,-27.553,.996,-28.548,38
172,7,51894,Vince Whaley,-.745,-20.872,-28.629,7.757,28
173,7,25572,Graeme McDowell,-.788,-29.154,-20.953,-8.198,37
174,7,27330,Josh Teater,-.793,-21.402,.186,-21.589,27
175,7,40058,Zac Blair,-.809,-40.462,-45.623,5.163,50
176,7,28420,Ryan Brehm,-.821,-26.259,-8.743,-17.514,32
177,7,25632,Jimmy Walker,-.846,-34.675,-20.355,-14.318,41
178,7,29908,C.T. Pan,-.852,-36.650,-3.658,-32.990,43
179,7,32618,Rhein Gibson,-.870,-29.591,-44.293,14.703,34
180,7,27556,Ted Potter Jr.,-.883,-30.018,-14.117,-15.900,34
181,7,31557,Jim Herman,-.901,-46.834,-34.328,-12.504,52
182,7,40009,Dominic Bozzelli,-.963,-23.103,-35.106,12.003,24
183,7,21407,Arjun Atwal,-1.002,-20.042,-9.089,-10.953,20
184,7,32333,Kevin Tway,-1.013,-35.454,-23.240,-12.211,35
185,7,34256,Andrew Putnam,-1.021,-32.657,-59.580,26.925,32
186,7,35732,Wes Roach,-1.056,-23.228,-12.126,-11.103,22
187,7,24924,Bill Haas,-1.064,-36.167,.153,-36.320,34
188,7,34314,Sebastian Cappelen,-1.090,-38.165,-40.076,1.912,35
189,7,34431,Robert Streb,-1.155,-36.968,-18.625,-18.343,32
190,7,28307,Matt Every,-1.766,-72.388,-46.316,-26.070,41
191,7,35230,Nelson Ledesma,-1.835,-44.037,-42.547,-1.490,24
192,8,23623,Bo Van Pelt,-2.460,-76.245,-51.962,-24.281,31
193,8,35617,Martin Trainer,-3.454,-134.688,-122.028,-12.658,39
