RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,08075,Jerry Kelly,74.14,751,1013,-0.12
2,0,22293,Heath Slocum,72.96,761,1043,-0.13
3,0,23135,Tim Clark,72.52,504,695,-0.14
4,0,10809,Jim Furyk,71.38,646,905,-0.18
5,0,25572,Graeme McDowell,71.19,378,531,-0.16
6,0,02206,David Toms,69.56,425,611,-0.14
7,0,23204,Gary Christian,69.44,725,1044,-0.16
8,0,21878,Mark Wilson,69.18,651,941,-0.11
9,0,06251,Chris DiMarco,69.17,691,999,-0.07
10,0,22621,Ben Curtis,68.91,461,669,-0.16
11,0,24024,Zach Johnson,68.87,708,1028,-0.20
12,0,24138,Ian Poulter,68.43,362,529,-0.15
13,0,34174,John Huh,68.27,809,1185,-0.13
14,0,29420,Billy Horschel,68.07,454,667,-0.16
15,0,21753,Brian Davis,67.85,743,1095,-0.16
16,0,26476,Chez Reavie,67.76,622,918,-0.14
17,0,27060,John Mallinger,67.74,590,871,-0.13
18,0,30711,Colt Knost,67.60,628,929,-0.09
19,0,29910,Blake Adams,67.35,823,1222,-0.16
20,0,35139,Richard Lee,67.30,535,795,-0.15
21,0,24781,Hunter Mahan,67.26,600,892,-0.16
22,0,01724,Jeff Maggert,67.25,727,1081,-0.13
23,0,25396,Kevin Na,66.92,605,904,-0.16
24,0,11123,Chris Couch,66.85,498,745,-0.13
25,0,24507,Jason Bohn,66.74,610,914,-0.13
26,0,33122,Russell Knox,66.58,518,778,-0.17
27,0,26596,Ryan Moore,66.43,748,1126,-0.19
28,0,28087,Kris Blanks,66.39,553,833,-0.08
29,0,26289,Boo Weekley,66.38,535,806,-0.12
30,0,25686,Jason Dufner,66.37,588,886,-0.23
30,0,27644,Brian Harman,66.37,809,1219,-0.16
32,0,28455,Will Claxton,66.11,788,1192,-0.18
33,0,08725,Tom Gillis,66.00,631,956,-0.16
34,0,01766,Billy Mayfair,65.95,709,1075,-0.09
35,0,20104,Ken Duke,65.84,823,1250,-0.19
36,0,25240,D.A. Points,65.77,734,1116,-0.14
37,0,26679,Kevin Stadler,65.64,638,972,-0.14
38,0,20098,Stuart Appleby,65.49,592,904,-0.13
39,0,32102,Rickie Fowler,65.43,598,914,-0.15
40,0,32200,Roberto Castro,65.42,683,1044,-0.15
41,0,23541,Ben Crane,65.39,563,861,-0.13
42,0,33419,Cameron Tringale,65.03,690,1061,-0.17
43,0,06036,Scott Dunlap,64.90,416,641,-0.08
44,0,21528,Henrik Stenson,64.84,378,583,-0.15
45,0,20623,Gavin Coles,64.82,514,793,-0.13
45,0,27933,John Merrick,64.82,645,995,-0.19
47,0,20645,John Senden,64.80,554,855,-0.20
48,0,06527,Steve Stricker,64.72,488,754,-0.21
49,0,24357,K.J. Choi,64.54,506,784,-0.15
50,0,25457,Alexandre Rocha,64.47,450,698,-0.10
51,0,22405,Justin Rose,64.26,471,733,-0.20
52,0,20572,Rod Pampling,64.20,615,958,-0.15
53,0,22348,Nick O'Hern,64.17,600,935,-0.11
54,0,22913,John Rollins,64.02,630,984,-0.16
55,0,22582,Kyle Thompson,63.87,327,512,-0.07
56,0,27556,Ted Potter Jr.,63.81,543,851,-0.10
57,0,22961,David Mathis,63.75,612,960,-0.12
58,0,23108,Matt Kuchar,63.71,581,912,-0.23
59,0,23623,Bo Van Pelt,63.67,573,900,-0.23
60,0,26287,Roland Thatcher,63.65,387,608,-0.11
61,0,24924,Bill Haas,63.60,540,849,-0.21
62,0,26331,Charl Schwartzel,63.59,351,552,-0.20
63,0,23638,Brendon de Jonge,63.55,898,1413,-0.19
64,0,27214,Kevin Streelman,63.13,673,1066,-0.16
65,0,06573,Brandt Jobe,63.08,393,623,-0.11
66,0,08793,Tiger Woods,63.06,420,666,-0.23
67,0,29518,Brendan Steele,62.92,565,898,-0.13
68,0,23983,Luke Donald,62.90,417,663,-0.19
69,0,19846,Brian Gay,62.86,677,1077,-0.14
70,0,20160,Charlie Wi,62.85,631,1004,-0.15
71,0,26758,David Hearn,62.84,766,1219,-0.15
72,0,21407,Arjun Atwal,62.80,574,914,-0.13
72,0,25892,Steve Wheatcroft,62.80,368,586,-0.11
74,0,06567,Vijay Singh,62.76,706,1125,-0.20
75,0,10213,Dicky Pride,62.65,426,680,-0.15
76,0,23353,J.J. Henry,62.58,617,986,-0.18
77,0,06004,Stephen Ames,62.57,336,537,-0.11
77,0,24361,Pat Perez,62.57,595,951,-0.19
79,0,33141,Keegan Bradley,62.54,616,985,-0.21
80,0,25834,Daniel Summerhays,62.47,591,946,-0.15
81,0,26329,Louis Oosthuizen,62.39,418,670,-0.18
82,0,12652,Cameron Beckman,62.37,595,954,-0.11
83,0,01797,Rocco Mediate,62.36,502,805,-0.14
84,0,23788,D.J. Trahan,62.34,533,855,-0.11
85,0,20593,Greg Chalmers,62.31,643,1032,-0.15
86,0,24604,Hunter Haas,62.27,449,721,-0.13
87,0,23800,Bryce Molder,62.17,613,986,-0.16
87,0,29476,Kyle Reifers,62.17,636,1023,-0.15
89,0,27770,Camilo Villegas,62.10,626,1008,-0.19
90,0,27963,Chris Stroud,62.06,646,1041,-0.14
91,0,26951,Johnson Wagner,62.02,658,1061,-0.14
92,0,29478,Kevin Kisner,61.90,455,735,-0.15
93,0,12716,Charley Hoffman,61.88,651,1052,-0.16
94,0,27330,Josh Teater,61.87,709,1146,-0.16
95,0,28475,Jeff Overton,61.77,787,1274,-0.22
96,0,01320,Bob Estes,61.76,554,897,-0.15
97,0,10860,Justin Leonard,61.55,581,944,-0.10
98,0,23325,Vaughn Taylor,61.47,544,885,-0.16
99,0,20396,Lee Westwood,61.44,341,555,-0.21
100,0,21209,Sergio Garcia,61.41,374,609,-0.20
101,0,22046,Geoff Ogilvy,61.32,466,760,-0.18
102,0,27436,Graham DeLaet,61.24,602,983,-0.16
103,0,28307,Matt Every,61.16,540,883,-0.18
104,0,23621,Rory Sabbatini,61.12,613,1003,-0.18
105,0,20766,Padraig Harrington,61.07,378,619,-0.20
106,0,32150,Michael Thompson,61.03,545,893,-0.16
107,0,29222,Billy Hurley III,60.99,480,787,-0.06
107,0,31202,William McGirt,60.99,666,1092,-0.14
109,0,29221,Webb Simpson,60.96,559,917,-0.20
110,0,29479,Scott Brown,60.94,429,704,-0.14
111,0,24490,George McNeill,60.88,596,979,-0.14
112,0,34021,Bud Cauley,60.78,761,1252,-0.19
113,0,27302,Garth Mulroy,60.69,386,636,-0.16
114,0,01941,Tom Pernice Jr.,60.56,433,715,-0.11
114,0,27649,Brandt Snedeker,60.56,545,900,-0.23
116,0,12510,Chad Campbell,60.48,609,1007,-0.15
117,0,30926,Chris Kirk,60.44,712,1178,-0.20
118,0,20691,Greg Owen,60.41,641,1061,-0.13
119,0,24140,Sean O'Hair,60.32,637,1056,-0.17
120,0,01706,Davis Love III,60.22,433,719,-0.15
121,0,24663,Y.E. Yang,60.18,402,668,-0.13
122,0,12782,Tim Herron,59.92,634,1058,-0.17
123,0,34099,Harris English,59.90,723,1207,-0.17
124,0,23548,Bill Lunde,59.76,554,927,-0.18
125,0,24502,Adam Scott,59.75,337,564,-0.23
126,0,30110,Kyle Stanley,59.61,580,973,-0.15
127,0,32698,Bobby Gates,59.35,619,1043,-0.14
127,0,22548,Patrick Sheehan,59.35,365,615,-0.08
129,0,23542,Tommy Biershenk,59.32,474,799,-0.12
130,0,27936,Martin Laird,59.23,446,753,-0.21
131,0,30692,Scott Stallings,59.12,554,937,-0.14
132,0,10885,Robert Allenby,59.08,537,909,-0.10
133,0,27095,Nick Watney,59.03,621,1052,-0.22
134,0,27895,Jonas Blixt,59.01,524,888,-0.23
135,0,20574,Mathew Goggin,58.98,450,763,-0.16
136,0,29289,S.Y. Noh,58.94,692,1174,-0.15
137,0,20848,Ángel Cabrera,58.90,301,511,-0.12
138,0,29926,Danny Lee,58.83,473,804,-0.13
139,0,22378,Trevor Immelman,58.76,466,793,-0.15
139,0,21731,Freddie Jacobson,58.76,359,611,-0.17
141,0,25804,Bubba Watson,58.67,416,709,-0.27
142,0,24846,Ricky Barnes,58.52,666,1138,-0.14
142,0,32334,Charlie Beljan,58.52,347,593,-0.13
144,0,30927,Brendon Todd,58.45,505,864,-0.12
145,0,23718,Nathan Green,58.39,463,793,-0.17
146,0,23320,Ryan Palmer,58.29,573,983,-0.19
147,0,28093,Miguel Angel Carballo,58.03,459,791,-0.15
148,0,27974,Sung Kang,57.53,489,850,-0.04
149,0,24494,Erik Compton,57.50,510,887,-0.14
150,0,24925,Jonathan Byrd,57.42,445,775,-0.20
151,0,30925,Dustin Johnson,57.38,416,725,-0.25
152,0,25818,Scott Piercy,57.30,675,1178,-0.25
153,0,06522,Ernie Els,57.21,512,895,-0.16
154,0,24358,Robert Garrigus,56.95,582,1022,-0.23
155,0,28259,Sangmoon Bae,56.84,449,790,-0.10
156,0,32366,Kevin Chappell,56.81,567,998,-0.17
157,0,25345,Carl Pettersson,56.76,630,1110,-0.24
158,0,21350,Ryuji Imada,56.75,538,948,-0.12
159,0,01249,John Daly,56.73,295,520,-0.20
160,0,06034,Marco Dawson,56.40,357,633,-0.16
161,0,27141,J.B. Holmes,56.21,597,1062,-0.19
