RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,0,52955,Ludvig Åberg,59.38%,95,160
2,0,35450,Patrick Cantlay,57.27%,126,220
3,0,39971,Sungjae Im,56.37%,177,314
4,0,46046,Scottie Scheffler,55.30%,146,264
5,0,57366,Cameron Young,54.48%,146,268
6,0,29725,Tony Finau,54.23%,141,260
7,0,58168,Davis Thompson,53.77%,171,318
8,0,51766,Wyndham Clark,53.70%,174,324
9,0,28237,Rory McIlroy,53.26%,98,184
10,0,50525,Collin Morikawa,53.25%,131,246
11,0,40098,Matt Fitzpatrick,53.13%,119,224
12,0,54421,Garrick Higgo,53.03%,184,347
13,0,33448,Justin Thomas,52.56%,123,234
14,0,51070,Vincent Norrman,52.54%,145,276
15,0,46970,Jon Rahm,52.23%,117,224
16,0,45157,Cam Davis,52.22%,141,270
17,0,36799,Stephan Jaeger,52.09%,199,382
18,0,29221,Webb Simpson,51.72%,90,174
19,0,28775,Nate Lashley,51.70%,182,352
20,0,55182,Tom Kim,51.09%,140,274
21,0,32757,Patton Kizzire,50.92%,166,326
22,0,56762,Will Gordon,50.83%,183,360
23,0,46717,Viktor Hovland,50.76%,134,264
24,0,52453,Nicolai Hojgaard,50.68%,75,148
24,0,58696,Peter Kuest,50.68%,75,148
26,0,34046,Jordan Spieth,50.45%,113,224
26,0,35617,Martin Trainer,50.45%,113,224
28,0,23108,Matt Kuchar,50.36%,140,278
29,0,32791,K.H. Lee,50.30%,169,336
30,0,32102,Rickie Fowler,50.00%,149,298
30,0,57975,Harry Hall,50.00%,165,330
30,0,22405,Justin Rose,50.00%,106,212
33,0,39067,MJ Daffue,49.71%,172,346
33,0,51634,Sahith Theegala,49.71%,169,340
35,0,27554,Scott Harrington,49.64%,138,278
36,0,27644,Brian Harman,49.63%,135,272
37,0,48084,Wesley Bryan,49.39%,81,164
38,0,51414,Brent Grant,49.29%,139,282
39,0,55454,Carl Yuan,49.28%,136,276
40,0,48081,Xander Schauffele,49.19%,122,248
41,0,54783,Dylan Wu,49.15%,173,352
42,0,45242,Kevin Yu,49.12%,111,226
43,0,47128,Richy Werenski,49.10%,163,332
44,0,55789,Taylor Montgomery,49.09%,161,328
45,0,40115,Adam Svensson,48.93%,183,374
46,0,48867,Matti Schmid,48.90%,133,272
47,0,33141,Keegan Bradley,48.82%,124,254
48,0,51491,Brandon Matthews,48.76%,98,201
49,0,37455,Si Woo Kim,48.66%,145,298
50,0,47504,Sam Burns,48.61%,122,251
51,0,59018,Ryan Gerard,48.57%,102,210
52,0,39335,Kevin Roy,48.45%,125,258
53,0,23320,Ryan Palmer,48.41%,122,252
54,0,31577,Tano Goya,48.39%,150,310
55,0,40006,Erik van Rooyen,48.30%,128,265
56,0,49453,Trevor Cone,48.23%,136,282
57,0,47591,Eric Cole,48.19%,186,386
57,0,40250,Taylor Pendrith,48.19%,160,332
59,0,30911,Tommy Fleetwood,48.17%,105,218
60,0,39997,Corey Conners,48.02%,121,252
61,0,28089,Jason Day,47.97%,118,246
62,0,35506,Mackenzie Hughes,47.92%,138,288
63,0,46414,Aaron Rai,47.85%,156,326
