RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,34046,Jordan Spieth,4.49,350,78
2,0,33448,Justin Thomas,4.48,354,79
3,0,32839,Hideki Matsuyama,4.29,326,76
4,0,32102,Rickie Fowler,4.28,325,76
5,0,36689,Brooks Koepka,4.20,336,80
6,0,28089,Jason Day,4.15,274,66
7,0,46970,Jon Rahm,4.11,341,83
8,0,22405,Justin Rose,4.09,262,64
9,0,25818,Scott Piercy,4.06,272,67
9,0,27649,Brandt Snedeker,4.06,203,50
11,0,29725,Tony Finau,3.99,415,104
11,0,30925,Dustin Johnson,3.99,279,70
11,0,27129,Luke List,3.99,391,98
14,0,24358,Robert Garrigus,3.96,285,72
14,0,31420,Anirban Lahiri,3.96,285,72
16,0,29223,Sam Saunders,3.93,275,70
17,0,12716,Charley Hoffman,3.92,423,108
18,0,34213,Grayson Murray,3.89,350,90
19,0,25364,Paul Casey,3.87,348,90
20,0,20229,Stewart Cink,3.86,359,93
20,0,01810,Phil Mickelson,3.86,309,80
20,0,25198,Francesco Molinari,3.86,278,72
20,0,48081,Xander Schauffele,3.86,355,92
24,0,40026,Daniel Berger,3.85,331,86
24,0,34098,Russell Henley,3.85,373,97
24,0,35532,Tom Hoge,3.85,177,46
24,0,28237,Rory McIlroy,3.85,185,48
28,0,46601,Trey Mullinax,3.84,315,82
29,0,49771,J.T. Poston,3.83,333,87
29,0,23621,Rory Sabbatini,3.83,249,65
31,0,35891,Cameron Smith,3.82,313,82
32,0,26851,Marc Leishman,3.81,343,90
32,0,29518,Brendan Steele,3.81,320,84
34,0,33204,Shane Lowry,3.80,186,49
34,0,25396,Kevin Na,3.80,312,82
34,0,30110,Kyle Stanley,3.80,380,100
37,0,29926,Danny Lee,3.79,337,89
37,0,46501,Ollie Schniederjans,3.79,330,87
37,0,27770,Camilo Villegas,3.79,273,72
40,0,25686,Jason Dufner,3.78,310,82
40,0,24502,Adam Scott,3.78,219,58
42,0,35545,Blayne Barber,3.77,268,71
43,0,33141,Keegan Bradley,3.75,383,102
43,0,34360,Patrick Reed,3.75,375,100
45,0,28252,Seamus Power,3.74,299,80
