RANK,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
1,0,27129,Luke List,98.0,1764,18
2,0,33448,Justin Thomas,101.6,1422,14
3,0,35300,Andrew Loupe,104.0,936,9
4,0,27936,Martin Laird,106.7,1494,14
5,0,28089,Jason Day,108.0,1188,11
6,0,28093,Miguel Angel Carballo,114.0,1026,9
6,0,32839,Hideki Matsuyama,114.0,1368,12
8,0,46550,Brandon Hagy,115.5,1386,12
9,0,29725,Tony Finau,117.0,1872,16
10,0,01810,Phil Mickelson,120.0,1440,12
11,0,33418,Shawn Stefani,122.4,1224,10
12,0,35891,Cameron Smith,123.0,1476,12
13,0,36689,Brooks Koepka,130.9,1440,11
14,0,29461,Jamie Lovemark,132.9,1728,13
15,0,32366,Kevin Chappell,135.0,1620,12
15,0,26851,Marc Leishman,135.0,1620,12
17,0,46970,Jon Rahm,135.8,1494,11
18,0,27436,Graham DeLaet,136.8,1368,10
18,0,27141,J.B. Holmes,136.8,1368,10
20,0,29720,Andres Gonzales,138.0,1242,9
21,0,30110,Kyle Stanley,138.5,1800,13
22,0,21209,Sergio Garcia,139.5,1116,8
23,0,27895,Jonas Blixt,140.0,1260,9
23,0,28307,Matt Every,140.0,1260,9
23,0,30925,Dustin Johnson,140.0,1260,9
26,0,33141,Keegan Bradley,141.2,1836,13
27,0,35450,Patrick Cantlay,144.0,864,6
27,0,29476,Kyle Reifers,144.0,1584,11
29,0,28500,Martin Flores,145.8,1458,10
30,0,23621,Rory Sabbatini,146.3,1170,8
31,0,25686,Jason Dufner,147.6,1476,10
32,0,12716,Charley Hoffman,149.5,1944,13
33,0,46732,Rick Lamb,150.0,900,6
34,0,25345,Carl Pettersson,151.7,1062,7
34,0,23497,Tag Ridings,151.7,1062,7
36,0,28420,Ryan Brehm,154.0,1386,9
36,0,30692,Scott Stallings,154.0,1386,9
38,0,06522,Ernie Els,156.0,936,6
39,0,32333,Kevin Tway,158.4,1584,10
40,0,26329,Louis Oosthuizen,159.4,1116,7
41,0,24781,Hunter Mahan,159.8,1278,8
42,0,25364,Paul Casey,162.0,1620,10
42,0,37454,Whee Kim,162.0,1296,8
42,0,31420,Anirban Lahiri,162.0,1296,8
42,0,25804,Bubba Watson,162.0,1134,7
46,0,48084,Wesley Bryan,163.8,1638,10
47,0,26289,Boo Weekley,164.3,1314,8
48,0,48081,Xander Schauffele,165.6,1656,10
49,0,36801,Mark Hubbard,166.5,1332,8
50,0,27974,Sung Kang,166.9,1836,11
51,0,20229,Stewart Cink,167.4,1674,10
52,0,29518,Brendan Steele,168.0,1512,9
52,0,32150,Michael Thompson,168.0,1008,6
54,0,29485,Brett Stegmaier,171.0,1368,8
54,0,25493,Nick Taylor,171.0,1710,10
56,0,40026,Daniel Berger,172.0,1548,9
56,0,39324,J.J. Spaun,172.0,1548,9
58,0,28237,Rory McIlroy,172.8,864,5
59,0,25240,D.A. Points,174.9,1224,7
60,0,34046,Jordan Spieth,175.5,1404,8
61,0,33461,Morgan Hoffmann,176.0,1584,9
62,0,19803,Ryan Armour,177.0,1062,6
63,0,27095,Nick Watney,177.4,1242,7
64,0,29221,Webb Simpson,178.2,1782,10
65,0,24358,Robert Garrigus,185.1,1296,7
65,0,25198,Francesco Molinari,185.1,1296,7
67,0,25720,Chad Collins,186.0,1116,6
68,0,25834,Daniel Summerhays,188.0,1692,9
69,0,24140,Sean O'Hair,189.0,1512,8
70,0,26476,Chez Reavie,190.0,1710,9
71,0,22405,Justin Rose,192.0,1152,6
72,0,23353,J.J. Henry,193.5,1548,8
