RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX RANGE,TOTAL ATTEMPTS
1,0,51491,Brandon Matthews,210.8,61978.6,294
2,0,51766,Wyndham Clark,203.7,131982.4,648
3,0,57366,Cameron Young,203.5,119643.6,588
4,0,52372,Cameron Champ,203.4,76071.2,374
5,0,52411,Kyle Westmoreland,202.4,104012.6,514
6,0,49453,Trevor Cone,202.0,135312.2,670
7,0,52955,Ludvig Åberg,201.9,72671.2,360
8,0,28237,Rory McIlroy,201.4,90852.4,451
8,0,51070,Vincent Norrman,201.4,116205.4,577
10,0,31323,Gary Woodland,201.2,115706.8,575
11,0,58696,Peter Kuest,200.6,60583.8,302
12,0,34255,Joseph Bramlett,200.0,108173.6,541
12,0,39058,Lucas Herbert,200.0,72791.0,364
14,0,51414,Brent Grant,199.5,104721.6,525
15,0,46601,Trey Mullinax,199.3,119800.8,601
16,0,47504,Sam Burns,199.0,119197.0,599
17,0,33948,Byeong Hun An,198.9,164493.9,827
18,0,56762,Will Gordon,198.8,130603.9,657
19,0,27554,Scott Harrington,198.3,114411.9,577
19,0,48867,Matti Schmid,198.3,78530.2,396
21,0,40250,Taylor Pendrith,197.9,147610.5,746
22,0,48117,Kurt Kitayama,197.8,56166.2,284
23,0,45242,Kevin Yu,197.6,71920.4,364
24,0,24502,Adam Scott,197.2,90900.9,461
25,0,47347,Adam Schenk,196.9,162632.0,826
26,0,48699,Callum Tarren,196.7,150310.5,764
27,0,28420,Ryan Brehm,196.3,113261.2,577
27,0,32102,Rickie Fowler,196.3,114830.6,585
29,0,33653,Thomas Detry,195.9,110311.3,563
29,0,32333,Kevin Tway,195.9,128124.8,654
31,0,35450,Patrick Cantlay,195.7,113712.0,581
32,0,46970,Jon Rahm,195.4,100062.6,512
33,0,54421,Garrick Higgo,194.8,145937.8,749
34,0,36724,Augusto Núñez,194.7,96556.5,496
35,0,39067,MJ Daffue,194.3,137776.5,709
36,0,52453,Nicolai Hojgaard,194.2,55539.1,286
37,0,39546,Keith Mitchell,193.9,133239.3,687
38,0,27129,Luke List,193.8,150424.7,776
39,0,30911,Tommy Fleetwood,193.4,99034.4,512
39,0,32662,Michael Gligic,193.4,87029.0,450
41,0,45157,Cam Davis,193.3,128740.6,666
42,0,47988,Nick Hardy,193.2,149892.8,776
42,0,35617,Martin Trainer,193.2,68213.3,353
44,0,55893,Sam Stevens,192.7,161881.7,840
45,0,58967,Trevor Werbylo,192.6,109593.9,569
46,0,35310,Lanto Griffin,192.4,67520.2,351
46,0,36699,Patrick Rodgers,192.4,166226.9,864
48,0,48081,Xander Schauffele,192.3,95563.5,497
49,0,36799,Stephan Jaeger,192.2,197561.4,1028
49,0,58168,Davis Thompson,192.2,139545.7,726
51,0,39977,Max Homa,192.0,132646.4,691
51,0,55454,Carl Yuan,192.0,127492.6,664
53,0,33141,Keegan Bradley,191.9,118045.3,615
54,0,54591,Ben Griffin,191.7,158192.3,825
54,0,34363,Tyrrell Hatton,191.7,119061.3,621
56,0,29725,Tony Finau,191.6,134504.6,702
57,0,39335,Kevin Roy,191.5,86366.2,451
57,0,34046,Jordan Spieth,191.5,114540.4,598
59,0,28252,Seamus Power,191.3,112892.8,590
60,0,28089,Jason Day,191.2,103847.7,543
60,0,46717,Viktor Hovland,191.2,117980.9,617
62,0,46046,Scottie Scheffler,191.0,127958.8,670
63,0,50188,S.H. Kim,190.7,161715.3,848
63,0,55789,Taylor Montgomery,190.7,118020.2,619
65,0,50493,Justin Suh,190.6,152136.7,798
65,0,48119,Ben Taylor,190.6,122722.9,644
67,0,31577,Tano Goya,190.2,100032.0,526
67,0,35506,Mackenzie Hughes,190.2,129347.8,680
69,0,50095,Austin Smotherman,190.1,134966.5,710
70,0,27095,Nick Watney,189.8,84846.2,447
71,0,39997,Corey Conners,189.7,144187.1,760
71,0,40098,Matt Fitzpatrick,189.7,116446.2,614
71,0,29970,Dylan Frittelli,189.7,103766.8,547
71,0,33204,Shane Lowry,189.7,87434.3,461
75,0,36871,Matt NeSmith,189.5,146890.9,775
75,0,47995,Davis Riley,189.5,127363.2,672
77,0,35461,Beau Hossler,189.4,159668.1,843
78,0,37338,Zecheng Dou,189.3,137794.9,728
79,0,34099,Harris English,189.2,104801.5,554
80,0,49947,Taylor Moore,188.9,146792.2,777
81,0,32366,Kevin Chappell,188.7,67005.1,355
82,0,20229,Stewart Cink,188.5,111779.3,593
83,0,33448,Justin Thomas,188.4,107580.8,571
84,0,56630,Akshay Bhatia,188.1,97221.9,517
84,0,47591,Eric Cole,188.1,186584.1,992
86,0,30692,Scott Stallings,188.0,111287.7,592
86,0,40006,Erik van Rooyen,188.0,93635.6,498
88,0,48887,Matt Wallace,187.6,101687.4,542
89,0,39954,Cody Gribble,187.2,83848.3,448
89,0,25632,Jimmy Walker,187.2,124889.0,667
91,0,39971,Sungjae Im,187.1,165609.8,885
91,0,39975,Michael Kim,187.1,115652.3,618
93,0,33408,Tyson Alexander,186.8,119530.4,640
93,0,54628,Lee Hodges,186.8,158012.0,846
95,0,29289,S.Y. Noh,186.7,82137.3,440
96,0,55708,Hayden Buckley,186.6,107458.1,576
97,0,50525,Collin Morikawa,186.5,110022.3,590
98,0,57975,Harry Hall,186.3,118483.4,636
99,0,32448,James Hahn,186.2,109112.7,586
99,0,12716,Charley Hoffman,186.2,100012.8,537
99,0,52374,Brandon Wu,186.2,162701.3,874
102,0,53165,Doc Redman,185.9,121767.0,655
103,0,23320,Ryan Palmer,185.8,125384.0,675
104,0,34466,Peter Malnati,185.7,147263.2,793
104,0,32839,Hideki Matsuyama,185.7,122394.7,659
106,0,49766,Hank Lebioda,185.6,70528.3,380
106,0,33413,Ben Martin,185.6,133658.0,720
106,0,47983,Chad Ramey,185.6,163122.3,879
109,0,47128,Richy Werenski,185.4,114563.7,618
110,0,33597,Harry Higgs,185.3,110094.1,594
111,0,34563,Chesson Hadley,185.2,126148.7,681
111,0,32791,K.H. Lee,185.2,127603.0,689
111,0,29221,Webb Simpson,185.2,83136.4,449
114,0,48084,Wesley Bryan,185.1,48320.9,261
114,0,34431,Robert Streb,185.1,109785.3,593
116,0,27349,Alex Noren,185.0,117286.0,634
117,0,54783,Dylan Wu,184.9,130707.2,707
118,0,46442,Maverick McNealy,184.7,74603.2,404
118,0,46340,Alex Smalley,184.7,142586.2,772
118,0,51634,Sahith Theegala,184.7,146862.3,795
121,0,51349,Nico Echavarria,184.2,101845.0,553
122,0,31646,Emiliano Grillo,184.1,141030.9,766
122,0,29420,Billy Horschel,184.1,88919.1,483
122,0,30163,Henrik Norlander,184.1,108084.5,587
122,0,51997,Andrew Novak,184.1,108455.6,589
122,0,40115,Adam Svensson,184.1,175415.6,953
127,0,33399,Adam Hadwin,184.0,148314.1,806
128,0,37275,Sam Ryder,183.8,161362.8,878
128,0,34610,Matthias Schwab,183.8,141915.6,772
130,0,46414,Aaron Rai,183.7,152285.3,829
131,0,27214,Kevin Streelman,183.5,135400.2,738
132,0,57362,Austin Eckroat,183.4,121745.5,664
132,0,49771,J.T. Poston,183.4,139900.5,763
134,0,32757,Patton Kizzire,183.1,139499.9,762
135,0,45609,Tyler Duncan,183.0,137234.5,750
135,0,47993,Denny McCarthy,183.0,141116.4,771
135,0,22405,Justin Rose,183.0,80709.1,441
135,0,52513,Carson Young,183.0,121887.0,666
139,0,39324,J.J. Spaun,182.9,144340.8,789
140,0,25493,Nick Taylor,182.8,124845.2,683
141,0,27936,Martin Laird,182.7,111836.6,612
142,0,55182,Tom Kim,182.6,130341.2,714
143,0,36801,Mark Hubbard,182.4,147953.0,811
144,0,30926,Chris Kirk,182.3,135624.5,744
145,0,25686,Jason Dufner,182.2,115497.7,634
146,0,32640,Troy Merritt,181.8,124168.2,683
147,0,35532,Tom Hoge,181.6,136895.9,754
148,0,34098,Russell Henley,181.4,125717.7,693
148,0,49960,Sepp Straka,181.4,133869.0,738
150,0,59018,Ryan Gerard,181.3,82118.8,453
150,0,49298,Kramer Hickok,181.3,125076.5,690
152,0,40162,Justin Lower,181.2,125042.3,690
153,0,51890,Greyson Sigg,180.3,156998.7,871
154,0,24140,Sean O'Hair,180.0,52212.8,290
155,0,52375,Doug Ghim,179.9,111535.4,620
155,0,25900,Lucas Glover,179.9,128656.6,715
157,0,27974,Sung Kang,179.7,47075.2,262
158,0,24925,Jonathan Byrd,178.6,57321.4,321
159,0,22371,Aaron Baddeley,178.5,82269.7,461
159,0,35449,Adam Long,178.5,146047.4,818
159,0,32139,Danny Willett,178.5,89445.3,501
162,0,23108,Matt Kuchar,178.3,138723.9,778
163,0,27644,Brian Harman,178.2,151990.1,853
164,0,46441,Robby Shelton,177.9,128415.5,722
165,0,31557,Jim Herman,177.7,95947.7,540
166,0,34076,Joel Dahmen,177.4,141904.7,800
166,0,47079,Harrison Endycott,177.4,117626.0,663
168,0,22056,Cameron Percy,177.3,80149.2,452
169,0,45522,Christiaan Bezuidenhout,177.0,130125.4,735
169,0,37455,Si Woo Kim,177.0,165498.9,935
169,0,34256,Andrew Putnam,177.0,146233.9,826
172,0,33410,Andrew Landry,176.6,111970.3,634
173,0,24024,Zach Johnson,176.5,91262.4,517
173,0,28775,Nate Lashley,176.5,139628.7,791
175,0,29908,C.T. Pan,176.4,64728.7,367
175,0,25818,Scott Piercy,176.4,135114.0,766
177,0,51950,Max McGreevy,175.9,108503.4,617
178,0,33122,Russell Knox,175.8,140125.7,797
179,0,27963,Chris Stroud,175.1,67584.8,386
180,0,40058,Zac Blair,174.6,119052.0,682
181,0,36326,David Lipsky,172.6,127017.9,736
182,0,26476,Chez Reavie,172.5,139696.2,810
183,0,29535,Brice Garnett,172.3,105129.4,610
184,0,32816,Satoshi Kodaira,172.1,76427.0,444
185,0,31202,William McGirt,171.9,67895.6,395
186,0,30927,Brendon Todd,171.3,139619.4,815
187,0,46435,Austin Cook,170.6,97583.4,572
188,0,35901,Paul Haley II,170.2,120829.9,710
189,0,35879,Kelly Kraft,170.1,121278.5,713
190,0,19803,Ryan Armour,168.6,120211.3,713
191,0,34409,David Lingmerth,168.1,105728.6,629
192,0,26596,Ryan Moore,165.2,113176.7,685
193,0,31560,Brian Stuard,163.0,79195.3,486
