RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,08793,Tiger Woods,80.05,22695,28350,4,6
2,0,20766,Padraig Harrington,27.43,15555,56700,2,6
3,0,01810,Phil Mickelson,22.97,18241,79425,2,7
4,0,01945,Kenny Perry,21.33,20878,97875,3,7
5,0,29718,Anthony Kim,18.28,15178,83025,2,6
6,0,20229,Stewart Cink,18.02,15126,83925,1,7
7,0,06567,Vijay Singh,17.00,15034,88425,1,6
8,0,21209,Sergio Garcia,14.63,10301,70425,1,3
9,0,10860,Justin Leonard,13.70,12734,92925,1,5
10,0,22046,Geoff Ogilvy,13.68,10866,79425,1,6
11,0,24502,Adam Scott,13.28,7558,56925,1,3
12,0,21350,Ryuji Imada,12.46,10903,87525,1,4
13,0,06522,Ernie Els,12.34,7023,56925,1,3
14,0,20396,Lee Westwood,11.74,5626,47925,0,2
15,0,23983,Luke Donald,11.70,6001,51300,0,3
16,0,24357,K.J. Choi,11.13,8843,79425,1,3
17,0,10885,Robert Allenby,10.83,10554,97425,0,7
18,0,26289,Boo Weekley,10.39,9655,92925,1,5
19,0,01876,Greg Norman,9.85,1595,16200,0,1
20,0,22378,Trevor Immelman,9.83,8209,83475,1,2
21,0,24140,Sean O'Hair,9.79,9029,92250,1,3
21,0,25345,Carl Pettersson,9.79,9821,100350,1,5
23,0,06527,Steve Stricker,9.63,8082,83925,0,5
24,0,25562,Andres Romero,9.55,7156,74925,1,3
25,0,20098,Stuart Appleby,9.50,8403,88425,0,6
26,0,10809,Jim Furyk,9.26,9438,101925,0,6
27,0,22621,Ben Curtis,8.77,7105,81000,0,3
28,0,24138,Ian Poulter,8.26,5073,61425,0,1
29,0,06004,Stephen Ames,8.24,6913,83925,0,5
30,0,23788,D.J. Trahan,8.21,8497,103500,1,3
31,0,27141,J.B. Holmes,8.04,7834,97425,1,3
32,0,01142,Bart Bryant,7.90,6901,87300,0,2
33,0,01707,Steve Lowery,7.89,6164,78075,1,2
34,0,12510,Chad Campbell,7.70,7574,98325,0,5
35,0,27770,Camilo Villegas,7.34,6141,83700,0,4
36,0,01035,Tommy Armour III,7.33,5671,77400,0,5
37,0,23621,Rory Sabbatini,7.32,5488,74925,0,2
38,0,20157,Retief Goosen,7.17,5372,74925,0,2
39,0,20498,Briny Baird,7.12,6956,97650,0,3
40,0,22371,Aaron Baddeley,7.04,5905,83925,0,2
41,0,25190,Jeff Quinney,6.96,7329,105300,0,3
42,0,24781,Hunter Mahan,6.77,6903,101925,0,4
42,0,20572,Rod Pampling,6.77,6856,101250,0,5
44,0,19846,Brian Gay,6.72,6413,95400,1,4
45,0,07867,Woody Austin,6.63,6762,101925,0,4
46,0,20850,Daniel Chopra,6.57,6375,96975,1,1
47,0,10423,Mike Weir,6.50,6026,92700,0,3
48,0,06575,Dudley Hart,6.42,4798,74700,0,4
49,0,21731,Freddie Jacobson,6.32,5814,92025,0,2
50,0,08075,Jerry Kelly,6.24,6471,103725,0,4
50,0,24449,Parker McLachlin,6.24,5502,88200,1,3
52,0,26476,Chez Reavie,6.23,6494,104175,1,2
53,0,01766,Billy Mayfair,6.19,6465,104400,0,3
54,0,28158,Steve Marino,6.15,6446,104850,0,4
55,0,22405,Justin Rose,6.07,4278,70425,0,2
56,0,06012,Greg Kraft,6.05,3319,54900,1,2
57,0,24507,Jason Bohn,6.03,3582,59400,0,2
58,0,23541,Ben Crane,5.98,5058,84600,0,3
59,0,01226,Fred Couples,5.96,3837,64350,0,3
59,0,06595,Kevin Sutherland,5.96,5414,90900,0,4
61,0,10585,Scott McCarron,5.87,4387,74700,0,2
62,0,01313,Steve Elkington,5.82,4632,79650,0,3
63,0,25364,Paul Casey,5.77,3804,65925,0,3
64,0,26596,Ryan Moore,5.72,4560,79650,0,3
65,0,22293,Heath Slocum,5.67,5503,96975,0,5
66,0,26951,Johnson Wagner,5.65,5553,98325,1,1
67,0,23135,Tim Clark,5.55,5159,92925,0,2
68,0,27933,John Merrick,5.51,4787,86850,0,4
69,0,20634,Peter Lonard,5.46,5248,96075,0,3
70,0,20160,Charlie Wi,5.35,4985,93150,0,3
71,0,27649,Brandt Snedeker,5.31,5649,106425,0,5
72,0,24361,Pat Perez,5.30,5111,96525,0,3
73,0,25804,Bubba Watson,5.28,5437,103050,0,3
74,0,01928,Corey Pavin,5.07,3903,76950,0,2
75,0,20645,John Senden,5.04,5064,100575,0,3
76,0,20104,Ken Duke,5.03,5594,111150,0,3
77,0,28780,Nicholas Thompson,5.02,5695,113400,0,4
78,0,06643,Paul Goydos,5.00,4567,91350,0,2
79,0,22348,Nick O'Hern,4.89,4520,92475,0,3
80,0,20574,Mathew Goggin,4.88,4457,91350,0,2
80,0,01797,Rocco Mediate,4.88,5151,105525,0,2
82,0,01941,Tom Pernice Jr.,4.85,4954,102150,0,5
83,0,12705,Cliff Kresge,4.70,4487,95400,0,4
84,0,21878,Mark Wilson,4.44,4212,94950,0,4
85,0,01666,Bernhard Langer,4.31,426,9900,0
86,0,02223,Bob Tway,4.27,2615,61200,0,1
87,0,23108,Matt Kuchar,4.26,4084,95850,0,4
88,0,24925,Jonathan Byrd,4.15,4011,96750,0,2
89,0,23778,Brad Adamonis,4.12,3707,90000,0,2
89,0,22913,John Rollins,4.12,4074,98775,0,2
89,0,12602,Dean Wilson,4.12,4688,113850,0,3
92,0,26420,Richard Johnson,4.10,2510,61200,1,1
93,0,25396,Kevin Na,4.07,4052,99450,0,3
93,0,02239,Scott Verplank,4.07,3412,83925,0,2
95,0,21961,Charles Howell III,3.98,4237,106425,0,2
96,0,26695,Michael Letzig,3.97,3879,97650,0,4
97,0,07457,Steve Flesch,3.92,4046,103275,0,2
98,0,20472,Alex Cejka,3.89,3802,97650,0,4
99,0,27060,John Mallinger,3.87,3793,98100,0,3
100,0,21753,Brian Davis,3.77,3916,103950,0,2
101,0,23718,Nathan Green,3.72,3698,99450,0,1
102,0,23320,Ryan Palmer,3.69,2158,58500,0,2
103,0,07749,Brett Quigley,3.65,2663,72900,0,2
104,0,10425,Jay Williamson,3.58,3483,97200,0,1
105,0,24490,George McNeill,3.49,3409,97650,0,2
106,0,25900,Lucas Glover,3.46,3617,104625,0,2
106,0,27120,Troy Matteson,3.46,3524,101700,0,3
108,0,20623,Gavin Coles,3.43,1699,49500,0,1
109,0,27214,Kevin Streelman,3.42,3402,99450,0,2
110,0,27095,Nick Watney,3.41,3036,89100,0,1
110,0,25349,Tim Wilkinson,3.41,3086,90450,0,2
112,0,20848,Ángel Cabrera,3.40,2243,65925,0,1
112,0,01677,Tom Lehman,3.40,2420,71100,0,2
114,0,12716,Charley Hoffman,3.29,3276,99450,0,3
114,0,26300,Matt Jones,3.29,3273,99450,0,2
116,0,23048,Eric Axley,3.28,3478,106200,0,3
117,0,10505,Shane Bertsch,3.26,3153,96750,0,1
118,0,01161,Mark Calcavecchia,3.25,3304,101700,0,2
119,0,08931,Glen Day,3.20,1727,54000,0,1
119,0,02206,David Toms,3.20,2520,78750,0
121,0,24024,Zach Johnson,3.19,2968,92925,0,1
122,0,21949,Joe Ogilvie,3.17,3094,97650,0,3
123,0,23614,Rich Beem,3.09,2833,91800,0,1
123,0,21470,Daisuke Maruyama,3.09,417,13500,0
125,0,24924,Bill Haas,3.05,3172,103950,0,1
126,0,27936,Martin Laird,3.01,2303,76500,0,2
127,0,23409,James Driscoll,2.87,2457,85500,0,1
128,0,06350,Bob May,2.86,450,15750,0
129,0,23349,Charles Warren,2.85,2769,97200,0,1
130,0,26287,Roland Thatcher,2.82,1777,63000,0,2
131,0,23623,Bo Van Pelt,2.77,2756,99450,0,1
132,0,01553,John Huston,2.76,1488,54000,0
133,0,01320,Bob Estes,2.75,2423,88200,0,1
