RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
146,0,06197,Michael Allen,40,394,10.2
146,0,01161,Mark Calcavecchia,40,441,9.1
146,0,01797,Rocco Mediate,40,434,9.2
149,0,10885,Robert Allenby,39,357,10.9
149,0,30927,Brendon Todd,39,309,12.6
151,0,01132,Mark Brooks,38,293,13.0
152,0,21209,Sergio Garcia,37,304,12.2
152,0,30711,Colt Knost,37,377,9.8
152,0,26679,Kevin Stadler,37,367,10.1
155,0,01142,Bart Bryant,36,351,10.3
155,0,24912,Will MacKenzie,36,383,9.4
157,0,01226,Fred Couples,35,284,12.3
157,0,27683,Leif Olson,35,305,11.5
157,0,24138,Ian Poulter,35,328,10.7
157,0,25919,Brian Vranesh,35,305,11.5
161,0,07223,Brian Bateman,34,322,10.6
162,0,06621,Joe Durant,33,293,11.3
162,0,23497,Tag Ridings,33,260,12.7
162,0,22548,Patrick Sheehan,33,260,12.7
165,0,28118,Peter Tomasulo,32,309,10.4
166,0,01035,Tommy Armour III,31,346,9.0
166,0,24846,Ricky Barnes,31,314,9.9
166,0,20766,Padraig Harrington,31,388,8.0
166,0,26300,Matt Jones,31,310,10.0
166,0,06012,Greg Kraft,31,283,11.0
166,0,26881,Jarrod Lyle,31,314,9.9
166,0,26497,Casey Wittenberg,31,353,8.8
173,0,20848,Ángel Cabrera,30,290,10.3
173,0,10425,Jay Williamson,30,348,8.6
175,0,24357,K.J. Choi,29,339,8.6
175,0,06567,Vijay Singh,29,351,8.3
175,0,08845,Scott Sterling,29,272,10.7
178,0,28087,Kris Blanks,28,330,8.5
178,0,09011,David Duval,28,296,9.5
180,0,22295,Darron Stiles,26,293,8.9
181,0,24502,Adam Scott,24,269,8.9
182,0,06539,Rick Price,23,260,8.8
182,0,25562,Andres Romero,23,305,7.5
184,0,31323,Gary Woodland,19,230,8.3
