RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,22056,Cameron Percy,39' 0",57997,124,4833.083,-4.00
2,0,39997,Corey Conners,39' 9",101156,212,8429.667,+18.00
3,0,34610,Matthias Schwab,40' 1",97210,202,8100.833,+6.00
4,0,48699,Callum Tarren,40' 3",125150,259,10429.167,+19.00
5,0,46435,Austin Cook,41' 3",78667,159,6555.583,+12.00
6,0,47529,Mito Pereira,41' 5",125794,253,10482.833,-7.00
7,0,40098,Matt Fitzpatrick,41' 6",83154,167,6929.500,+10.00
8,0,29725,Tony Finau,41' 9",155231,310,12935.917,-9.00
9,0,27095,Nick Watney,41' 10",120393,240,10032.750,+17.00
10,0,34098,Russell Henley,42' 0",95239,189,7936.583,+11.00
10,0,30692,Scott Stallings,42' 0",171226,340,14268.833,+19.00
12,0,32366,Kevin Chappell,42' 1",87388,173,7282.333,+5.00
13,0,27129,Luke List,42' 2",128049,253,10670.750,+16.00
13,0,46601,Trey Mullinax,42' 2",145361,287,12113.417,+11.00
13,0,46046,Scottie Scheffler,42' 2",127514,252,10626.167,-4.00
16,0,34363,Tyrrell Hatton,42' 3",98861,195,8238.417,+6.00
17,0,45522,Christiaan Bezuidenhout,42' 5",102236,201,8519.667,+19.00
18,0,12716,Charley Hoffman,42' 6",131964,259,10997.000,+30.00
18,0,46717,Viktor Hovland,42' 6",99986,196,8332.167,+20.00
20,0,32662,Michael Gligic,42' 7",110968,217,9247.333,+18.00
20,0,23621,Rory Sabbatini,42' 7",84796,166,7066.333,+14.00
20,0,49964,Aaron Wise,42' 7",137372,269,11447.667,+4.00
23,0,29974,Branden Grace,42' 11",74659,145,6221.583,+6.00
24,0,34076,Joel Dahmen,43' 0",113057,219,9421.417,+38.00
24,0,34046,Jordan Spieth,43' 0",129029,250,10752.417,+5.00
26,0,36852,Jim Knous,43' 1",78127,151,6510.583,+22.00
27,0,39436,Joshua Creel,43' 2",68896,133,5741.333,+22.00
27,0,27936,Martin Laird,43' 2",76608,148,6384.000,+15.00
27,0,27349,Alex Noren,43' 2",93787,181,7815.583,+9.00
30,0,39953,Chase Seiffert,43' 3",67001,129,5583.417,+23.00
31,0,20229,Stewart Cink,43' 6",132605,254,11050.417,+33.00
32,0,30978,Kiradech Aphibarnrat,43' 7",62260,119,5188.333,+12.00
33,0,46550,Brandon Hagy,43' 8",144215,275,12017.917,+49.00
33,0,33122,Russell Knox,43' 8",108002,206,9000.167,+33.00
33,0,32640,Troy Merritt,43' 8",131538,251,10961.500,+41.00
33,0,49947,Taylor Moore,43' 8",146753,280,12229.417,+8.00
33,0,47856,Seth Reeves,43' 8",98461,188,8205.083,+18.00
38,0,26476,Chez Reavie,43' 9",114507,218,9542.250,+40.00
39,0,22405,Justin Rose,43' 10",64687,123,5390.583,+26.00
39,0,29221,Webb Simpson,43' 10",93163,177,7763.583,+15.00
39,0,29518,Brendan Steele,43' 10",110433,210,9202.750,+20.00
42,0,34255,Joseph Bramlett,44' 0",164738,312,13728.167,+35.00
42,0,27644,Brian Harman,44' 0",129966,246,10830.500,+5.00
42,0,33204,Shane Lowry,44' 0",92417,175,7701.417,+11.00
42,0,34466,Peter Malnati,44' 0",170421,323,14201.750,+34.00
42,0,29289,S.Y. Noh,44' 0",104549,198,8712.417,+14.00
42,0,27214,Kevin Streelman,44' 0",112569,213,9380.750,+12.00
48,0,35310,Lanto Griffin,44' 1",136477,258,11373.083,+36.00
48,0,48117,Kurt Kitayama,44' 1",105766,200,8813.833,+17.00
48,0,10381,Curtis Thompson,44' 1",95706,181,7975.500,+34.00
51,0,55708,Hayden Buckley,44' 2",124131,234,10344.250,+39.00
51,0,46340,Alex Smalley,44' 2",146405,276,12200.417,+21.00
51,0,35891,Cameron Smith,44' 2",103276,195,8606.333,+6.00
54,0,19803,Ryan Armour,44' 4",36160,68,3013.333,+15.00
54,0,23325,Vaughn Taylor,44' 4",71795,135,5982.917,+23.00
54,0,57366,Cameron Young,44' 4",150612,283,12551.000,+13.00
57,0,37212,Paul Barjon,44' 6",133973,251,11164.417,+29.00
57,0,35450,Patrick Cantlay,44' 6",97168,182,8097.333,-1.00
57,0,37455,Si Woo Kim,44' 6",143134,268,11927.833,+24.00
60,0,36689,Brooks Koepka,44' 7",92511,173,7709.250,+16.00
60,0,51997,Andrew Novak,44' 7",118199,221,9849.917,+14.00
60,0,48887,Matt Wallace,44' 7",89378,167,7448.167,+32.00
63,0,33490,Bo Hoag,44' 8",76625,143,6385.417,+28.00
