RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,33948,Byeong Hun An,23.55%,65,276
2,0,33968,ThorbjÃ¸rn Olesen,23.49%,39,166
3,0,29725,Tony Finau,23.39%,58,248
4,0,48084,Wesley Bryan,22.92%,33,144
4,0,34046,Jordan Spieth,22.92%,44,192
6,0,57975,Harry Hall,22.66%,63,278
7,0,59095,Chris Gotterup,22.22%,68,306
8,0,30926,Chris Kirk,22.11%,42,190
9,0,48153,Matthieu Pavon,21.85%,33,151
10,0,39971,Sungjae Im,21.21%,56,264
11,0,46717,Viktor Hovland,20.77%,38,183
12,0,51977,Max Greyserman,20.76%,49,236
13,0,51634,Sahith Theegala,20.70%,65,314
14,0,38991,Alejandro Tosti,20.64%,58,281
15,0,27349,Alex Noren,20.59%,42,204
16,0,28089,Jason Day,20.50%,41,200
17,0,52215,Robert MacIntyre,20.49%,50,244
18,0,39546,Keith Mitchell,20.39%,63,309
19,0,32640,Troy Merritt,20.11%,36,179
20,0,49947,Taylor Moore,20.06%,65,324
20,0,36699,Patrick Rodgers,20.06%,67,334
22,0,34374,Erik Barnes,20.00%,34,170
22,0,28237,Rory McIlroy,20.00%,42,210
22,0,55893,Sam Stevens,20.00%,61,305
25,0,52375,Doug Ghim,19.91%,46,231
26,0,46046,Scottie Scheffler,19.89%,35,176
27,0,32366,Kevin Chappell,19.73%,29,147
28,0,51766,Wyndham Clark,19.67%,47,239
28,0,39997,Corey Conners,19.67%,48,244
30,0,48117,Kurt Kitayama,19.51%,48,246
31,0,54591,Ben Griffin,19.48%,68,349
32,0,32367,Jorge Campillo,19.41%,33,170
33,0,35450,Patrick Cantlay,19.39%,38,196
34,0,46113,Ryan McCormick,19.32%,40,207
34,0,37275,Sam Ryder,19.32%,40,207
36,0,60767,Blaine Hale Jr.,19.30%,33,171
37,0,50484,Hayden Springer,19.23%,45,234
38,0,50188,S.H. Kim,19.09%,67,351
