RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
1,0,51766,Wyndham Clark,1.44,22,1530
2,0,29221,Webb Simpson,1.57,22,1404
3,0,34264,Hudson Swafford,1.66,17,1026
4,0,34466,Peter Malnati,1.67,25,1494
5,0,40009,Dominic Bozzelli,1.74,21,1206
6,0,30925,Dustin Johnson,1.75,22,1260
7,0,29535,Brice Garnett,1.76,27,1530
8,0,22405,Justin Rose,1.79,20,1116
9,0,28237,Rory McIlroy,1.80,22,1224
10,0,29478,Kevin Kisner,1.81,28,1548
11,0,32102,Rickie Fowler,1.83,25,1368
12,0,32757,Patton Kizzire,1.88,25,1332
13,0,21209,Sergio Garcia,1.89,15,792
14,0,27895,Jonas Blixt,1.90,26,1368
15,0,27644,Brian Harman,1.94,31,1602
16,0,34099,Harris English,1.95,32,1638
16,0,23325,Vaughn Taylor,1.95,32,1638
18,0,27649,Brandt Snedeker,1.96,35,1782
19,0,47504,Sam Burns,1.99,28,1404
20,0,46501,Ollie Schniederjans,2.00,27,1350
21,0,22371,Aaron Baddeley,2.02,20,990
22,0,28775,Nate Lashley,2.04,25,1224
23,0,35450,Patrick Cantlay,2.08,27,1296
23,0,34360,Patrick Reed,2.08,33,1584
25,0,24924,Bill Haas,2.09,26,1242
26,0,39954,Cody Gribble,2.10,25,1188
27,0,29725,Tony Finau,2.12,32,1512
27,0,26300,Matt Jones,2.12,32,1512
29,0,47993,Denny McCarthy,2.13,31,1458
30,0,36699,Patrick Rodgers,2.18,20,918
30,0,35891,Cameron Smith,2.18,29,1332
32,0,40026,Daniel Berger,2.19,26,1188
32,0,32640,Troy Merritt,2.19,24,1098
34,0,46970,Jon Rahm,2.21,27,1224
35,0,29420,Billy Horschel,2.23,37,1656
36,0,34261,Scott Langley,2.25,30,1332
37,0,28089,Jason Day,2.26,26,1152
37,0,24024,Zach Johnson,2.26,26,1152
39,0,34256,Andrew Putnam,2.27,31,1368
40,0,39977,Max Homa,2.29,33,1440
40,0,35732,Wes Roach,2.29,26,1134
42,0,33667,Carlos Ortiz,2.30,34,1476
43,0,35879,Kelly Kraft,2.33,34,1458
43,0,48081,Xander Schauffele,2.33,31,1332
43,0,21528,Henrik Stenson,2.33,21,900
46,0,47128,Richy Werenski,2.34,35,1494
47,0,25572,Graeme McDowell,2.35,30,1278
48,0,48822,Sebastián Muñoz,2.36,34,1440
49,0,19846,Brian Gay,2.37,38,1602
49,0,25198,Francesco Molinari,2.37,23,972
51,0,34363,Tyrrell Hatton,2.39,25,1044
52,0,34021,Bud Cauley,2.44,36,1476
52,0,21961,Charles Howell III,2.44,40,1638
54,0,35617,Martin Trainer,2.46,27,1098
55,0,31560,Brian Stuard,2.48,42,1692
56,0,24138,Ian Poulter,2.49,26,1044
57,0,25396,Kevin Na,2.50,27,1080
57,0,32333,Kevin Tway,2.50,36,1440
59,0,21731,Freddie Jacobson,2.51,23,918
59,0,37455,Si Woo Kim,2.51,37,1476
59,0,27963,Chris Stroud,2.51,28,1116
59,0,25493,Nick Taylor,2.51,42,1674
63,0,34046,Jordan Spieth,2.53,36,1422
64,0,26596,Ryan Moore,2.55,34,1332
64,0,45486,Joaquin Niemann,2.55,44,1728
64,0,37275,Sam Ryder,2.55,33,1296
67,0,23108,Matt Kuchar,2.57,37,1440
67,0,29908,C.T. Pan,2.57,38,1476
69,0,36799,Stephan Jaeger,2.58,33,1278
69,0,31420,Anirban Lahiri,2.58,32,1242
71,0,25364,Paul Casey,2.59,35,1350
72,0,40098,Matt Fitzpatrick,2.61,24,918
72,0,10809,Jim Furyk,2.61,32,1224
72,0,35461,Beau Hossler,2.61,39,1494
72,0,30786,Brady Schnell,2.61,24,918
76,0,34431,Robert Streb,2.62,34,1296
77,0,23621,Rory Sabbatini,2.63,44,1674
78,0,27958,Ryan Blaum,2.64,39,1476
79,0,25818,Scott Piercy,2.65,41,1548
79,0,27330,Josh Teater,2.65,32,1206
81,0,31557,Jim Herman,2.66,23,864
81,0,26476,Chez Reavie,2.66,44,1656
81,0,49964,Aaron Wise,2.66,33,1242
84,0,47347,Adam Schenk,2.67,48,1800
84,0,27214,Kevin Streelman,2.67,39,1458
86,0,30978,Kiradech Aphibarnrat,2.69,30,1116
86,0,30911,Tommy Fleetwood,2.69,31,1152
86,0,27349,Alex Noren,2.69,29,1080
86,0,26329,Louis Oosthuizen,2.69,31,1152
90,0,34563,Chesson Hadley,2.70,36,1332
90,0,29223,Sam Saunders,2.70,36,1332
92,0,34076,Joel Dahmen,2.72,47,1728
92,0,26758,David Hearn,2.72,23,846
94,0,39975,Michael Kim,2.73,29,1062
95,0,30191,Julián Etulain,2.74,32,1170
96,0,45526,Abraham Ancer,2.78,44,1584
96,0,20472,Alex Cejka,2.78,25,900
96,0,30110,Kyle Stanley,2.78,38,1368
96,0,37189,Harold Varner III,2.78,41,1476
100,0,27095,Nick Watney,2.81,42,1494
101,0,39971,Sungjae Im,2.82,60,2124
101,0,33419,Cameron Tringale,2.82,33,1170
103,0,06522,Ernie Els,2.83,25,882
104,0,49771,J.T. Poston,2.84,49,1728
105,0,35506,Mackenzie Hughes,2.85,39,1368
105,0,33410,Andrew Landry,2.85,38,1332
107,0,01810,Phil Mickelson,2.87,31,1080
107,0,26951,Johnson Wagner,2.87,30,1044
109,0,23353,J.J. Henry,2.88,27,936
110,0,33948,Byeong Hun An,2.89,40,1386
111,0,25900,Lucas Glover,2.90,47,1620
111,0,32150,Michael Thompson,2.90,37,1278
111,0,37340,Chase Wright,2.90,36,1242
114,0,35376,Roberto Díaz,2.91,34,1170
114,0,39324,J.J. Spaun,2.91,43,1476
116,0,46523,Joey Garber,2.92,30,1026
116,0,24781,Hunter Mahan,2.92,31,1062
118,0,32200,Roberto Castro,2.93,38,1296
119,0,12716,Charley Hoffman,2.94,37,1260
120,0,30946,Alex Prugh,2.97,38,1278
121,0,46402,Talor Gooch,2.98,29,972
122,0,32058,José de Jesús Rodríguez,2.99,35,1170
123,0,36689,Brooks Koepka,3.00,40,1332
124,0,37380,Curtis Luck,3.01,32,1062
124,0,33448,Justin Thomas,3.01,39,1296
124,0,27064,Jhonattan Vegas,3.01,39,1296
127,0,35532,Tom Hoge,3.02,49,1620
128,0,47990,Kyle Jones,3.03,36,1188
129,0,33486,Roger Sloan,3.04,46,1512
129,0,31323,Gary Woodland,3.04,46,1512
131,0,29479,Scott Brown,3.05,45,1476
131,0,33399,Adam Hadwin,3.05,45,1476
131,0,24361,Pat Perez,3.05,34,1116
134,0,24925,Jonathan Byrd,3.06,27,882
135,0,45609,Tyler Duncan,3.08,46,1494
136,0,47959,Bryson DeChambeau,3.09,40,1296
136,0,29970,Dylan Frittelli,3.09,45,1458
138,0,24502,Adam Scott,3.10,34,1098
139,0,46601,Trey Mullinax,3.12,41,1314
140,0,46435,Austin Cook,3.13,36,1152
141,0,19803,Ryan Armour,3.14,52,1656
142,0,33122,Russell Knox,3.16,41,1296
143,0,32139,Danny Willett,3.17,36,1134
144,0,27936,Martin Laird,3.19,46,1440
145,0,20572,Rod Pampling,3.21,30,936
145,0,29484,Peter Uihlein,3.21,45,1404
147,0,29268,Bronson Burgoon,3.23,32,990
147,0,25632,Jimmy Walker,3.23,43,1332
149,0,30944,Jason Kokrak,3.27,53,1620
149,0,39327,Ben Silverman,3.27,40,1224
151,0,23320,Ryan Palmer,3.28,39,1188
152,0,35449,Adam Long,3.29,45,1368
153,0,49298,Kramer Hickok,3.32,46,1386
154,0,30692,Scott Stallings,3.35,47,1404
155,0,45157,Cam Davis,3.40,44,1296
156,0,28679,Fabián Gómez,3.41,38,1116
156,0,34098,Russell Henley,3.41,43,1260
158,0,27129,Luke List,3.44,39,1134
159,0,39997,Corey Conners,3.49,54,1548
160,0,26499,Rafa Cabrera Bello,3.51,43,1224
161,0,27556,Ted Potter Jr.,3.52,45,1278
162,0,37454,Whee Kim,3.54,44,1242
162,0,32839,Hideki Matsuyama,3.54,56,1584
164,0,26851,Marc Leishman,3.55,46,1296
164,0,49960,Sepp Straka,3.55,46,1296
166,0,36852,Jim Knous,3.56,34,954
167,0,47856,Seth Reeves,3.57,43,1206
168,0,33418,Shawn Stefani,3.58,49,1368
169,0,29974,Branden Grace,3.59,44,1224
170,0,27141,J.B. Holmes,3.60,46,1278
171,0,35421,Brandon Harkins,3.61,54,1494
172,0,27974,Sung Kang,3.70,56,1512
172,0,28252,Seamus Power,3.70,48,1296
174,0,33141,Keegan Bradley,3.73,55,1476
175,0,32791,K.H. Lee,3.77,57,1512
176,0,39546,Keith Mitchell,3.82,57,1494
177,0,31646,Emiliano Grillo,3.85,54,1404
178,0,49303,Anders Albertson,3.91,45,1152
179,0,29518,Brendan Steele,4.03,45,1116
180,0,49766,Hank Lebioda,4.05,51,1260
181,0,40115,Adam Svensson,4.06,49,1206
182,0,25686,Jason Dufner,4.09,53,1296
183,0,29926,Danny Lee,4.12,60,1458
184,0,32816,Satoshi Kodaira,4.34,50,1152
185,0,28259,Sangmoon Bae,4.42,43,972
186,0,25804,Bubba Watson,4.60,48,1044
187,0,34306,John Chin,4.63,45,972
188,0,52372,Cameron Champ,4.82,66,1368
