RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. (INCHES),TOTAL ROUNDS,AVG DIST.,BEST ROUND
1,0,23541,Ben Crane,84' 0",61510,61,476,1302001615
2,0,01941,Tom Pernice Jr.,82' 6",86095,87,462,3304001880
3,0,26420,Richard Johnson,82' 5",84073,85,462,3901001856
4,0,02106,Chris Smith,82' 2",57192,58,459,4503002409
5,0,20608,David Howell,82' 1",29536,30,458,2302001825
6,0,07749,Brett Quigley,81' 9",91234,93,459,1604001713
7,0,10733,Kent Jones,81' 7",86171,88,457,1701002202
8,0,08537,J.P. Hayes,81' 5",47850,49,456,4302001474
9,0,01887,Mark O'Meara,80' 10",34923,36,454,1202002009
9,0,23325,Vaughn Taylor,80' 10",74655,77,456,3304002204
11,0,20631,David McKenzie,80' 9",66875,69,453,2801001863
12,0,09011,David Duval,80' 5",51163,53,454,1902001924
13,0,08793,Tiger Woods,80' 0",35538,37,450,0402001790
14,0,20229,Stewart Cink,79' 8",69801,73,447,0203001711
14,0,01706,Davis Love III,79' 8",54508,57,448,1901001873
16,0,12602,Dean Wilson,79' 7",88781,93,448,1201001818
17,0,22621,Ben Curtis,79' 2",62715,66,444,1203001751
17,0,01329,Brad Faxon,79' 2",69370,73,445,3304001740
19,0,12645,Brent Geiberger,79' 1",84455,89,444,2601002884
19,0,20127,Chris Riley,79' 1",65448,69,445,4103001982
21,0,24925,Jonathan Byrd,79' 0",51176,54,445,1601001767
21,0,21878,Mark Wilson,79' 0",68286,72,443,1001001859
23,0,23718,Nathan Green,78' 10",88891,94,443,0402001782
24,0,19846,Brian Gay,78' 8",93450,99,443,4801001923
25,0,06004,Stephen Ames,78' 6",41460,44,441,3303001797
25,0,02206,David Toms,78' 6",58388,62,442,1101001886
27,0,24138,Ian Poulter,78' 5",39542,42,443,4401002040
28,0,21731,Freddie Jacobson,78' 2",50672,54,440,1004002355
28,0,20572,Rod Pampling,78' 2",60945,65,443,2803001656
30,0,20850,Daniel Chopra,77' 11",83214,89,438,1003001917
31,0,01761,Len Mattiace,77' 9",48539,52,437,4301001885
32,0,21407,Arjun Atwal,77' 7",76361,82,438,4504001817
33,0,23135,Tim Clark,77' 6",53922,58,435,0701001676
34,0,12680,Shigeki Maruyama,77' 5",74283,80,434,3603001537
35,0,19824,Craig Barlow,77' 4",52921,57,438,2001001826
35,0,26596,Ryan Moore,77' 4",53795,58,436,0502001820
37,0,21959,Ted Purdy,77' 3",74125,80,437,1902001966
