RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,12195,Tom Johnson,102' 8",102.667,1
2,0,25273,Andrew Buckle,87' 10",87.833,1
3,0,20628,Arron Oberholser,79' 3",79.250,1
4,0,29476,Kyle Reifers,77' 4",77.333,1
5,0,10733,Kent Jones,70' 6",70.500,1
6,0,01797,Rocco Mediate,70' 5",70.417,1
7,0,19824,Craig Barlow,68' 1",68.083,1
8,0,01473,Todd Hamilton,66' 10",66.833,1
9,0,20433,Mark Hensby,66' 7",133.083,2
10,0,10860,Justin Leonard,66' 0",66.000,1
11,0,21528,Henrik Stenson,65' 8",65.667,1
12,0,24358,Robert Garrigus,63' 2",63.167,1
13,0,21961,Charles Howell III,61' 7",61.583,1
14,0,22892,Jason Gore,61' 0",61.000,1
15,0,21646,David Branshaw,59' 4",118.667,2
16,0,25900,Lucas Glover,58' 2",58.167,1
17,0,25190,Jeff Quinney,57' 4",114.583,2
18,0,19803,Ryan Armour,56' 3",56.250,1
19,0,20634,Peter Lonard,56' 2",56.167,1
19,0,27963,Chris Stroud,56' 2",56.167,1
21,0,26596,Ryan Moore,55' 6",166.417,3
22,0,20498,Briny Baird,54' 8",109.250,2
23,0,11123,Chris Couch,53' 9",53.750,1
24,0,01313,Steve Elkington,53' 5",53.417,1
24,0,22378,Trevor Immelman,53' 5",53.417,1
26,0,12510,Chad Campbell,52' 2",52.167,1
27,0,23349,Charles Warren,51' 7",103.167,2
28,0,23108,Matt Kuchar,50' 3",50.250,1
29,0,27141,J.B. Holmes,50' 0",150.083,3
30,0,27060,John Mallinger,49' 11",49.917,1
31,0,24781,Hunter Mahan,49' 4",49.333,1
32,0,01941,Tom Pernice Jr.,49' 1",49.083,1
33,0,20645,John Senden,49' 0",196.083,4
34,0,29718,Anthony Kim,48' 8",48.667,1
35,0,01381,Fred Funk,47' 3",47.250,1
36,0,23320,Ryan Palmer,46' 2",46.167,1
37,0,02104,Jeff Sluman,45' 2",45.167,1
38,0,23322,Brett Wetterich,44' 11",89.750,2
39,0,27095,Nick Watney,42' 0",210.167,5
40,0,06643,Paul Goydos,41' 5",41.417,1
41,0,07867,Woody Austin,41' 0",122.917,3
42,0,21959,Ted Purdy,40' 6",40.500,1
43,0,24024,Zach Johnson,40' 5",40.417,1
44,0,23325,Vaughn Taylor,40' 0",40.000,1
45,0,25396,Kevin Na,39' 9",198.750,5
46,0,21805,Harrison Frazar,39' 7",39.583,1
47,0,27770,Camilo Villegas,39' 0",78.000,2
48,0,02101,Joey Sindelar,38' 2",76.250,2
49,0,06621,Joe Durant,37' 6",75.000,2
50,0,20098,Stuart Appleby,37' 4",74.667,2
51,0,24925,Jonathan Byrd,37' 2",74.333,2
52,0,23788,D.J. Trahan,36' 0",107.917,3
53,0,20574,Mathew Goggin,35' 11",71.750,2
54,0,24361,Pat Perez,35' 5",35.417,1
55,0,23983,Luke Donald,34' 5",34.417,1
56,0,23718,Nathan Green,34' 2",68.333,2
57,0,12660,Jesper Parnevik,34' 1",34.083,1
58,0,26679,Kevin Stadler,33' 0",33.000,1
59,0,24912,Will MacKenzie,32' 1",32.083,1
60,0,21949,Joe Ogilvie,32' 0",63.917,2
61,0,08075,Jerry Kelly,31' 9",31.750,1
62,0,06567,Vijay Singh,30' 3",60.500,2
63,0,20850,Daniel Chopra,30' 2",30.167,1
64,0,02214,Kirk Triplett,30' 0",150.167,5
65,0,28158,Steve Marino,29' 10",29.833,1
66,0,23614,Rich Beem,29' 8",59.333,2
67,0,01706,Davis Love III,29' 2",29.167,1
68,0,22371,Aaron Baddeley,29' 1",29.083,1
69,0,25686,Jason Dufner,29' 0",57.917,2
70,0,20623,Gavin Coles,28' 9",28.750,1
71,0,26881,Jarrod Lyle,28' 0",28.000,1
72,0,01161,Mark Calcavecchia,27' 3",54.417,2
73,0,07363,Craig Bowden,27' 2",27.167,1
74,0,23623,Bo Van Pelt,26' 9",53.500,2
75,0,08537,J.P. Hayes,26' 4",78.917,3
76,0,24140,Sean O'Hair,25' 4",25.333,1
77,0,22806,Doug LaBelle II,24' 10",24.833,1
78,0,07457,Steve Flesch,24' 7",24.583,1
78,0,01948,Tim Petrovic,24' 7",49.167,2
80,0,10885,Robert Allenby,22' 4",22.333,1
81,0,20229,Stewart Cink,19' 11",19.917,1
81,0,10213,Dicky Pride,19' 11",39.750,2
83,0,20378,Mathias Grönberg,19' 4",38.667,2
84,0,01724,Jeff Maggert,17' 8",17.667,1
85,0,10423,Mike Weir,17' 3",17.250,1
86,0,01249,John Daly,17' 1",68.417,4
87,0,23048,Eric Axley,15' 3",15.250,1
88,0,20572,Rod Pampling,15' 0",45.000,3
89,0,21633,Steve Allan,14' 0",14.000,1
90,0,20691,Greg Owen,12' 3",12.250,1
91,0,25345,Carl Pettersson,11' 0",11.000,1
92,0,01928,Corey Pavin,9' 9",9.750,1
93,0,22046,Geoff Ogilvy,5' 5",5.417,1
94,0,24138,Ian Poulter,4' 10",4.833,1
