RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,39975,Michael Kim,10.78,11,102,+0.18
2,0,27556,Ted Potter Jr.,7.94,10,126,+0.40
3,0,20472,Alex Cejka,5.00,5,100,E
4,0,21731,Freddie Jacobson,4.90,5,102,+0.40
5,0,32816,Satoshi Kodaira,4.46,5,112,+0.60
6,0,31560,Brian Stuard,4.07,7,172,+0.57
7,0,36852,Jim Knous,3.77,4,106,+0.50
8,0,19846,Brian Gay,3.70,6,162,E
9,0,32200,Roberto Castro,3.47,5,144,E
10,0,26951,Johnson Wagner,3.45,4,116,E
11,0,34261,Scott Langley,3.38,5,148,-0.20
12,0,26758,David Hearn,3.19,3,94,+0.33
13,0,39954,Cody Gribble,3.03,4,132,-0.25
14,0,21528,Henrik Stenson,3.00,3,100,+0.67
15,0,40115,Adam Svensson,2.99,4,134,E
16,0,34431,Robert Streb,2.78,4,144,+0.50
16,0,32333,Kevin Tway,2.78,4,144,E
18,0,39546,Keith Mitchell,2.67,4,150,+1.00
19,0,29535,Brice Garnett,2.60,4,154,E
20,0,37380,Curtis Luck,2.54,3,118,+0.33
21,0,32791,K.H. Lee,2.50,4,160,+0.75
21,0,48822,Sebastián Muñoz,2.50,4,160,+0.50
23,0,27958,Ryan Blaum,2.44,4,164,+1.25
23,0,06522,Ernie Els,2.44,2,82,+0.50
25,0,27963,Chris Stroud,2.42,3,124,E
26,0,19803,Ryan Armour,2.38,4,168,+0.25
27,0,26851,Marc Leishman,2.34,3,128,E
28,0,32757,Patton Kizzire,2.27,3,132,E
29,0,25572,Graeme McDowell,2.24,3,134,E
30,0,10809,Jim Furyk,2.21,3,136,-0.67
30,0,39327,Ben Silverman,2.21,3,136,E
32,0,29908,C.T. Pan,2.14,3,140,E
32,0,29484,Peter Uihlein,2.14,3,140,+0.33
34,0,24925,Jonathan Byrd,2.04,2,98,E
35,0,30692,Scott Stallings,2.03,3,148,-0.33
36,0,52372,Cameron Champ,1.97,3,152,+0.33
37,0,36699,Patrick Rodgers,1.96,2,102,+0.50
37,0,30786,Brady Schnell,1.96,2,102,E
39,0,49298,Kramer Hickok,1.95,3,154,+0.33
40,0,23353,J.J. Henry,1.92,2,104,-0.50
40,0,25818,Scott Piercy,1.92,3,156,+0.67
40,0,29221,Webb Simpson,1.92,3,156,-0.33
43,0,46402,Talor Gooch,1.85,2,108,E
44,0,29479,Scott Brown,1.83,3,164,+0.33
45,0,01810,Phil Mickelson,1.67,2,120,-0.50
46,0,37454,Whee Kim,1.64,2,122,E
46,0,35617,Martin Trainer,1.64,2,122,E
48,0,35891,Cameron Smith,1.61,2,124,+0.50
49,0,27141,J.B. Holmes,1.59,2,126,+0.50
50,0,25686,Jason Dufner,1.56,2,128,E
50,0,49771,J.T. Poston,1.56,3,192,E
50,0,34256,Andrew Putnam,1.56,2,128,-0.50
53,0,31420,Anirban Lahiri,1.54,2,130,-0.50
54,0,47990,Kyle Jones,1.52,2,132,E
55,0,47347,Adam Schenk,1.50,3,200,-0.33
56,0,47856,Seth Reeves,1.49,2,134,+0.50
56,0,27330,Josh Teater,1.49,2,134,E
58,0,35450,Patrick Cantlay,1.47,2,136,E
58,0,33122,Russell Knox,1.47,2,136,E
58,0,37275,Sam Ryder,1.47,2,136,E
61,0,24924,Bill Haas,1.45,2,138,+1.50
62,0,49766,Hank Lebioda,1.43,2,140,+0.50
63,0,28252,Seamus Power,1.39,2,144,E
63,0,49960,Sepp Straka,1.39,2,144,+1.50
65,0,33141,Keegan Bradley,1.35,2,148,+0.50
65,0,33399,Adam Hadwin,1.35,2,148,+0.50
67,0,27895,Jonas Blixt,1.32,2,152,E
68,0,23108,Matt Kuchar,1.25,2,160,+0.50
69,0,29970,Dylan Frittelli,1.23,2,162,+0.50
