RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,36689,Brooks Koepka,46.97,62,132,-0.23
2,0,27129,Luke List,42.06,53,126,-0.04
3,0,30944,Jason Kokrak,41.46,68,164,-0.24
4,0,45157,Cam Davis,39.58,57,144,-0.39
5,0,49964,Aaron Wise,39.13,54,138,-0.15
6,0,47959,Bryson DeChambeau,38.89,56,144,-0.30
7,0,32839,Hideki Matsuyama,38.75,62,160,-0.27
8,0,24502,Adam Scott,38.68,41,106,-0.27
9,0,21209,Sergio Garcia,38.64,34,88,-0.38
10,0,37189,Harold Varner III,38.41,63,164,-0.16
11,0,28237,Rory McIlroy,38.28,49,128,-0.10
12,0,32102,Rickie Fowler,38.16,58,152,-0.36
13,0,34306,John Chin,37.96,41,108,-0.12
14,0,35421,Brandon Harkins,37.95,63,166,-0.29
15,0,31323,Gary Woodland,37.50,57,152,-0.09
16,0,36699,Patrick Rodgers,37.25,38,102,-0.26
17,0,40026,Daniel Berger,37.12,49,132,-0.22
18,0,27064,Jhonattan Vegas,36.81,53,144,-0.28
19,0,21961,Charles Howell III,36.75,61,166,-0.08
20,0,27349,Alex Noren,36.54,38,104,-0.16
21,0,51766,Wyndham Clark,36.47,62,170,-0.37
22,0,29484,Peter Uihlein,36.43,51,140,-0.25
23,0,48081,Xander Schauffele,36.29,45,124,-0.22
24,0,49960,Sepp Straka,36.11,52,144,-0.21
25,0,46970,Jon Rahm,35.94,46,128,-0.24
26,0,30911,Tommy Fleetwood,35.83,43,120,-0.14
26,0,01810,Phil Mickelson,35.83,43,120,-0.09
28,0,27141,J.B. Holmes,35.71,45,126,-0.02
29,0,48822,Sebastián Muñoz,35.63,57,160,-0.33
30,0,39954,Cody Gribble,35.61,47,132,-0.17
31,0,29725,Tony Finau,35.00,56,160,-0.16
31,0,27974,Sung Kang,35.00,56,160,-0.20
31,0,47347,Adam Schenk,35.00,70,200,-0.33
34,0,36852,Jim Knous,34.91,37,106,-0.27
35,0,45486,Joaquin Niemann,34.78,64,184,-0.19
36,0,47504,Sam Burns,34.62,54,156,-0.24
36,0,34099,Harris English,34.62,63,182,-0.37
38,0,35450,Patrick Cantlay,34.56,47,136,-0.34
39,0,49766,Hank Lebioda,34.29,48,140,-0.42
40,0,25632,Jimmy Walker,34.09,45,132,-0.09
41,0,39546,Keith Mitchell,34.00,51,150,-0.24
42,0,24781,Hunter Mahan,33.90,40,118,-0.13
43,0,33948,Byeong Hun An,33.85,44,130,-0.23
44,0,46402,Talor Gooch,33.33,36,108,-0.47
44,0,30925,Dustin Johnson,33.33,44,132,-0.30
44,0,34264,Hudson Swafford,33.33,38,114,-0.21
44,0,32333,Kevin Tway,33.33,48,144,+0.02
48,0,30946,Alex Prugh,33.10,47,142,-0.15
49,0,37275,Sam Ryder,33.09,45,136,-0.20
50,0,33667,Carlos Ortiz,32.93,54,164,-0.28
51,0,35506,Mackenzie Hughes,32.89,50,152,-0.30
51,0,33418,Shawn Stefani,32.89,50,152,-0.24
53,0,33448,Justin Thomas,32.81,42,128,-0.38
54,0,34563,Chesson Hadley,32.58,43,132,-0.14
55,0,30692,Scott Stallings,32.43,48,148,-0.21
56,0,46501,Ollie Schniederjans,32.39,46,142,+0.02
57,0,33419,Cameron Tringale,32.31,42,130,-0.36
58,0,26851,Marc Leishman,32.03,41,128,-0.20
59,0,39997,Corey Conners,31.98,55,172,-0.40
60,0,37340,Chase Wright,31.88,44,138,-0.39
61,0,29518,Brendan Steele,31.48,34,108,-0.18
62,0,28252,Seamus Power,31.25,45,144,-0.20
63,0,29223,Sam Saunders,31.08,46,148,-0.24
64,0,22405,Justin Rose,31.03,36,116,-0.36
65,0,34360,Patrick Reed,30.95,52,168,-0.33
66,0,34021,Bud Cauley,30.49,50,164,-0.38
67,0,23320,Ryan Palmer,30.17,35,116,-0.11
68,0,27936,Martin Laird,30.00,48,160,-0.35
69,0,39971,Sungjae Im,29.82,68,228,-0.46
70,0,49303,Anders Albertson,29.69,38,128,-0.32
