RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF PUTTS,# OF HOLES
1,0,55789,Taylor Montgomery,1.521,2793,1836
2,0,47591,Eric Cole,1.542,3497,2268
3,0,46442,Maverick McNealy,1.554,1762,1134
4,0,33948,Byeong Hun An,1.557,2943,1890
5,0,51634,Sahith Theegala,1.558,2972,1908
6,0,30911,Tommy Fleetwood,1.559,2077,1332
7,0,39977,Max Homa,1.562,2418,1548
7,0,30927,Brendon Todd,1.562,2924,1872
9,0,22371,Aaron Baddeley,1.564,2252,1440
9,0,47504,Sam Burns,1.564,2280,1458
9,0,50188,S.H. Kim,1.564,3124,1998
9,0,34466,Peter Malnati,1.564,2675,1710
13,0,40098,Matt Fitzpatrick,1.568,2060,1314
13,0,39058,Lucas Herbert,1.568,1750,1116
13,0,22405,Justin Rose,1.568,1919,1224
16,0,46717,Viktor Hovland,1.569,2485,1584
17,0,34409,David Lingmerth,1.570,2487,1584
18,0,25493,Nick Taylor,1.571,2630,1674
19,0,37275,Sam Ryder,1.572,3141,1998
20,0,33597,Harry Higgs,1.573,2379,1512
20,0,35461,Beau Hossler,1.573,3114,1980
20,0,34046,Jordan Spieth,1.573,2038,1296
23,0,33653,Thomas Detry,1.574,2805,1782
23,0,34363,Tyrrell Hatton,1.574,2210,1404
23,0,47993,Denny McCarthy,1.574,2833,1800
26,0,28089,Jason Day,1.576,2270,1440
26,0,28237,Rory McIlroy,1.576,1816,1152
28,0,51766,Wyndham Clark,1.578,2897,1836
28,0,24502,Adam Scott,1.578,1931,1224
30,0,27644,Brian Harman,1.579,2644,1674
30,0,31560,Brian Stuard,1.579,2075,1314
32,0,54591,Ben Griffin,1.580,3385,2142
32,0,48081,Xander Schauffele,1.580,2304,1458
34,0,35450,Patrick Cantlay,1.581,2049,1296
34,0,47128,Richy Werenski,1.581,2818,1782
36,0,23108,Matt Kuchar,1.582,2592,1638
37,0,40162,Justin Lower,1.583,3105,1962
37,0,28252,Seamus Power,1.583,2337,1476
39,0,32102,Rickie Fowler,1.584,2738,1728
39,0,39971,Sungjae Im,1.584,2965,1872
41,0,45522,Christiaan Bezuidenhout,1.585,2539,1602
41,0,57975,Harry Hall,1.585,2910,1836
41,0,46970,Jon Rahm,1.585,2026,1278
44,0,46435,Austin Cook,1.586,2427,1530
44,0,25818,Scott Piercy,1.586,2827,1782
46,0,35506,Mackenzie Hughes,1.587,2543,1602
46,0,37455,Si Woo Kim,1.587,2857,1800
48,0,34099,Harris English,1.588,2772,1746
48,0,29970,Dylan Frittelli,1.588,2229,1404
50,0,33399,Adam Hadwin,1.589,2517,1584
50,0,27349,Alex Noren,1.589,2632,1656
52,0,48084,Wesley Bryan,1.590,1374,864
52,0,35532,Tom Hoge,1.590,2977,1872
54,0,35449,Adam Long,1.591,3237,2034
55,0,30926,Chris Kirk,1.592,2636,1656
55,0,36699,Patrick Rodgers,1.592,2923,1836
55,0,32139,Danny Willett,1.592,1920,1206
58,0,50493,Justin Suh,1.593,3269,2052
59,0,52955,Ludvig Åberg,1.594,1435,900
59,0,52453,Nicolai Hojgaard,1.594,1320,828
59,0,55182,Tom Kim,1.594,2583,1620
62,0,49947,Taylor Moore,1.595,2900,1818
63,0,31202,William McGirt,1.596,1523,954
64,0,24140,Sean O'Hair,1.597,1495,936
65,0,32839,Hideki Matsuyama,1.598,2503,1566
65,0,46441,Robby Shelton,1.598,2991,1872
67,0,49771,J.T. Poston,1.599,2878,1800
68,0,24925,Jonathan Byrd,1.600,1728,1080
69,0,33141,Keegan Bradley,1.601,2363,1476
69,0,34098,Russell Henley,1.601,2420,1512
69,0,33410,Andrew Landry,1.601,2305,1440
69,0,47983,Chad Ramey,1.601,2911,1818
69,0,29221,Webb Simpson,1.601,1643,1026
74,0,26596,Ryan Moore,1.602,2393,1494
75,0,36801,Mark Hubbard,1.603,3347,2088
75,0,48117,Kurt Kitayama,1.603,2077,1296
77,0,25632,Jimmy Walker,1.605,2485,1548
78,0,40058,Zac Blair,1.606,2255,1404
78,0,32757,Patton Kizzire,1.606,2891,1800
78,0,40115,Adam Svensson,1.606,3526,2196
78,0,52374,Brandon Wu,1.606,3325,2070
82,0,20229,Stewart Cink,1.607,2314,1440
82,0,59018,Ryan Gerard,1.607,1793,1116
82,0,35879,Kelly Kraft,1.607,2603,1620
82,0,33413,Ben Martin,1.607,2979,1854
86,0,31646,Emiliano Grillo,1.608,3271,2034
86,0,54628,Lee Hodges,1.608,3097,1926
86,0,39546,Keith Mitchell,1.608,2720,1692
86,0,51997,Andrew Novak,1.608,2749,1710
90,0,45157,Cam Davis,1.609,2636,1638
90,0,33448,Justin Thomas,1.609,2085,1296
92,0,47079,Harrison Endycott,1.610,2579,1602
93,0,34563,Chesson Hadley,1.611,2725,1692
93,0,29289,S.Y. Noh,1.611,1972,1224
93,0,47995,Davis Riley,1.611,2958,1836
93,0,48119,Ben Taylor,1.611,3074,1908
97,0,33408,Tyson Alexander,1.612,2756,1710
97,0,57362,Austin Eckroat,1.612,2844,1764
97,0,54421,Garrick Higgo,1.612,2988,1854
97,0,50525,Collin Morikawa,1.612,2350,1458
97,0,49960,Sepp Straka,1.612,2670,1656
97,0,48887,Matt Wallace,1.612,2438,1512
103,0,29420,Billy Horschel,1.613,1858,1152
103,0,32816,Satoshi Kodaira,1.613,1829,1134
103,0,32640,Troy Merritt,1.613,2671,1656
103,0,50095,Austin Smotherman,1.613,2903,1800
107,0,34256,Andrew Putnam,1.614,3224,1998
107,0,35617,Martin Trainer,1.614,1830,1134
109,0,51890,Greyson Sigg,1.615,3052,1890
110,0,36799,Stephan Jaeger,1.616,3549,2196
110,0,32791,K.H. Lee,1.616,3113,1926
110,0,46046,Scottie Scheffler,1.616,2560,1584
113,0,47988,Nick Hardy,1.617,3434,2124
113,0,28775,Nate Lashley,1.617,3114,1926
113,0,51950,Max McGreevy,1.617,2677,1656
113,0,58168,Davis Thompson,1.617,2794,1728
113,0,57366,Cameron Young,1.617,2503,1548
113,0,55454,Carl Yuan,1.617,2445,1512
