RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL ACTUAL HANG TIME,TOTAL ATTEMPTS
1,0,36699,Patrick Rodgers,7.1,247.4,35
2,0,12716,Charley Hoffman,7.0,446.8,64
3,0,33141,Keegan Bradley,6.9,475.4,69
3,0,33448,Justin Thomas,6.9,551.5,80
5,0,27141,J.B. Holmes,6.8,382.2,56
5,0,36689,Brooks Koepka,6.8,419.6,62
5,0,01810,Phil Mickelson,6.8,278.5,41
5,0,23320,Ryan Palmer,6.8,327.0,48
5,0,30946,Alex Prugh,6.8,463.0,68
10,0,32334,Charlie Beljan,6.7,339.5,51
10,0,27436,Graham DeLaet,6.7,306.7,46
10,0,01706,Davis Love III,6.7,206.5,31
10,0,25818,Scott Piercy,6.7,481.9,72
10,0,28780,Nicholas Thompson,6.7,452.8,68
15,0,20848,Ángel Cabrera,6.6,257.2,39
15,0,23983,Luke Donald,6.6,243.0,37
15,0,34099,Harris English,6.6,518.6,79
15,0,29725,Tony Finau,6.6,507.7,77
15,0,32102,Rickie Fowler,6.6,324.6,49
15,0,22892,Jason Gore,6.6,305.6,46
15,0,33399,Adam Hadwin,6.6,459.2,70
15,0,32448,James Hahn,6.6,404.6,61
15,0,20766,Padraig Harrington,6.6,305.7,46
15,0,34098,Russell Henley,6.6,433.7,66
15,0,33461,Morgan Hoffmann,6.6,397.5,60
15,0,34409,David Lingmerth,6.6,455.9,69
15,0,33486,Roger Sloan,6.6,211.5,32
15,0,34046,Jordan Spieth,6.6,354.5,54
15,0,27214,Kevin Streelman,6.6,443.0,67
15,0,34264,Hudson Swafford,6.6,468.5,71
31,0,32366,Kevin Chappell,6.5,343.8,53
31,0,30736,Oscar Fraustro,6.5,187.3,29
31,0,35539,Luke Guthrie,6.5,422.7,65
31,0,24924,Bill Haas,6.5,381.6,59
31,0,23353,J.J. Henry,6.5,391.3,60
31,0,29420,Billy Horschel,6.5,428.3,66
31,0,36801,Mark Hubbard,6.5,351.1,54
31,0,29926,Danny Lee,6.5,595.0,92
31,0,23548,Bill Lunde,6.5,226.9,35
31,0,32640,Troy Merritt,6.5,377.2,58
31,0,25198,Francesco Molinari,6.5,268.0,41
31,0,29289,S.Y. Noh,6.5,306.0,47
31,0,22046,Geoff Ogilvy,6.5,213.3,33
31,0,29223,Sam Saunders,6.5,376.9,58
31,0,29518,Brendan Steele,6.5,498.1,77
31,0,33419,Cameron Tringale,6.5,452.7,70
31,0,27095,Nick Watney,6.5,444.4,68
48,0,35545,Blayne Barber,6.4,384.4,60
48,0,40026,Daniel Berger,6.4,375.8,59
48,0,40058,Zac Blair,6.4,557.6,87
48,0,25364,Paul Casey,6.4,273.3,43
48,0,21753,Brian Davis,6.4,425.4,66
48,0,28307,Matt Every,6.4,343.7,54
48,0,28500,Martin Flores,6.4,446.7,70
48,0,39977,Max Homa,6.4,331.3,52
48,0,34174,John Huh,6.4,573.3,90
48,0,30925,Dustin Johnson,6.4,256.3,40
48,0,24024,Zach Johnson,6.4,433.1,68
48,0,26300,Matt Jones,6.4,378.1,59
48,0,30944,Jason Kokrak,6.4,464.7,73
48,0,24781,Hunter Mahan,6.4,334.9,52
48,0,32839,Hideki Matsuyama,6.4,419.4,66
48,0,24140,Sean O'Hair,6.4,367.0,57
48,0,33667,Carlos Ortiz,6.4,506.5,79
48,0,34256,Andrew Putnam,6.4,350.3,55
48,0,26476,Chez Reavie,6.4,326.4,51
48,0,31193,Jim Renner,6.4,338.8,53
48,0,20645,John Senden,6.4,303.1,47
48,0,29221,Webb Simpson,6.4,332.5,52
48,0,30692,Scott Stallings,6.4,307.1,48
48,0,32150,Michael Thompson,6.4,448.8,70
48,0,25632,Jimmy Walker,6.4,356.2,56
48,0,25804,Bubba Watson,6.4,218.7,34
48,0,21878,Mark Wilson,6.4,422.4,66
48,0,31323,Gary Woodland,6.4,300.2,47
76,0,27895,Jonas Blixt,6.3,288.9,46
76,0,24925,Jonathan Byrd,6.3,290.0,46
76,0,32200,Roberto Castro,6.3,163.5,26
76,0,28089,Jason Day,6.3,310.2,49
76,0,25191,Gonzalo Fernandez-Castaño,6.3,322.1,51
76,0,21209,Sergio Garcia,6.3,209.0,33
76,0,24358,Robert Garrigus,6.3,276.3,44
76,0,25900,Lucas Glover,6.3,445.3,71
76,0,28679,Fabián Gómez,6.3,364.5,58
76,0,20157,Retief Goosen,6.3,388.2,62
76,0,26758,David Hearn,6.3,481.1,76
76,0,29222,Billy Hurley III,6.3,347.2,55
76,0,26329,Louis Oosthuizen,6.3,219.2,35
76,0,35541,John Peterson,6.3,444.0,70
76,0,24138,Ian Poulter,6.3,237.9,38
76,0,22405,Justin Rose,6.3,251.4,40
76,0,23621,Rory Sabbatini,6.3,352.4,56
76,0,24502,Adam Scott,6.3,113.2,18
76,0,27649,Brandt Snedeker,6.3,482.3,76
76,0,33418,Shawn Stefani,6.3,471.8,75
76,0,25493,Nick Taylor,6.3,449.6,71
76,0,25892,Steve Wheatcroft,6.3,423.9,67
98,0,20771,Steven Alker,6.2,297.4,48
98,0,23048,Eric Axley,6.2,246.8,40
98,0,22371,Aaron Baddeley,6.2,211.6,34
98,0,28259,Sangmoon Bae,6.2,407.3,66
98,0,25274,Steven Bowditch,6.2,477.6,77
98,0,20472,Alex Cejka,6.2,426.4,69
98,0,24357,K.J. Choi,6.2,235.9,38
98,0,34262,Jon Curran,6.2,355.9,57
98,0,23638,Brendon de Jonge,6.2,453.6,73
98,0,25369,Jamie Donaldson,6.2,223.0,36
98,0,37273,Derek Ernst,6.2,352.2,57
98,0,29535,Brice Garnett,6.2,357.0,58
98,0,29720,Andres Gonzales,6.2,467.3,75
98,0,31557,Jim Herman,6.2,381.4,62
98,0,35532,Tom Hoge,6.2,316.2,51
98,0,30852,Ryo Ishikawa,6.2,375.3,61
98,0,29478,Kevin Kisner,6.2,529.5,86
98,0,23108,Matt Kuchar,6.2,441.0,71
98,0,27936,Martin Laird,6.2,349.8,56
98,0,26851,Marc Leishman,6.2,311.3,50
98,0,22056,Cameron Percy,6.2,349.2,56
98,0,24361,Pat Perez,6.2,423.9,68
98,0,34360,Patrick Reed,6.2,417.0,67
98,0,29476,Kyle Reifers,6.2,397.1,64
98,0,26331,Charl Schwartzel,6.2,174.8,28
98,0,06567,Vijay Singh,6.2,332.7,54
98,0,22293,Heath Slocum,6.2,209.5,34
98,0,27963,Chris Stroud,6.2,315.8,51
98,0,31560,Brian Stuard,6.2,471.0,76
98,0,29425,Andrew Svoboda,6.2,358.6,58
98,0,30927,Brendon Todd,6.2,361.0,58
98,0,02206,David Toms,6.2,285.7,46
98,0,23623,Bo Van Pelt,6.2,363.9,59
98,0,27064,Jhonattan Vegas,6.2,393.6,63
98,0,25349,Tim Wilkinson,6.2,266.0,43
133,0,24507,Jason Bohn,6.1,459.1,75
133,0,29479,Scott Brown,6.1,429.6,70
133,0,23541,Ben Crane,6.1,251.1,41
133,0,10809,Jim Furyk,6.1,214.4,35
133,0,34563,Chesson Hadley,6.1,445.7,73
133,0,27644,Brian Harman,6.1,387.2,64
133,0,21961,Charles Howell III,6.1,521.4,85
133,0,37454,Whee Kim,6.1,239.5,39
133,0,30711,Colt Knost,6.1,375.2,62
133,0,31202,William McGirt,6.1,493.2,81
133,0,20691,Greg Owen,6.1,251.9,41
133,0,34130,Sung Joon Park,6.1,319.0,52
133,0,25345,Carl Pettersson,6.1,517.9,85
133,0,35451,Scott Pinckney,6.1,386.3,63
133,0,25240,D.A. Points,6.1,287.8,47
133,0,28486,Michael Putnam,6.1,355.3,58
133,0,26951,Johnson Wagner,6.1,267.1,44
133,0,34265,Will Wilcox,6.1,194.7,32
151,0,25720,Chad Collins,6.0,293.1,49
151,0,24494,Erik Compton,6.0,347.3,58
151,0,30926,Chris Kirk,6.0,320.4,53
151,0,10860,Justin Leonard,6.0,276.9,46
151,0,33413,Ben Martin,6.0,404.6,67
151,0,24490,George McNeill,6.0,394.7,66
151,0,26596,Ryan Moore,6.0,320.2,53
151,0,25396,Kevin Na,6.0,306.4,51
151,0,28475,Jeff Overton,6.0,404.2,67
151,0,25562,Andres Romero,6.0,270.9,45
151,0,34431,Robert Streb,6.0,537.0,90
151,0,28132,Tyrone Van Aswegen,6.0,174.4,29
151,0,20396,Lee Westwood,6.0,191.8,32
164,0,10885,Robert Allenby,5.9,249.8,42
164,0,12510,Chad Campbell,5.9,457.6,77
164,0,20593,Greg Chalmers,5.9,195.8,33
164,0,25686,Jason Dufner,5.9,247.5,42
164,0,06522,Ernie Els,5.9,140.8,24
164,0,33122,Russell Knox,5.9,423.3,72
164,0,27466,Spencer Levin,5.9,390.7,66
164,0,23800,Bryce Molder,5.9,373.9,63
164,0,25834,Daniel Summerhays,5.9,373.5,63
173,0,20229,Stewart Cink,5.8,290.3,50
173,0,31416,Derek Fathauer,5.8,345.1,59
173,0,08075,Jerry Kelly,5.8,295.0,51
173,0,34261,Scott Langley,5.8,337.0,58
173,0,27933,John Merrick,5.8,314.9,54
173,0,21528,Henrik Stenson,5.8,116.0,20
173,0,27770,Camilo Villegas,5.8,373.8,64
173,0,26289,Boo Weekley,5.8,282.7,49
181,0,20104,Ken Duke,5.7,346.7,61
181,0,28023,Byron Smith,5.7,193.0,34
183,0,34358,Jonathan Randolph,5.6,276.6,49
184,0,24846,Ricky Barnes,5.3,265.5,50
