RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,33448,Justin Thomas,14.11,143.924,102
2,0,21878,Mark Wilson,13.80,1145.06,83
3,0,26758,David Hearn,13.58,1289.86,95
4,0,02206,David Toms,13.52,838.48,62
5,0,25493,Nick Taylor,13.28,1222.20,92
6,0,06522,Ernie Els,13.27,504.24,38
7,0,32448,James Hahn,13.25,1046.89,79
8,0,28780,Nicholas Thompson,13.10,1113.56,85
9,0,24024,Zach Johnson,13.07,1124.12,86
10,0,34563,Chesson Hadley,13.03,1198.73,92
11,0,29926,Danny Lee,12.99,1455.17,112
12,0,20766,Padraig Harrington,12.82,730.84,57
13,0,21753,Brian Davis,12.80,1087.68,85
14,0,20771,Steven Alker,12.67,747.80,59
15,0,20472,Alex Cejka,12.61,1046.63,83
16,0,32150,Michael Thompson,12.53,1052.50,84
17,0,34262,Jon Curran,12.50,912.18,73
17,0,33461,Morgan Hoffmann,12.50,987.42,79
19,0,33141,Keegan Bradley,12.49,1023.85,82
20,0,25818,Scott Piercy,12.44,1057.59,85
21,0,34174,John Huh,12.42,1353.82,109
22,0,27436,Graham DeLaet,12.36,667.63,54
23,0,24140,Sean O'Hair,12.32,924.11,75
24,0,28475,Jeff Overton,12.24,1052.35,86
25,0,29223,Sam Saunders,12.21,879.32,72
26,0,27141,J.B. Holmes,12.17,863.81,71
27,0,28089,Jason Day,12.12,739.19,61
28,0,23108,Matt Kuchar,12.11,1078.16,89
29,0,20157,Retief Goosen,12.10,883.63,73
29,0,26476,Chez Reavie,12.10,726.25,60
31,0,28307,Matt Every,12.07,856.81,71
32,0,30692,Scott Stallings,12.03,649.47,54
33,0,27644,Brian Harman,12.00,996.24,83
33,0,30946,Alex Prugh,12.00,995.96,83
35,0,33419,Cameron Tringale,11.97,1064.89,89
36,0,22293,Heath Slocum,11.96,526.27,44
37,0,25562,Andres Romero,11.94,597.22,50
38,0,30736,Oscar Fraustro,11.93,512.98,43
38,0,01810,Phil Mickelson,11.93,620.40,52
38,0,22405,Justin Rose,11.93,644.40,54
41,0,26596,Ryan Moore,11.85,805.54,68
42,0,25349,Tim Wilkinson,11.84,710.34,60
43,0,01706,Davis Love III,11.82,508.47,43
44,0,36699,Patrick Rodgers,11.81,554.95,47
45,0,24357,K.J. Choi,11.78,694.85,59
45,0,12716,Charley Hoffman,11.78,1001.23,85
47,0,23320,Ryan Palmer,11.76,775.96,66
