RANK,MOVEMENT,PLAYER_ID,PLAYER,COMBINED RANK,CARRY EFFICIENCY RANK,TOTAL DIST. EFFIC. RANK
1,0,06522,Ernie Els,4,2,2
2,0,01706,Davis Love III,13,8,5
2,0,25493,Nick Taylor,13,4,9
4,0,25818,Scott Piercy,17,7,10
5,0,02206,David Toms,20,19,1
6,0,20157,Retief Goosen,24,9,15
7,0,34409,David Lingmerth,28,16,12
8,0,28089,Jason Day,32,5,27
9,0,25562,Andres Romero,36,25,11
10,0,24140,Sean O'Hair,38,18,20
11,0,33461,Morgan Hoffmann,41,14,27
12,0,26476,Chez Reavie,46,23,23
13,0,30736,Oscar Fraustro,48,25,23
14,0,27141,J.B. Holmes,52,16,36
14,0,33667,Carlos Ortiz,52,11,41
16,0,23548,Bill Lunde,53,47,6
17,0,29420,Billy Horschel,54,22,32
17,0,30692,Scott Stallings,54,35,19
19,0,23320,Ryan Palmer,55,3,52
20,0,21753,Brian Davis,56,36,20
20,0,12716,Charley Hoffman,56,15,41
22,0,26758,David Hearn,60,53,7
22,0,22293,Heath Slocum,60,57,3
22,0,33448,Justin Thomas,60,1,59
25,0,22405,Justin Rose,62,32,30
26,0,22371,Aaron Baddeley,64,12,52
27,0,30944,Jason Kokrak,67,28,39
28,0,27936,Martin Laird,70,29,41
29,0,20771,Steven Alker,76,62,14
29,0,34563,Chesson Hadley,76,31,45
31,0,32150,Michael Thompson,77,9,68
32,0,20848,Ángel Cabrera,78,42,36
33,0,10885,Robert Allenby,83,60,23
34,0,31560,Brian Stuard,84,76,8
35,0,32448,James Hahn,87,19,68
35,0,26596,Ryan Moore,87,84,3
35,0,29518,Brendan Steele,87,47,40
38,0,24924,Bill Haas,89,57,32
39,0,29535,Brice Garnett,90,73,17
40,0,24357,K.J. Choi,91,44,47
41,0,23541,Ben Crane,92,51,41
42,0,21878,Mark Wilson,97,62,35
43,0,25345,Carl Pettersson,99,34,65
44,0,22056,Cameron Percy,100,23,77
45,0,26329,Louis Oosthuizen,104,82,22
46,0,30925,Dustin Johnson,105,6,99
46,0,25804,Bubba Watson,105,92,13
48,0,23353,J.J. Henry,106,80,26
48,0,24024,Zach Johnson,106,43,63
50,0,29926,Danny Lee,107,25,82
51,0,33419,Cameron Tringale,114,62,52
52,0,24502,Adam Scott,115,83,32
53,0,32839,Hideki Matsuyama,117,56,61
54,0,24781,Hunter Mahan,120,32,88
55,0,25349,Tim Wilkinson,121,90,31
56,0,27963,Chris Stroud,123,74,49
57,0,06567,Vijay Singh,125,51,74
58,0,28780,Nicholas Thompson,126,29,97
59,0,20472,Alex Cejka,128,80,48
60,0,35545,Blayne Barber,129,61,68
60,0,20766,Padraig Harrington,129,67,62
62,0,30946,Alex Prugh,130,40,90
63,0,34099,Harris English,132,38,94
64,0,10860,Justin Leonard,133,104,29
65,0,24358,Robert Garrigus,135,19,116
66,0,30927,Brendon Todd,137,119,18
67,0,33486,Roger Sloan,138,50,88
68,0,10809,Jim Furyk,140,125,15
68,0,29720,Andres Gonzales,140,66,74
70,0,29478,Kevin Kisner,146,87,59
70,0,34046,Jordan Spieth,146,13,133
70,0,27770,Camilo Villegas,146,110,36
73,0,22046,Geoff Ogilvy,147,53,94
74,0,27649,Brandt Snedeker,148,69,79
75,0,12510,Chad Campbell,149,98,51
75,0,22892,Jason Gore,149,92,57
77,0,35539,Luke Guthrie,150,36,114
77,0,30926,Chris Kirk,150,95,55
77,0,01810,Phil Mickelson,150,78,72
80,0,26851,Marc Leishman,155,84,71
81,0,23108,Matt Kuchar,158,44,114
82,0,28307,Matt Every,164,107,57
82,0,23623,Bo Van Pelt,164,62,102
84,0,25900,Lucas Glover,169,113,56
84,0,31193,Jim Renner,169,87,82
86,0,27644,Brian Harman,171,72,99
87,0,28475,Jeff Overton,172,90,82
88,0,29223,Sam Saunders,174,44,130
89,0,33141,Keegan Bradley,175,47,128
89,0,29221,Webb Simpson,175,110,65
91,0,32102,Rickie Fowler,176,57,119
92,0,25369,Jamie Donaldson,177,110,67
93,0,36699,Patrick Rodgers,188,41,147
94,0,31416,Derek Fathauer,189,125,64
94,0,29476,Kyle Reifers,189,97,92
94,0,25632,Jimmy Walker,189,55,134
97,0,34261,Scott Langley,193,102,91
97,0,25834,Daniel Summerhays,193,144,49
97,0,28132,Tyrone Van Aswegen,193,116,77
100,0,27214,Kevin Streelman,195,121,74
101,0,27436,Graham DeLaet,196,38,158
102,0,26951,Johnson Wagner,200,92,108
103,0,33122,Russell Knox,204,159,45
104,0,34174,John Huh,205,89,116
105,0,33418,Shawn Stefani,209,106,103
106,0,29479,Scott Brown,211,77,134
106,0,35541,John Peterson,211,125,86
106,0,23621,Rory Sabbatini,211,69,142
109,0,29289,S.Y. Noh,214,69,145
109,0,34130,Sung Joon Park,214,135,79
111,0,32366,Kevin Chappell,218,98,120
111,0,30852,Ryo Ishikawa,218,98,120
113,0,34262,Jon Curran,221,117,104
114,0,27933,John Merrick,222,118,104
115,0,25892,Steve Wheatcroft,223,119,104
116,0,25198,Francesco Molinari,225,146,79
117,0,24138,Ian Poulter,226,130,96
118,0,26289,Boo Weekley,227,128,99
119,0,28679,Fabián Gómez,229,147,82
119,0,29425,Andrew Svoboda,229,157,72
121,0,40026,Daniel Berger,230,67,163
121,0,25274,Steven Bowditch,230,104,126
123,0,28259,Sangmoon Bae,234,142,92
124,0,25364,Paul Casey,236,139,97
125,0,24507,Jason Bohn,238,152,86
125,0,25240,D.A. Points,238,84,154
127,0,24494,Erik Compton,240,113,127
128,0,23983,Luke Donald,243,133,110
128,0,20396,Lee Westwood,243,133,110
130,0,24925,Jonathan Byrd,244,78,166
130,0,37454,Whee Kim,244,95,149
132,0,27895,Jonas Blixt,246,74,172
132,0,31323,Gary Woodland,246,130,116
134,0,35532,Tom Hoge,248,136,112
134,0,39977,Max Homa,248,123,125
134,0,21961,Charles Howell III,248,139,109
137,0,31557,Jim Herman,254,142,112
138,0,33399,Adam Hadwin,256,107,149
139,0,29725,Tony Finau,260,102,158
140,0,34431,Robert Streb,264,157,107
141,0,34098,Russell Henley,265,109,156
142,0,34256,Andrew Putnam,268,148,120
143,0,08075,Jerry Kelly,270,141,129
144,0,25191,Gonzalo Fernandez-Castaño,271,113,158
144,0,28500,Martin Flores,271,128,143
