RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY PER EVENT,TOTAL MONEY
1,0,22405,Justin Rose,$451704,8130678
2,0,30925,Dustin Johnson,$422868,8457352
3,0,36689,Brooks Koepka,$417297,7094047
4,0,33448,Justin Thomas,$378036,8694821
5,0,47959,Bryson DeChambeau,$311327,8094489
6,0,08793,Tiger Woods,$302436,5443841
7,0,28089,Jason Day,$254373,5087461
8,0,25198,Francesco Molinari,$253292,5065842
9,0,28237,Rory McIlroy,$245016,4410296
10,0,25804,Bubba Watson,$241406,5793748
11,0,32102,Rickie Fowler,$211762,4235237
12,0,30911,Tommy Fleetwood,$207113,3935147
13,0,29221,Webb Simpson,$206785,5376417
14,0,29725,Tony Finau,$200719,5620138
15,0,46970,Jon Rahm,$199634,3992678
16,0,34360,Patrick Reed,$192549,5006267
17,0,01810,Phil Mickelson,$191466,4595187
18,0,25364,Paul Casey,$182089,3641771
19,0,34709,Eddie Pepperell,$174158,348317
20,0,35450,Patrick Cantlay,$172346,3963962
21,0,21528,Henrik Stenson,$167530,2680487
22,0,29420,Billy Horschel,$159822,4315200
23,0,35891,Cameron Smith,$150942,3622607
24,0,26851,Marc Leishman,$150849,3771221
25,0,33141,Keegan Bradley,$150721,4069464
26,0,30110,Kyle Stanley,$150615,3916001
27,0,27349,Alex Noren,$149953,2699150
28,0,48081,Xander Schauffele,$149909,4047538
29,0,47989,Sam Horsfield,$137950,137950
30,0,25396,Kevin Na,$137628,3578316
31,0,24138,Ian Poulter,$135722,2714450
32,0,24361,Pat Perez,$128810,2962641
33,0,32839,Hideki Matsuyama,$127975,2687477
34,0,26499,Rafa Cabrera Bello,$122493,2449869
35,0,32757,Patton Kizzire,$122109,3541151
36,0,34363,Tyrrell Hatton,$121460,1943360
37,0,34046,Jordan Spieth,$121458,2793536
38,0,49964,Aaron Wise,$120221,3486407
39,0,29478,Kevin Kisner,$118891,2972285
40,0,31323,Gary Woodland,$115145,3108907
41,0,40006,Erik van Rooyen,$109714,109714
42,0,27644,Brian Harman,$109339,2733463
43,0,33948,Byeong Hun An,$108303,2599264
44,0,24502,Adam Scott,$106554,2237641
45,0,29518,Brendan Steele,$104142,2291128
46,0,26329,Louis Oosthuizen,$101853,1731493
47,0,31646,Emiliano Grillo,$99727,2493163
48,0,27649,Brandt Snedeker,$97959,2448970
49,0,33410,Andrew Landry,$97858,2642179
50,0,26476,Chez Reavie,$96429,2700018
51,0,39953,Chase Seiffert,$94500,189000
52,0,27129,Luke List,$93474,2710736
53,0,45486,Joaquin Niemann,$93074,1209957
54,0,34563,Chesson Hadley,$92295,2768863
55,0,26596,Ryan Moore,$90300,1986608
