RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,21961,Charles Howell III,5,3,2
2,0,06621,Joe Durant,9,5,4
3,0,01475,Donnie Hammond,14,4,10
4,0,23353,J.J. Henry,18,5,13
4,0,01677,Tom Lehman,18,17,1
6,0,01945,Kenny Perry,22,14,8
7,0,02170,Hal Sutton,25,16,9
8,0,01810,Phil Mickelson,31,5,26
8,0,02106,Chris Smith,31,15,16
10,0,02206,David Toms,34,27,7
11,0,10585,Scott McCarron,37,12,25
12,0,08793,Tiger Woods,44,39,5
13,0,10885,Robert Allenby,45,12,33
14,0,20498,Briny Baird,48,21,27
15,0,06573,Brandt Jobe,51,11,40
16,0,21209,Sergio Garcia,56,1,55
17,0,06004,Stephen Ames,57,21,36
18,0,11032,Frank Lickliter II,58,10,48
19,0,01797,Rocco Mediate,63,51,12
19,0,02223,Bob Tway,63,58,5
21,0,01766,Billy Mayfair,65,38,27
21,0,02002,John Riegger,65,21,44
23,0,01938,David Peoples,67,35,32
24,0,23034,Brent Schwarzrock,70,1,69
25,0,12782,Tim Herron,72,51,21
25,0,06567,Vijay Singh,72,42,30
27,0,01707,Steve Lowery,75,24,51
28,0,01307,Joel Edwards,76,41,35
29,0,07003,David Berganio Jr.,78,5,73
29,0,01219,John Cook,78,75,3
29,0,02246,Duffy Waldorf,78,25,53
32,0,08545,Glen Hnatiuk,84,73,11
32,0,08633,Per-Ulrik Johansson,84,32,52
32,0,01706,Davis Love III,84,64,20
35,0,10809,Jim Furyk,85,68,17
36,0,09011,David Duval,87,46,41
37,0,01139,Olin Browne,91,42,49
37,0,10962,Bradley Hughes,91,48,43
39,0,12652,Cameron Beckman,93,51,42
39,0,01203,Russ Cochran,93,35,58
41,0,20094,Jonathan Kaye,94,20,74
42,0,02239,Scott Verplank,95,81,14
43,0,01724,Jeff Maggert,98,31,67
44,0,01226,Fred Couples,101,77,24
45,0,20095,Carl Paulson,106,9,97
46,0,12645,Brent Geiberger,108,30,78
47,0,07457,Steve Flesch,112,55,57
48,0,02214,Kirk Triplett,114,95,19
49,0,01381,Fred Funk,115,65,50
50,0,19972,José Coceres,116,55,61
51,0,01161,Mark Calcavecchia,118,55,63
52,0,01527,Scott Hoch,120,45,75
53,0,10565,Ian Leggatt,121,42,79
54,0,02245,Grant Waite,126,35,91
55,0,01943,Chris Perry,128,81,47
56,0,01042,Paul Azinger,131,97,34
56,0,01553,John Huston,131,113,18
58,0,08075,Jerry Kelly,133,102,31
59,0,06809,Bob Burns,134,69,65
59,0,01920,Craig Parry,134,70,64
61,0,21805,Harrison Frazar,136,49,87
62,0,12660,Jesper Parnevik,140,58,82
63,0,23614,Rich Beem,141,17,124
64,0,10457,Frank Nobilo,142,84,58
65,0,01063,Ben Bates,146,17,129
65,0,02101,Joey Sindelar,146,70,76
67,0,08375,Paul Stankowski,148,63,85
68,0,01457,Jay Haas,152,113,39
68,0,22122,Andrew McLardy,152,27,125
70,0,20566,Kaname Yokoo,154,27,127
71,0,06350,Bob May,155,117,38
72,0,06575,Dudley Hart,156,119,37
72,0,01619,Skip Kendall,156,79,77
74,0,01968,Nick Price,161,93,68
75,0,01249,John Daly,163,93,70
76,0,07749,Brett Quigley,165,79,86
77,0,01487,Jeff Hart,166,110,56
78,0,10423,Mike Weir,167,107,60
79,0,20098,Stuart Appleby,168,25,143
80,0,02104,Jeff Sluman,171,149,22
81,0,19824,Craig Barlow,173,102,71
81,0,06251,Chris DiMarco,173,158,15
83,0,01157,Tom Byrum,174,74,100
84,0,06522,Ernie Els,180,81,99
85,0,01035,Tommy Armour III,181,34,147
85,0,01175,Jim Carter,181,62,119
85,0,11011,Mike Sposa,181,89,92
88,0,19881,Robert Damron,182,46,136
89,0,02257,Brian Watts,184,78,106
89,0,08057,Brian Wilson,184,32,152
91,0,10860,Justin Leonard,185,104,81
92,0,06332,Neal Lancaster,186,132,54
93,0,20229,Stewart Cink,187,158,29
93,0,19846,Brian Gay,187,107,80
95,0,06034,Marco Dawson,189,117,72
95,0,06595,Kevin Sutherland,189,166,23
97,0,06036,Scott Dunlap,190,70,120
98,0,20593,Greg Chalmers,192,89,103
99,0,01313,Steve Elkington,195,51,144
100,0,10201,Matt Gogel,197,84,113
101,0,21584,Richie Coughlan,198,40,158
101,0,01418,Bill Glasson,198,132,66
103,0,12388,Michael Clark II,199,101,98
104,0,01320,Bob Estes,200,155,45
105,0,20127,Chris Riley,201,67,134
105,0,20436,Garrett Willis,201,75,126
107,0,20574,Mathew Goggin,202,97,105
108,0,08537,J.P. Hayes,209,97,112
109,0,23621,Rory Sabbatini,210,115,95
110,0,08123,Jeff Brehaut,211,119,92
111,0,20433,Mark Hensby,216,50,166
112,0,01666,Bernhard Langer,219,173,46
113,0,22046,Geoff Ogilvy,220,65,155
114,0,01771,Blaine McCallister,222,89,133
115,0,22892,Jason Gore,223,60,163
116,0,08931,Glen Day,224,92,132
116,0,01361,Dan Forsman,224,141,83
116,0,06613,Tommy Tolles,224,116,108
119,0,01577,Lee Janzen,225,163,62
120,0,23125,Brad Elder,230,61,169
121,0,12823,Carlos Franco,233,122,111
121,0,08553,Lee Porter,233,84,149
123,0,01374,Robin Freeman,235,146,89
124,0,10912,Craig Perks,241,104,137
125,0,10733,Kent Jones,242,122,120
126,0,10425,Jay Williamson,243,134,109
127,0,01685,J.L. Lewis,247,110,137
128,0,01098,Jay Don Blake,248,134,114
129,0,25083,Jeremy Anderson,249,110,139
130,0,24357,K.J. Choi,250,149,101
131,0,20043,Edward Fryatt,254,144,110
132,0,07867,Woody Austin,256,152,104
133,0,12760,Danny Ellis,257,87,170
133,0,01388,Robert Gamez,257,126,131
133,0,08339,Spike McRoy,257,169,88
136,0,06431,Jean Van de Velde,258,104,154
137,0,21007,Gabriel Hjertstedt,259,87,172
137,0,06090,Jim McGovern,259,141,118
139,0,06315,Pete Jordan,260,125,135
140,0,06078,Esteban Toledo,262,139,123
141,0,12680,Shigeki Maruyama,263,156,107
141,0,02218,Ted Tryba,263,149,114
143,0,01599,Steve Jones,265,163,102
144,0,12714,Chris Tidland,266,119,147
145,0,06373,José María Olazábal,269,185,84
145,0,10213,Dicky Pride,269,95,174
147,0,06515,Shaun Micheel,272,144,128
148,0,06012,Greg Kraft,273,179,94
149,0,02010,Loren Roberts,274,158,116
150,0,01024,Billy Andrade,276,131,145
150,0,01823,Larry Mize,276,126,150
152,0,06514,Kevin Johnson,280,128,152
152,0,01887,Mark O'Meara,280,190,90
154,0,12705,Cliff Kresge,281,139,142
155,0,01093,Ronnie Black,284,162,122
