RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF CUTS
1,0,30911,Tommy Fleetwood,18
2,0,36689,Brooks Koepka,15
3,0,29221,Webb Simpson,13
4,0,40098,Matt Fitzpatrick,12
4,0,21528,Henrik Stenson,12
6,0,34360,Patrick Reed,10
6,0,22405,Justin Rose,10
6,0,23325,Vaughn Taylor,10
9,0,35450,Patrick Cantlay,9
9,0,34363,Tyrrell Hatton,9
9,0,29478,Kevin Kisner,9
9,0,50525,Collin Morikawa,9
9,0,26329,Louis Oosthuizen,9
9,0,34256,Andrew Putnam,9
15,0,10809,Jim Furyk,8
15,0,46717,Viktor Hovland,8
17,0,25364,Paul Casey,7
17,0,51766,Wyndham Clark,7
17,0,25900,Lucas Glover,7
17,0,25198,Francesco Molinari,7
17,0,39113,Shubhankar Sharma,7
17,0,30110,Kyle Stanley,7
17,0,32139,Danny Willett,7
24,0,29725,Tony Finau,6
24,0,30944,Jason Kokrak,6
24,0,33204,Shane Lowry,6
24,0,48822,Sebastián Muñoz,6
24,0,46970,Jon Rahm,6
24,0,33486,Roger Sloan,6
24,0,33418,Shawn Stefani,6
24,0,33448,Justin Thomas,6
24,0,40006,Erik van Rooyen,6
33,0,33948,Byeong Hun An,5
33,0,32200,Roberto Castro,5
33,0,34021,Bud Cauley,5
33,0,39997,Corey Conners,5
33,0,24924,Bill Haas,5
33,0,27141,J.B. Holmes,5
33,0,39977,Max Homa,5
33,0,30925,Dustin Johnson,5
33,0,28300,Joost Luiten,5
33,0,32797,Sanghyun Park,5
33,0,25818,Scott Piercy,5
33,0,26476,Chez Reavie,5
33,0,27649,Brandt Snedeker,5
33,0,34046,Jordan Spieth,5
33,0,26951,Johnson Wagner,5
33,0,47128,Richy Werenski,5
33,0,49964,Aaron Wise,5
33,0,56278,Matthew Wolff,5
51,0,40026,Daniel Berger,4
51,0,47959,Bryson DeChambeau,4
51,0,35421,Brandon Harkins,4
51,0,34098,Russell Henley,4
51,0,29420,Billy Horschel,4
51,0,39971,Sungjae Im,4
51,0,31420,Anirban Lahiri,4
51,0,28237,Rory McIlroy,4
51,0,49771,J.T. Poston,4
51,0,28252,Seamus Power,4
51,0,35732,Wes Roach,4
51,0,23621,Rory Sabbatini,4
51,0,24502,Adam Scott,4
51,0,27330,Josh Teater,4
51,0,37189,Harold Varner III,4
51,0,48887,Matt Wallace,4
51,0,31323,Gary Woodland,4
68,0,45526,Abraham Ancer,3
68,0,30978,Kiradech Aphibarnrat,3
68,0,20098,Stuart Appleby,3
68,0,19803,Ryan Armour,3
68,0,33141,Keegan Bradley,3
68,0,32366,Kevin Chappell,3
68,0,34306,John Chin,3
68,0,46435,Austin Cook,3
68,0,34076,Joel Dahmen,3
68,0,34099,Harris English,3
68,0,29974,Branden Grace,3
68,0,35532,Tom Hoge,3
68,0,29222,Billy Hurley III,3
68,0,36514,Yuki Inamori,3
68,0,47990,Kyle Jones,3
68,0,37455,Si Woo Kim,3
68,0,50526,Tom Lovelady,3
68,0,32839,Hideki Matsuyama,3
68,0,01810,Phil Mickelson,3
68,0,39546,Keith Mitchell,3
68,0,26596,Ryan Moore,3
68,0,45486,Joaquin Niemann,3
68,0,27349,Alex Noren,3
68,0,23320,Ryan Palmer,3
68,0,29908,C.T. Pan,3
68,0,27556,Ted Potter Jr.,3
68,0,24138,Ian Poulter,3
68,0,30927,Brendon Todd,3
68,0,29484,Peter Uihlein,3
97,0,28697,Gaganjeet Bhullar,2
97,0,29479,Scott Brown,2
97,0,26499,Rafa Cabrera Bello,2
97,0,20472,Alex Cejka,2
97,0,52372,Cameron Champ,2
97,0,55648,Minchel Choi,2
97,0,28937,George Coetzee,2
97,0,35376,Roberto Díaz,2
97,0,45609,Tyler Duncan,2
97,0,32102,Rickie Fowler,2
97,0,29970,Dylan Frittelli,2
97,0,30750,Tommy Gainey,2
97,0,28679,Fabián Gómez,2
97,0,34563,Chesson Hadley,2
97,0,33399,Adam Hadwin,2
97,0,28938,Justin Harding,2
97,0,27644,Brian Harman,2
97,0,26758,David Hearn,2
97,0,31557,Jim Herman,2
97,0,21961,Charles Howell III,2
97,0,35506,Mackenzie Hughes,2
97,0,21731,Freddie Jacobson,2
97,0,32369,Sihwan Kim,2
97,0,23108,Matt Kuchar,2
97,0,33410,Andrew Landry,2
97,0,49481,Tae Hee Lee,2
97,0,26851,Marc Leishman,2
97,0,55421,Chip McDaniel,2
97,0,24490,George McNeill,2
97,0,32640,Troy Merritt,2
97,0,25396,Kevin Na,2
97,0,33968,Thorbjørn Olesen,2
97,0,33667,Carlos Ortiz,2
97,0,34709,Eddie Pepperell,2
97,0,46414,Aaron Rai,2
97,0,48081,Xander Schauffele,2
97,0,31560,Brian Stuard,2
97,0,40115,Adam Svensson,2
97,0,23788,D.J. Trahan,2
97,0,32333,Kevin Tway,2
97,0,28132,Tyrone Van Aswegen,2
97,0,34126,Scott Vincent,2
97,0,26289,Boo Weekley,2
97,0,29454,Bernd Wiesberger,2
