RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
1,0,29926,Danny Lee,385,788,48.9
2,0,33448,Justin Thomas,377,713,52.9
3,0,25345,Carl Pettersson,374,733,51.0
4,0,25274,Steven Bowditch,363,681,53.3
5,0,29478,Kevin Kisner,352,676,52.1
6,0,23638,Brendon de Jonge,348,655,53.1
7,0,31202,William McGirt,342,680,50.3
8,0,29479,Scott Brown,340,602,56.5
9,0,34563,Chesson Hadley,332,673,49.3
10,0,29725,Tony Finau,325,633,51.3
11,0,28259,Sangmoon Bae,322,671,48.0
12,0,23108,Matt Kuchar,321,600,53.5
13,0,34431,Robert Streb,320,686,46.6
13,0,30927,Brendon Todd,320,600,53.3
15,0,40058,Zac Blair,317,636,49.8
16,0,33419,Cameron Tringale,314,594,52.9
17,0,25834,Daniel Summerhays,311,659,47.2
18,0,12510,Chad Campbell,310,603,51.4
18,0,24490,George McNeill,310,645,48.1
18,0,24140,Sean O'Hair,310,589,52.6
18,0,34360,Patrick Reed,310,612,50.7
22,0,32640,Troy Merritt,308,604,51.0
23,0,21961,Charles Howell III,305,619,49.3
24,0,24507,Jason Bohn,302,627,48.2
25,0,25396,Kevin Na,300,555,54.1
26,0,34099,Harris English,299,644,46.4
26,0,34174,John Huh,299,643,46.5
28,0,25818,Scott Piercy,296,598,49.5
29,0,24494,Erik Compton,294,535,55.0
30,0,40026,Daniel Berger,292,571,51.1
31,0,20472,Alex Cejka,291,554,52.5
32,0,32366,Kevin Chappell,290,567,51.1
33,0,32448,James Hahn,286,566,50.5
33,0,27649,Brandt Snedeker,286,587,48.7
35,0,33418,Shawn Stefani,285,602,47.3
36,0,33461,Morgan Hoffmann,284,526,54.0
37,0,33667,Carlos Ortiz,283,578,49.0
38,0,24361,Pat Perez,281,591,47.5
39,0,31560,Brian Stuard,280,575,48.7
40,0,27644,Brian Harman,278,559,49.7
41,0,27141,J.B. Holmes,277,522,53.1
41,0,30852,Ryo Ishikawa,277,540,51.3
41,0,30944,Jason Kokrak,277,548,50.5
41,0,25493,Nick Taylor,277,604,45.9
41,0,27095,Nick Watney,277,545,50.8
46,0,20104,Ken Duke,276,554,49.8
46,0,12716,Charley Hoffman,276,557,49.6
48,0,26758,David Hearn,275,608,45.2
48,0,34409,David Lingmerth,275,557,49.4
50,0,29476,Kyle Reifers,274,570,48.1
51,0,06567,Vijay Singh,273,487,56.1
51,0,34264,Hudson Swafford,273,567,48.1
53,0,34261,Scott Langley,272,545,49.9
53,0,32839,Hideki Matsuyama,272,534,50.9
55,0,35541,John Peterson,271,506,53.6
56,0,28500,Martin Flores,269,511,52.6
56,0,33399,Adam Hadwin,269,558,48.2
58,0,27466,Spencer Levin,268,538,49.8
59,0,23800,Bryce Molder,267,565,47.3
