RANK,MOVEMENT,PLAYER_ID,PLAYER,RTP SCORE
1,0,08793,Tiger Woods,-.188
2,0,01226,Fred Couples,-.025
2,0,20691,Greg Owen,-.025
4,0,28475,Jeff Overton,-.006
4,0,27770,Camilo Villegas,-.006
6,0,20098,Stuart Appleby,E
6,0,21961,Charles Howell III,E
8,0,12602,Dean Wilson,+.005
9,0,25804,Bubba Watson,+.006
10,0,06567,Vijay Singh,+.017
11,0,06522,Ernie Els,+.018
12,0,23307,Roger Tambellini,+.021
13,0,01042,Paul Azinger,+.023
13,0,06527,Steve Stricker,+.023
15,0,12660,Jesper Parnevik,+.026
16,0,20498,Briny Baird,+.029
17,0,06350,Bob May,+.030
17,0,22293,Heath Slocum,+.030
19,0,01313,Steve Elkington,+.031
20,0,08375,Paul Stankowski,+.033
21,0,25936,Alex Aragon,+.034
21,0,07749,Brett Quigley,+.034
23,0,06573,Brandt Jobe,+.035
24,0,01941,Tom Pernice Jr.,+.036
25,0,27095,Nick Watney,+.037
26,0,23322,Brett Wetterich,+.038
27,0,01766,Billy Mayfair,+.040
28,0,27141,J.B. Holmes,+.044
29,0,20850,Daniel Chopra,+.045
30,0,24924,Bill Haas,+.046
31,0,27120,Troy Matteson,+.047
32,0,22378,Trevor Immelman,+.048
33,0,02206,David Toms,+.051
34,0,23718,Nathan Green,+.052
34,0,08385,Omar Uresti,+.052
36,0,11032,Frank Lickliter II,+.054
37,0,20766,Padraig Harrington,+.060
38,0,20127,Chris Riley,+.063
39,0,12755,Vance Veazey,+.064
40,0,22405,Justin Rose,+.065
41,0,23349,Charles Warren,+.066
42,0,22621,Ben Curtis,+.072
43,0,12680,Shigeki Maruyama,+.073
44,0,06643,Paul Goydos,+.074
45,0,24361,Pat Perez,+.075
46,0,10885,Robert Allenby,+.076
47,0,21646,David Branshaw,+.078
47,0,26360,Bubba Dickerson,+.078
47,0,01320,Bob Estes,+.078
50,0,21805,Harrison Frazar,+.079
51,0,06034,Marco Dawson,+.082
51,0,27943,Matt Hansen,+.082
53,0,07867,Woody Austin,+.083
54,0,24925,Jonathan Byrd,+.084
54,0,01887,Mark O'Meara,+.084
54,0,25345,Carl Pettersson,+.084
57,0,21753,Brian Davis,+.085
57,0,11011,Mike Sposa,+.085
59,0,21350,Ryuji Imada,+.086
60,0,06197,Michael Allen,+.088
61,0,23048,Eric Axley,+.091
61,0,20572,Rod Pampling,+.091
63,0,23614,Rich Beem,+.092
64,0,12760,Danny Ellis,+.093
64,0,20378,Mathias Grönberg,+.093
64,0,22046,Geoff Ogilvy,+.093
67,0,08835,Kris Cox,+.094
68,0,01619,Skip Kendall,+.095
69,0,23409,James Driscoll,+.097
70,0,12716,Charley Hoffman,+.098
71,0,08075,Jerry Kelly,+.099
71,0,01666,Bernhard Langer,+.099
71,0,20645,John Senden,+.099
74,0,01035,Tommy Armour III,+.100
75,0,20105,Jeff Gove,+.101
75,0,01810,Phil Mickelson,+.101
77,0,01948,Tim Petrovic,+.105
78,0,20631,David McKenzie,+.106
79,0,24781,Hunter Mahan,+.109
80,0,21949,Joe Ogilvie,+.110
80,0,21959,Ted Purdy,+.110
82,0,23623,Bo Van Pelt,+.111
83,0,10809,Jim Furyk,+.112
84,0,22371,Aaron Baddeley,+.113
85,0,24507,Jason Bohn,+.115
86,0,01706,Davis Love III,+.118
86,0,20628,Arron Oberholser,+.118
88,0,20472,Alex Cejka,+.119
88,0,20121,Todd Fischer,+.119
90,0,22946,Henrik Bjornstad,+.120
91,0,01677,Tom Lehman,+.122
92,0,01329,Brad Faxon,+.124
92,0,23621,Rory Sabbatini,+.124
94,0,24357,K.J. Choi,+.125
94,0,25632,Jimmy Walker,+.125
96,0,23320,Ryan Palmer,+.127
97,0,24140,Sean O'Hair,+.128
98,0,01024,Billy Andrade,+.129
98,0,02223,Bob Tway,+.129
100,0,23325,Vaughn Taylor,+.130
101,0,08123,Jeff Brehaut,+.133
101,0,01142,Bart Bryant,+.133
103,0,01161,Mark Calcavecchia,+.134
103,0,20094,Jonathan Kaye,+.134
105,0,10505,Shane Bertsch,+.136
105,0,20229,Stewart Cink,+.136
105,0,06515,Shaun Micheel,+.136
108,0,08537,J.P. Hayes,+.137
109,0,10423,Mike Weir,+.138
110,0,06595,Kevin Sutherland,+.139
111,0,23983,Luke Donald,+.141
112,0,20157,Retief Goosen,+.143
