RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,27129,Luke List,3,57
1,0,47995,Davis Riley,3,37
3,0,39436,Joshua Creel,2,19
3,0,34076,Joel Dahmen,2,40
3,0,25900,Lucas Glover,2,58
3,0,27974,Sung Kang,2,40
3,0,23108,Matt Kuchar,2,24
3,0,34466,Peter Malnati,2,36
3,0,29221,Webb Simpson,2,26
3,0,34264,Hudson Swafford,2,31
3,0,25493,Nick Taylor,2,43
3,0,32150,Michael Thompson,2,35
3,0,27770,Camilo Villegas,2,20
14,0,34255,Joseph Bramlett,1,45
14,0,24925,Jonathan Byrd,1,17
14,0,39997,Corey Conners,1,33
14,0,32102,Rickie Fowler,1,21
14,0,46550,Brandon Hagy,1,44
14,0,34098,Russell Henley,1,31
14,0,39058,Lucas Herbert,1,11
14,0,49298,Kramer Hickok,1,47
14,0,54628,Lee Hodges,1,52
14,0,12716,Charley Hoffman,1,27
14,0,36801,Mark Hubbard,1,21
14,0,34174,John Huh,1,30
14,0,37455,Si Woo Kim,1,42
14,0,29478,Kevin Kisner,1,27
14,0,36884,Ben Kohles,1,22
14,0,28775,Nate Lashley,1,24
14,0,29926,Danny Lee,1,21
14,0,40162,Justin Lower,1,26
14,0,32839,Hideki Matsuyama,1,24
14,0,28237,Rory McIlroy,1,28
14,0,46601,Trey Mullinax,1,27
14,0,29908,C.T. Pan,1,37
14,0,49771,J.T. Poston,1,36
14,0,34256,Andrew Putnam,1,41
14,0,46414,Aaron Rai,1,31
14,0,26476,Chez Reavie,1,42
14,0,47856,Seth Reeves,1,29
14,0,36699,Patrick Rodgers,1,33
14,0,34610,Matthias Schwab,1,26
14,0,33486,Roger Sloan,1,37
14,0,34046,Jordan Spieth,1,31
14,0,33448,Justin Thomas,1,23
14,0,37189,Harold Varner III,1,27
14,0,27095,Nick Watney,1,48
14,0,45540,Jared Wolfe,1,29
