RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
1,0,33486,Roger Sloan,163.4,1223448,208
2,0,23108,Matt Kuchar,168.8,1421819,234
3,1,32757,Patton Kizzire,170.0,1431995,234
4,1,34076,Joel Dahmen,170.8,1709469,278
5,-2,50497,Adrien Dumont de Chassart,170.9,1224467,199
6,0,39327,Ben Silverman,171.8,1718971,278
7,1,30927,Brendon Todd,172.0,2068296,334
8,1,27770,Camilo Villegas,172.8,920882,148
9,1,40058,Zac Blair,173.6,1593211,255
10,1,30926,Chris Kirk,173.7,1725982,276
11,-5,55789,Taylor Montgomery,173.8,1107439,177
12,2,29478,Kevin Kisner,174.1,977791,156
13,2,24024,Zach Johnson,174.3,1072751,171
14,2,59836,Pierceson Coody,174.4,1625890,259
15,-3,52513,Carson Young,174.6,1941782,309
16,-4,47993,Denny McCarthy,175.0,2003694,318
16,1,46113,Ryan McCormick,175.0,1140136,181
18,2,22371,Aaron Baddeley,175.6,1264574,200
19,2,40162,Justin Lower,175.8,2126191,336
19,2,27649,Brandt Snedeker,175.8,1151984,182
21,2,27139,David Skinns,175.9,1633787,258
21,2,27214,Kevin Streelman,175.9,1393023,220
23,2,45522,Christiaan Bezuidenhout,176.2,1706116,269
23,-6,57900,Chandler Phillips,176.2,2042684,322
25,2,34466,Peter Malnati,176.7,1469705,231
26,2,50493,Justin Suh,177.2,1588818,249
27,2,47679,Victor Perez,177.4,1398983,219
28,3,34098,Russell Henley,177.6,1649891,258
29,3,36871,Matt NeSmith,177.8,1357119,212
29,3,27330,Josh Teater,177.8,799995,125
31,3,32791,K.H. Lee,177.9,1690934,264
32,-13,51894,Vince Whaley,178.2,1398768,218
33,5,25900,Lucas Glover,178.3,2053576,320
33,5,25493,Nick Taylor,178.3,1861826,290
35,-9,49771,J.T. Poston,178.4,2048747,319
36,4,36884,Ben Kohles,178.5,1734597,270
37,6,59143,Mac Meissner,178.7,1691789,263
37,6,26476,Chez Reavie,178.7,1338123,208
39,-10,47420,Jake Knapp,178.8,1789246,278
39,6,49960,Sepp Straka,178.8,1647891,256
41,5,35617,Martin Trainer,178.9,914602,142
42,5,12716,Charley Hoffman,179.0,1643208,255
43,5,48084,Wesley Bryan,179.2,922276,143
44,-3,39975,Michael Kim,179.3,1690966,262
45,-4,52374,Brandon Wu,179.4,1446436,224
46,-10,27936,Martin Laird,179.5,1441257,223
47,-13,54576,Patrick Fishburn,179.6,1454592,225
48,3,60767,Blaine Hale Jr.,179.8,893042,138
48,-12,46442,Maverick McNealy,179.8,2187717,338
48,3,55454,Carl Yuan,179.8,1294357,200
51,2,33204,Shane Lowry,179.9,1573884,243
52,2,55708,Hayden Buckley,180.0,1380296,213
52,2,54783,Dylan Wu,180.0,1794743,277
54,3,47504,Sam Burns,180.1,1938494,299
55,-5,27644,Brian Harman,180.2,2095487,323
56,3,54421,Garrick Higgo,180.3,1518763,234
57,-8,34021,Bud Cauley,180.5,1247475,192
57,4,57366,Cameron Young,180.5,1969372,303
59,3,34256,Andrew Putnam,180.6,1866360,287
60,4,33141,Keegan Bradley,180.7,1854353,285
60,4,51766,Wyndham Clark,180.7,1834878,282
62,-8,35310,Lanto Griffin,180.8,1549084,238
62,4,57975,Harry Hall,180.8,2076835,319
64,3,57362,Austin Eckroat,180.9,1980045,304
64,3,48153,Matthieu Pavon,180.9,1302190,200
66,3,52514,Trace Crowe,181.1,1499896,230
66,3,51977,Max Greyserman,181.1,1760181,270
66,3,39324,J.J. Spaun,181.1,1969014,302
69,-7,33399,Adam Hadwin,181.2,1878824,288
69,3,22405,Justin Rose,181.2,1317557,202
71,-14,46441,Robby Shelton,181.5,1660057,254
72,1,28775,Nate Lashley,181.6,1542825,236
73,1,56630,Akshay Bhatia,181.8,2100472,321
73,1,47983,Chad Ramey,181.8,1733917,265
75,1,47995,Davis Riley,182.0,1860273,284
76,-16,32640,Troy Merritt,182.1,1501158,229
77,0,35532,Tom Hoge,182.2,2570587,392
77,0,46717,Viktor Hovland,182.2,1554196,237
79,0,51696,Rico Hoey,182.3,1857512,283
80,2,60004,Jacob Bridgeman,182.5,1734942,264
80,2,50484,Hayden Springer,182.5,1563306,238
82,3,37212,Paul Barjon,182.7,1052457,160
82,3,33653,Thomas Detry,182.7,1696988,258
84,4,59095,Chris Gotterup,182.9,1672467,254
84,4,46046,Scottie Scheffler,182.9,2074288,315
86,4,29936,Ryan Fox,183.0,1890518,287
87,-6,51349,Nico Echavarria,183.1,1871672,284
87,4,47988,Nick Hardy,183.1,1997226,303
87,4,40006,Erik van Rooyen,183.1,2004248,304
90,3,33948,Byeong Hun An,183.2,1912326,290
90,3,32333,Kevin Tway,183.2,1134492,172
92,3,32839,Hideki Matsuyama,183.3,1840726,279
93,4,31646,Emiliano Grillo,183.4,1901102,288
