RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
127,0,27214,Kevin Streelman,30.29%,255,842
129,0,54576,Patrick Fishburn,30.26%,282,932
130,0,60767,Blaine Hale Jr.,30.21%,184,609
130,0,48153,Matthieu Pavon,30.21%,226,748
132,0,50497,Adrien Dumont de Chassart,30.07%,264,878
132,0,24024,Zach Johnson,30.07%,172,572
134,0,31646,Emiliano Grillo,29.95%,301,1005
135,0,56149,Wilson Furr,29.94%,203,678
136,0,46414,Aaron Rai,29.90%,331,1107
137,0,51287,Ryo Hisatsune,29.89%,318,1064
137,0,36326,David Lipsky,29.89%,252,843
139,0,52375,Doug Ghim,29.82%,354,1187
140,0,29535,Brice Garnett,29.79%,182,611
141,0,32333,Kevin Tway,29.78%,226,759
142,0,27349,Alex Noren,29.75%,252,847
142,0,29908,C.T. Pan,29.75%,213,716
144,0,34466,Peter Malnati,29.71%,246,828
145,0,39327,Ben Silverman,29.69%,291,980
146,0,36884,Ben Kohles,29.47%,315,1069
147,0,49960,Sepp Straka,29.44%,275,934
148,0,52453,Nicolai Højgaard,29.34%,196,668
149,0,22371,Aaron Baddeley,29.28%,243,830
150,0,45242,Kevin Yu,29.26%,275,940
151,0,34076,Joel Dahmen,29.25%,332,1135
152,0,30911,Tommy Fleetwood,29.22%,251,859
153,0,48699,Callum Tarren,29.19%,244,836
154,0,34256,Andrew Putnam,29.18%,286,980
155,0,47663,Kevin Dougherty,29.02%,222,765
156,0,40115,Adam Svensson,28.91%,375,1297
157,0,27139,David Skinns,28.88%,298,1032
158,0,27649,Brandt Snedeker,28.87%,192,665
159,0,52372,Cameron Champ,28.76%,201,699
160,0,34374,Erik Barnes,28.71%,172,599
161,0,23108,Matt Kuchar,28.62%,249,870
162,0,55708,Hayden Buckley,28.61%,240,839
163,0,47679,Victor Perez,28.59%,253,885
164,0,35617,Martin Trainer,28.55%,159,557
165,0,23320,Ryan Palmer,28.36%,135,476
166,0,54628,Lee Hodges,28.23%,315,1116
166,0,26596,Ryan Moore,28.23%,251,889
168,0,48119,Ben Taylor,28.15%,199,707
169,0,50095,Austin Smotherman,28.12%,196,697
170,0,28775,Nate Lashley,28.09%,261,929
171,0,40058,Zac Blair,27.89%,273,979
172,0,59442,Parker Coody,27.83%,182,654
173,0,28420,Ryan Brehm,27.81%,198,712
174,0,27770,Camilo Villegas,27.79%,189,680
175,0,34021,Bud Cauley,27.74%,190,685
176,0,26476,Chez Reavie,27.69%,234,845
177,0,27330,Josh Teater,27.66%,177,640
178,0,47483,Will Zalatoris,27.52%,213,774
179,0,29478,Kevin Kisner,27.44%,166,605
180,0,47806,Raul Pereda,27.33%,132,483
181,0,45609,Tyler Duncan,26.77%,227,848
182,0,51890,Greyson Sigg,25.79%,252,977
183,0,36871,Matt NeSmith,25.71%,235,914
184,0,51070,Vincent Norrman,23.75%,143,602
