RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,06142,Mitch Adcock,66.94,83,124,+38.00
2,0,01378,David Frost,65.19,88,135,+43.00
3,0,01353,Bruce Fleisher,64.71,99,153,+29.00
4,0,01724,Jeff Maggert,64.43,96,149,+24.00
5,0,01414,Bob Gilder,63.69,114,179,+21.00
6,0,02010,Loren Roberts,63.06,99,157,+43.00
7,0,06284,Jim Hallet,62.84,93,148,+31.00
8,0,01495,Morris Hatalsky,61.42,78,127,+48.00
9,0,01329,Brad Faxon,60.87,84,138,+30.00
10,0,01132,Mark Brooks,60.38,96,159,+36.00
11,0,01129,Bill Britton,60.00,84,140,+38.00
11,0,01443,Hubert Green,60.00,51,85,+34.00
11,0,02063,Dave Schreyer,60.00,60,100,+33.00
14,0,01823,Larry Mize,59.86,88,147,+33.00
15,0,01072,Chip Beck,59.44,85,143,+27.00
16,0,01355,Raymond Floyd,59.09,52,88,+18.00
16,0,01960,Don Pooley,59.09,52,88,+27.00
18,0,02167,Mike Sullivan,59.06,75,127,+48.00
19,0,01098,Jay Don Blake,58.78,77,131,+25.00
20,0,02223,Bob Tway,58.62,68,116,+35.00
21,0,01390,Buddy Gardner,58.58,99,169,+48.00
22,0,01557,John Inman,58.48,100,171,+60.00
23,0,01444,Ken Green,58.44,90,154,+45.00
24,0,01968,Nick Price,58.43,97,166,+40.00
25,0,02321,Fuzzy Zoeller,58.24,53,91,+26.00
26,0,01235,Ben Crenshaw,58.11,86,148,+53.00
26,0,01510,Nolan Henke,58.11,86,148,+35.00
26,0,01527,Scott Hoch,58.11,43,74,+24.00
29,0,01323,Brad Fabel,57.93,95,164,+36.00
30,0,02049,Gene Sauers,57.81,74,128,+30.00
31,0,01226,Fred Couples,57.76,67,116,+17.00
32,0,02311,Kim Young,57.72,71,123,+38.00
33,0,01766,Billy Mayfair,57.58,95,165,+28.00
34,0,01408,Kelly Gibson,57.53,84,146,+31.00
35,0,01161,Mark Calcavecchia,57.52,88,153,+37.00
36,0,01633,Tom Kite,57.43,85,148,+30.00
37,0,01093,Ronnie Black,57.32,94,164,+46.00
38,0,02230,Stan Utley,57.14,100,175,+75.00
39,0,01736,Roger Maltbie,56.93,78,137,+38.00
40,0,06012,Greg Kraft,56.82,75,132,+51.00
41,0,01200,Keith Clearwater,56.80,96,169,+44.00
42,0,02104,Jeff Sluman,56.49,87,154,+39.00
43,0,01376,Bob Friend,56.25,81,144,+44.00
44,0,02135,Mike Standly,56.15,105,187,+52.00
45,0,02292,Bob Wolcott,56.04,116,207,+51.00
46,0,02033,Dave Rummells,55.92,85,152,+44.00
47,0,01938,David Peoples,55.75,63,113,+40.00
48,0,01288,Ed Dougherty,55.74,102,183,+56.00
49,0,06090,Jim McGovern,55.68,103,185,+52.00
50,0,02007,Larry Rinker,55.48,81,146,+53.00
51,0,01331,Rick Fehr,55.47,76,137,+32.00
52,0,01771,Blaine McCallister,55.43,102,184,+56.00
53,0,06383,E.J. Pfister,55.14,59,107,+39.00
54,0,01133,Billy Ray Brown,55.08,65,118,+35.00
55,0,01876,Greg Norman,54.81,57,104,+23.00
56,0,01577,Lee Janzen,54.75,98,179,+51.00
57,0,02146,Payne Stewart,54.73,81,148,+29.00
58,0,01928,Corey Pavin,54.48,79,145,+42.00
59,0,01946,Peter Persons,54.38,87,160,+57.00
60,0,01457,Jay Haas,54.36,81,149,+38.00
61,0,01024,Billy Andrade,54.29,76,140,+44.00
62,0,02267,D.A. Weibring,54.24,64,118,+38.00
63,0,06040,John Ross,54.23,77,142,+47.00
64,0,06010,Brad Bell,53.85,42,78,+23.00
64,0,01306,David Edwards,53.85,77,143,+45.00
66,0,01975,Tom Purtzer,53.69,80,149,+33.00
67,0,02094,Tony Sills,53.57,60,112,+57.00
67,0,02226,Tray Tyner,53.57,60,112,+35.00
69,0,01014,Fulton Allem,53.55,98,183,+57.00
70,0,01261,Jay Delsing,53.42,86,161,+43.00
71,0,01346,Ed Fiori,53.07,95,179,+69.00
