RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,24502,Adam Scott,66.00,66,1
2,0,28237,Rory McIlroy,66.50,133,2
3,0,34046,Jordan Spieth,67.00,67,1
4,0,34360,Patrick Reed,67.86,475,7
5,0,25804,Bubba Watson,68.00,272,4
6,0,28089,Jason Day,68.67,206,3
6,0,27408,Martin Kaymer,68.67,412,6
8,0,21209,Sergio Garcia,68.75,275,4
9,0,29740,Brad Fritsch,68.88,551,8
10,0,08075,Jerry Kelly,69.00,828,12
10,0,32839,Hideki Matsuyama,69.00,552,8
10,0,22405,Justin Rose,69.00,207,3
13,0,27649,Brandt Snedeker,69.14,484,7
14,0,23320,Ryan Palmer,69.15,899,13
15,0,26596,Ryan Moore,69.17,830,12
15,0,25396,Kevin Na,69.17,1245,18
17,0,26331,Charl Schwartzel,69.22,623,9
18,0,33141,Keegan Bradley,69.25,554,8
19,0,21528,Henrik Stenson,69.29,485,7
20,0,23638,Brendon de Jonge,69.30,1386,20
21,0,12510,Chad Campbell,69.33,624,9
21,0,24924,Bill Haas,69.33,832,12
23,0,32448,James Hahn,69.40,1041,15
24,0,22293,Heath Slocum,69.59,1183,17
25,0,29420,Billy Horschel,69.64,975,14
26,0,25632,Jimmy Walker,69.75,279,4
27,0,33461,Morgan Hoffmann,69.77,907,13
28,0,29425,Andrew Svoboda,69.79,977,14
29,0,30927,Brendon Todd,69.81,1117,16
30,0,27644,Brian Harman,69.89,1258,18
31,0,22378,Trevor Immelman,69.90,699,10
31,0,33418,Shawn Stefani,69.90,699,10
33,0,32366,Kevin Chappell,69.93,979,14
34,0,25686,Jason Dufner,70.00,280,4
34,0,24024,Zach Johnson,70.00,280,4
34,0,23108,Matt Kuchar,70.00,70,1
34,0,26851,Marc Leishman,70.00,1120,16
34,0,27770,Camilo Villegas,70.00,1260,18
39,0,29289,S.Y. Noh,70.06,1261,18
40,0,24490,George McNeill,70.08,841,12
40,0,26289,Boo Weekley,70.08,841,12
42,0,25834,Daniel Summerhays,70.13,1122,16
43,0,21961,Charles Howell III,70.15,1824,26
44,0,24846,Ricky Barnes,70.17,1263,18
45,0,34099,Harris English,70.25,562,8
46,0,21731,Freddie Jacobson,70.27,1054,15
47,0,24358,Robert Garrigus,70.29,984,14
47,0,33122,Russell Knox,70.29,984,14
47,0,30944,Jason Kokrak,70.29,984,14
50,0,25345,Carl Pettersson,70.30,1406,20
51,0,10809,Jim Furyk,70.33,211,3
52,0,20645,John Senden,70.35,1196,17
53,0,34261,Scott Langley,70.38,1126,16
54,0,12716,Charley Hoffman,70.43,1479,21
55,0,28307,Matt Every,70.45,1409,20
55,0,32640,Troy Merritt,70.45,775,11
57,0,26679,Kevin Stadler,70.47,1198,17
57,0,20160,Charlie Wi,70.47,1057,15
59,0,20848,Ángel Cabrera,70.50,564,8
59,0,23135,Tim Clark,70.50,1269,18
59,0,27963,Chris Stroud,70.50,846,12
62,0,25444,Justin Hicks,70.52,1622,23
63,0,29479,Scott Brown,70.54,1834,26
64,0,24507,Jason Bohn,70.60,1059,15
65,0,29478,Kevin Kisner,70.61,1624,23
66,0,31323,Gary Woodland,70.64,989,14
67,0,23623,Bo Van Pelt,70.67,1272,18
68,0,23800,Bryce Molder,70.70,707,10
69,0,07867,Woody Austin,70.73,1061,15
69,0,24140,Sean O'Hair,70.73,1061,15
71,0,27330,Josh Teater,70.74,1344,19
72,0,29535,Brice Garnett,70.75,1415,20
72,0,24781,Hunter Mahan,70.75,1132,16
74,0,10860,Justin Leonard,70.77,920,13
75,0,26951,Johnson Wagner,70.79,991,14
76,0,29461,Jamie Lovemark,70.80,708,10
77,0,25349,Tim Wilkinson,70.81,1133,16
78,0,31557,Jim Herman,70.82,779,11
79,0,24663,Y.E. Yang,70.84,1346,19
80,0,24925,Jonathan Byrd,70.85,921,13
81,0,28486,Michael Putnam,70.88,1134,16
82,0,32200,Roberto Castro,70.89,1347,19
82,0,27064,Jhonattan Vegas,70.89,1276,18
84,0,27436,Graham DeLaet,70.92,922,13
84,0,27556,Ted Potter Jr.,70.92,851,12
86,0,35539,Luke Guthrie,70.93,1064,15
86,0,33413,Ben Martin,70.93,1064,15
88,0,10885,Robert Allenby,70.94,1206,17
89,0,34174,John Huh,70.95,1348,19
89,0,31560,Brian Stuard,70.95,1348,19
91,0,20498,Briny Baird,71.00,426,6
91,0,23541,Ben Crane,71.00,1136,16
91,0,23409,James Driscoll,71.00,1065,15
91,0,29926,Danny Lee,71.00,1278,18
91,0,01706,Davis Love III,71.00,639,9
91,0,27933,John Merrick,71.00,1207,17
91,0,31193,Jim Renner,71.00,852,12
91,0,28132,Tyrone Van Aswegen,71.00,1278,18
99,0,20098,Stuart Appleby,71.05,1421,20
100,0,28475,Jeff Overton,71.07,1066,15
101,0,34021,Bud Cauley,71.08,853,12
101,0,35732,Wes Roach,71.08,853,12
103,0,31202,William McGirt,71.13,1067,15
103,0,29221,Webb Simpson,71.13,569,8
105,0,34431,Robert Streb,71.15,925,13
106,0,26300,Matt Jones,71.16,1352,19
107,0,01810,Phil Mickelson,71.20,356,5
108,0,25364,Paul Casey,71.22,641,9
109,0,29518,Brendan Steele,71.25,855,12
110,0,01724,Jeff Maggert,71.27,784,11
111,0,26758,David Hearn,71.29,1212,17
111,0,33419,Cameron Tringale,71.29,1212,17
113,0,25562,Andres Romero,71.31,927,13
113,0,21878,Mark Wilson,71.31,927,13
115,0,23983,Luke Donald,71.33,428,6
115,0,30926,Chris Kirk,71.33,1284,18
117,0,26956,Bronson La'Cassie,71.38,928,13
118,0,27466,Spencer Levin,71.40,714,10
118,0,25572,Graeme McDowell,71.40,357,5
120,0,24912,Will MacKenzie,71.41,1571,22
121,0,21753,Brian Davis,71.43,2000,28
121,0,29222,Billy Hurley III,71.43,1000,14
123,0,20229,Stewart Cink,71.44,1143,16
124,0,20104,Ken Duke,71.47,1215,17
124,0,30110,Kyle Stanley,71.47,1215,17
126,0,24361,Pat Perez,71.50,1287,18
127,0,27095,Nick Watney,71.53,1359,19
128,0,25274,Steven Bowditch,71.54,1860,26
129,0,35300,Andrew Loupe,71.55,787,11
130,0,24138,Ian Poulter,71.57,501,7
131,0,20157,Retief Goosen,71.59,1217,17
132,0,06567,Vijay Singh,71.61,1289,18
133,0,24494,Erik Compton,71.62,931,13
133,0,06522,Ernie Els,71.62,931,13
133,0,22046,Geoff Ogilvy,71.62,1504,21
136,0,27936,Martin Laird,71.64,788,11
137,0,19846,Brian Gay,71.67,1075,15
138,0,28500,Martin Flores,71.73,1578,22
138,0,35541,John Peterson,71.73,1076,15
140,0,34563,Chesson Hadley,71.78,1292,18
141,0,32102,Rickie Fowler,71.80,359,5
142,0,27120,Troy Matteson,71.81,1149,16
