RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,10117,Bob Heintz,37.70,262,695
2,0,01810,Phil Mickelson,35.84,391,1091
3,0,01249,John Daly,35.00,224,640
4,0,09011,David Duval,34.77,290,834
5,0,24925,Jonathan Byrd,34.20,370,1082
6,0,23541,Ben Crane,34.07,341,1001
7,0,24361,Pat Perez,33.92,328,967
8,0,06527,Steve Stricker,33.84,223,659
9,0,01226,Fred Couples,33.76,235,696
10,0,02206,David Toms,33.66,415,1233
11,0,20098,Stuart Appleby,33.65,356,1058
12,0,08793,Tiger Woods,33.49,285,851
13,0,23800,Bryce Molder,33.47,241,720
14,0,01024,Billy Andrade,33.36,360,1079
15,0,22046,Geoff Ogilvy,33.23,328,987
16,0,02246,Duffy Waldorf,33.09,324,979
17,0,01161,Mark Calcavecchia,32.77,291,888
18,0,20157,Retief Goosen,32.74,202,617
19,0,01388,Robert Gamez,32.61,269,825
20,0,06251,Chris DiMarco,32.53,406,1248
21,0,20127,Chris Riley,32.47,364,1121
22,0,20593,Greg Chalmers,32.33,333,1030
23,0,20572,Rod Pampling,32.30,353,1093
24,0,24357,K.J. Choi,32.23,330,1024
25,0,01945,Kenny Perry,32.20,389,1208
26,0,08537,J.P. Hayes,32.15,281,874
27,0,10860,Justin Leonard,32.14,351,1092
28,0,21209,Sergio Garcia,32.06,252,786
28,0,10585,Scott McCarron,32.06,362,1129
30,0,01706,Davis Love III,31.98,315,985
31,0,02214,Kirk Triplett,31.95,300,939
32,0,21633,Steve Allan,31.91,345,1081
33,0,01577,Lee Janzen,31.85,359,1127
34,0,08375,Paul Stankowski,31.80,352,1107
35,0,06567,Vijay Singh,31.68,378,1193
36,0,23135,Tim Clark,31.52,267,847
37,0,23614,Rich Beem,31.49,359,1140
38,0,21961,Charles Howell III,31.41,436,1388
39,0,08881,Tripp Isenhour,31.38,251,800
40,0,12663,Phil Tataurangi,31.31,314,1003
41,0,01381,Fred Funk,31.29,424,1355
42,0,07457,Steve Flesch,31.27,394,1260
43,0,02239,Scott Verplank,31.21,334,1070
44,0,01685,J.L. Lewis,31.17,370,1187
45,0,21805,Harrison Frazar,31.15,318,1021
45,0,10423,Mike Weir,31.15,343,1101
47,0,10565,Ian Leggatt,31.08,345,1110
47,0,06613,Tommy Tolles,31.08,225,724
49,0,01553,John Huston,31.06,369,1188
49,0,07749,Brett Quigley,31.06,323,1040
51,0,19846,Brian Gay,31.03,414,1334
52,0,22913,John Rollins,31.02,455,1467
53,0,06575,Dudley Hart,30.86,303,982
54,0,01329,Brad Faxon,30.77,292,949
54,0,01797,Rocco Mediate,30.77,272,884
56,0,06373,José María Olazábal,30.74,209,680
57,0,02133,Craig Stadler,30.73,248,807
58,0,23903,Stephen Gangluff,30.70,264,860
59,0,01968,Nick Price,30.68,220,717
60,0,10885,Robert Allenby,30.66,356,1161
61,0,12652,Cameron Beckman,30.64,315,1028
62,0,20229,Stewart Cink,30.62,309,1009
63,0,23322,Brett Wetterich,30.58,307,1004
64,0,12680,Shigeki Maruyama,30.57,291,952
65,0,10912,Craig Perks,30.51,281,921
66,0,19881,Robert Damron,30.47,280,919
67,0,11032,Frank Lickliter II,30.44,319,1048
68,0,23621,Rory Sabbatini,30.41,232,763
69,0,01707,Steve Lowery,30.36,334,1100
70,0,01619,Skip Kendall,30.35,349,1150
71,0,20574,Mathew Goggin,30.33,229,755
71,0,12782,Tim Herron,30.33,353,1164
73,0,01475,Donnie Hammond,30.22,220,728
74,0,01139,Olin Browne,30.21,368,1218
75,0,06522,Ernie Els,30.19,202,669
76,0,01527,Scott Hoch,30.18,233,772
77,0,01361,Dan Forsman,30.16,304,1008
