RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,0,10117,Bob Heintz,1.682,1174,698,37.70
2,0,02206,David Toms,1.704,2110,1238,33.66
3,0,20127,Chris Riley,1.713,1927,1125,32.47
4,0,23541,Ben Crane,1.715,1724,1005,34.07
5,0,01810,Phil Mickelson,1.717,1882,1096,35.84
6,0,10860,Justin Leonard,1.722,1886,1095,32.14
7,0,01024,Billy Andrade,1.729,1869,1081,33.36
8,0,06251,Chris DiMarco,1.730,2162,1250,32.53
8,0,23800,Bryce Molder,1.730,1247,721,33.47
8,0,02239,Scott Verplank,1.730,1858,1074,31.21
11,0,20593,Greg Chalmers,1.731,1793,1036,32.33
12,0,24925,Jonathan Byrd,1.732,1865,1077,34.20
12,0,01388,Robert Gamez,1.732,1434,828,32.61
12,0,01619,Skip Kendall,1.732,1997,1153,30.35
15,0,20098,Stuart Appleby,1.734,1845,1064,33.65
15,0,20157,Retief Goosen,1.734,1075,620,32.74
17,0,01329,Brad Faxon,1.735,1652,952,30.77
18,0,01968,Nick Price,1.736,1248,719,30.68
19,0,02246,Duffy Waldorf,1.737,1701,979,33.09
20,0,24357,K.J. Choi,1.738,1783,1026,32.23
21,0,08537,J.P. Hayes,1.739,1523,876,32.15
21,0,06527,Steve Stricker,1.739,1146,659,33.84
23,0,09011,David Duval,1.740,1460,839,34.77
24,0,01161,Mark Calcavecchia,1.741,1553,892,32.77
25,0,01381,Fred Funk,1.742,2362,1356,31.29
26,0,19846,Brian Gay,1.743,2331,1337,31.03
26,0,01706,Davis Love III,1.743,1724,989,31.98
28,0,20572,Rod Pampling,1.744,1911,1096,32.30
29,0,01457,Jay Haas,1.745,1579,905,29.52
30,0,02010,Loren Roberts,1.746,1908,1093,28.64
31,0,01249,John Daly,1.747,1120,641,35.00
32,0,22046,Geoff Ogilvy,1.748,1731,990,33.23
32,0,02214,Kirk Triplett,1.748,1643,940,31.95
34,0,22913,John Rollins,1.749,2569,1469,31.02
35,0,01226,Fred Couples,1.751,1222,698,33.76
35,0,06522,Ernie Els,1.751,1177,672,30.19
35,0,21209,Sergio Garcia,1.751,1383,790,32.06
35,0,06567,Vijay Singh,1.751,2092,1195,31.68
39,0,24361,Pat Perez,1.752,1696,968,33.92
40,0,01139,Olin Browne,1.753,2137,1219,30.21
40,0,01307,Joel Edwards,1.753,2172,1239,29.59
40,0,12680,Shigeki Maruyama,1.753,1674,955,30.57
43,0,01361,Dan Forsman,1.754,1770,1009,30.16
43,0,06575,Dudley Hart,1.754,1728,985,30.86
43,0,10585,Scott McCarron,1.754,1982,1130,32.06
46,0,21633,Steve Allan,1.755,1904,1085,31.91
46,0,07721,Pat Bates,1.755,1944,1108,29.99
46,0,23135,Tim Clark,1.755,1490,849,31.52
46,0,08931,Glen Day,1.755,2189,1247,29.05
46,0,12782,Tim Herron,1.755,2045,1165,30.33
51,0,06643,Paul Goydos,1.756,1331,758,28.80
51,0,01553,John Huston,1.756,2091,1191,31.06
53,0,06809,Bob Burns,1.757,2001,1139,29.11
53,0,01527,Scott Hoch,1.757,1358,773,30.18
53,0,12663,Phil Tataurangi,1.757,1762,1003,31.31
56,0,01219,John Cook,1.758,1719,978,29.82
56,0,23903,Stephen Gangluff,1.758,1512,860,30.70
56,0,10565,Ian Leggatt,1.758,1958,1114,31.08
59,0,01042,Paul Azinger,1.759,1235,702,29.91
59,0,01098,Jay Don Blake,1.759,2137,1215,29.37
59,0,20634,Peter Lonard,1.759,1919,1091,29.68
59,0,01928,Corey Pavin,1.759,1372,780,28.75
63,0,12652,Cameron Beckman,1.760,1818,1033,30.64
63,0,01797,Rocco Mediate,1.760,1558,885,30.77
63,0,06373,José María Olazábal,1.760,1197,680,30.74
63,0,01938,David Peoples,1.760,2298,1306,29.98
67,0,19881,Robert Damron,1.761,1622,921,30.47
67,0,10733,Kent Jones,1.761,2115,1201,30.11
67,0,02133,Craig Stadler,1.761,1423,808,30.73
67,0,20548,Hidemichi Tanaka,1.761,2157,1225,29.52
71,0,01378,David Frost,1.762,1788,1015,28.08
71,0,11032,Frank Lickliter II,1.762,1852,1051,30.44
73,0,02104,Jeff Sluman,1.763,2567,1456,28.40
73,0,06078,Esteban Toledo,1.763,2012,1141,28.33
75,0,01185,Brandel Chamblee,1.764,1748,991,28.46
75,0,01577,Lee Janzen,1.764,1993,1130,31.85
75,0,01723,Andrew Magee,1.764,1773,1005,29.47
75,0,01945,Kenny Perry,1.764,2135,1210,32.20
75,0,08375,Paul Stankowski,1.764,1962,1112,31.80
75,0,20566,Kaname Yokoo,1.764,1367,775,29.92
81,0,06613,Tommy Tolles,1.765,1285,728,31.08
82,0,10107,Deane Pappas,1.766,1695,960,29.61
82,0,07749,Brett Quigley,1.766,1842,1043,31.06
82,0,08793,Tiger Woods,1.766,1505,852,33.49
85,0,23614,Rich Beem,1.767,2020,1143,31.49
85,0,08881,Tripp Isenhour,1.767,1417,802,31.38
85,0,02002,John Riegger,1.767,1854,1049,28.84
88,0,01320,Bob Estes,1.768,1853,1048,28.46
88,0,07457,Steve Flesch,1.768,2236,1265,31.27
88,0,08075,Jerry Kelly,1.768,2008,1136,29.33
88,0,06012,Greg Kraft,1.768,1681,951,28.84
88,0,01920,Craig Parry,1.768,1443,816,28.83
93,0,23125,Brad Elder,1.769,1502,849,28.42
93,0,21805,Harrison Frazar,1.769,1808,1022,31.15
95,0,06004,Stephen Ames,1.770,1754,991,29.76
95,0,06617,Brian Henninger,1.770,1379,779,28.99
97,0,10885,Robert Allenby,1.771,2060,1163,30.66
97,0,01475,Donnie Hammond,1.771,1291,729,30.22
99,0,20094,Jonathan Kaye,1.772,1644,928,28.65
99,0,10457,Frank Nobilo,1.772,1951,1101,28.53
