RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,55789,Taylor Montgomery,26.63,506,19
2,0,50525,Collin Morikawa,27.48,577,21
3,0,35506,Mackenzie Hughes,27.62,718,26
4,0,35450,Patrick Cantlay,27.94,475,17
5,0,47504,Sam Burns,27.95,559,20
6,0,33408,Tyson Alexander,27.96,727,26
6,0,35461,Beau Hossler,27.96,699,25
8,0,45157,Cam Davis,28.00,616,22
8,0,48081,Xander Schauffele,28.00,560,20
8,0,30927,Brendon Todd,28.00,784,28
11,0,28089,Jason Day,28.05,533,19
12,0,33448,Justin Thomas,28.11,534,19
13,0,51977,Max Greyserman,28.13,647,23
13,0,46717,Viktor Hovland,28.13,450,16
15,0,33653,Thomas Detry,28.16,535,19
16,0,28237,Rory McIlroy,28.22,508,18
17,0,47993,Denny McCarthy,28.33,680,24
18,0,36801,Mark Hubbard,28.37,766,27
18,0,27349,Alex Noren,28.37,539,19
20,0,60004,Jacob Bridgeman,28.38,681,24
21,0,57975,Harry Hall,28.39,653,23
22,0,46442,Maverick McNealy,28.42,739,26
22,0,46441,Robby Shelton,28.42,682,24
24,0,57900,Chandler Phillips,28.44,711,25
25,0,35532,Tom Hoge,28.46,797,28
26,0,22371,Aaron Baddeley,28.48,655,23
26,0,59866,Nick Dunlap,28.48,598,21
26,0,25493,Nick Taylor,28.48,712,25
29,0,29420,Billy Horschel,28.52,599,21
29,0,54783,Dylan Wu,28.52,713,25
31,0,51766,Wyndham Clark,28.55,571,20
31,0,39977,Max Homa,28.55,628,22
31,0,55182,Tom Kim,28.55,628,22
34,0,29221,Webb Simpson,28.56,457,16
34,0,48119,Ben Taylor,28.56,714,25
36,0,49947,Taylor Moore,28.61,801,28
36,0,27214,Kevin Streelman,28.61,658,23
38,0,55893,Sam Stevens,28.63,773,27
39,0,34099,Harris English,28.65,745,26
39,0,40098,Matt Fitzpatrick,28.65,573,20
39,0,50188,S.H. Kim,28.65,888,31
42,0,37455,Si Woo Kim,28.67,688,24
42,0,49771,J.T. Poston,28.67,688,24
44,0,39971,Sungjae Im,28.68,717,25
44,0,33486,Roger Sloan,28.68,631,22
46,0,47591,Eric Cole,28.72,919,32
46,0,33204,Shane Lowry,28.72,517,18
48,0,34046,Jordan Spieth,28.73,632,22
49,0,29936,Ryan Fox,28.74,661,23
49,0,22405,Justin Rose,28.74,546,19
51,0,52955,Ludvig Ãberg,28.75,575,20
52,0,59836,Pierceson Coody,28.80,720,25
53,0,33948,Byeong Hun An,28.81,605,21
54,0,49960,Sepp Straka,28.83,663,23
54,0,32333,Kevin Tway,28.83,519,18
56,0,50493,Justin Suh,28.85,750,26
57,0,34374,Erik Barnes,28.86,606,21
57,0,40250,Taylor Pendrith,28.86,635,22
57,0,36699,Patrick Rodgers,28.86,837,29
57,0,39327,Ben Silverman,28.86,635,22
61,0,23320,Ryan Palmer,28.87,433,15
62,0,48084,Wesley Bryan,28.88,491,17
62,0,57362,Austin Eckroat,28.88,722,25
62,0,23108,Matt Kuchar,28.88,693,24
65,0,51349,Nico Echavarria,28.89,809,28
65,0,34098,Russell Henley,28.89,549,19
67,0,12716,Charley Hoffman,28.90,607,21
67,0,35617,Martin Trainer,28.90,578,20
69,0,28775,Nate Lashley,28.92,723,25
70,0,39975,Michael Kim,28.93,781,27
71,0,24024,Zach Johnson,28.94,463,16
