RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3+ PUTTS,TOTAL ROUNDS
1,0,55789,Taylor Montgomery,.04,2,54
1,0,27139,David Skinns,.04,3,82
1,0,35617,Martin Trainer,.04,2,50
1,0,54783,Dylan Wu,.04,3,80
1,0,57366,Cameron Young,.04,3,81
6,0,55708,Hayden Buckley,.03,2,71
6,0,47663,Kevin Dougherty,.03,2,62
6,0,29936,Ryan Fox,.03,2,78
6,0,32757,Patton Kizzire,.03,2,62
6,0,26596,Ryan Moore,.03,2,72
6,0,55893,Sam Stevens,.03,3,98
12,0,37212,Paul Barjon,.02,1,53
12,0,28420,Ryan Brehm,.02,1,60
12,0,35450,Patrick Cantlay,.02,1,65
12,0,34021,Bud Cauley,.02,1,54
12,0,52372,Cameron Champ,.02,1,57
12,0,56149,Wilson Furr,.02,1,57
12,0,35506,Mackenzie Hughes,.02,2,95
12,0,24024,Zach Johnson,.02,1,48
12,0,29478,Kevin Kisner,.02,1,54
12,0,37378,Min Woo Lee,.02,1,66
12,0,40162,Justin Lower,.02,2,97
12,0,46113,Ryan McCormick,.02,1,61
12,0,29908,C.T. Pan,.02,1,59
12,0,22405,Justin Rose,.02,1,61
12,0,47347,Adam Schenk,.02,2,92
12,0,29221,Webb Simpson,.02,1,51
12,0,27330,Josh Teater,.02,1,52
12,0,51634,Sahith Theegala,.02,2,93
12,0,58168,Davis Thompson,.02,2,90
12,0,27770,Camilo Villegas,.02,1,57
12,0,55454,Carl Yuan,.02,1,64
33,0,52955,Ludvig Ãberg,.01,1,75
33,0,33408,Tyson Alexander,.01,1,75
33,0,40026,Daniel Berger,.01,1,76
33,0,40058,Zac Blair,.01,1,82
33,0,34255,Joseph Bramlett,.01,1,84
33,0,34076,Joel Dahmen,.01,1,89
33,0,33653,Thomas Detry,.01,1,67
33,0,59866,Nick Dunlap,.01,1,67
33,0,32102,Rickie Fowler,.01,1,77
33,0,51977,Max Greyserman,.01,1,77
33,0,54421,Garrick Higgo,.01,1,79
33,0,54628,Lee Hodges,.01,1,91
33,0,39977,Max Homa,.01,1,79
33,0,39971,Sungjae Im,.01,1,87
33,0,36799,Stephan Jaeger,.01,1,79
33,0,50188,S.H. Kim,.01,1,105
33,0,55182,Tom Kim,.01,1,79
33,0,48117,Kurt Kitayama,.01,1,79
33,0,33204,Shane Lowry,.01,1,70
33,0,52215,Robert MacIntyre,.01,1,72
33,0,32839,Hideki Matsuyama,.01,1,74
33,0,28237,Rory McIlroy,.01,1,69
33,0,32640,Troy Merritt,.01,1,74
33,0,39546,Keith Mitchell,.01,1,81
33,0,49947,Taylor Moore,.01,1,99
33,0,36871,Matt NeSmith,.01,1,72
33,0,47679,Victor Perez,.01,1,72
33,0,28252,Seamus Power,.01,1,96
33,0,46414,Aaron Rai,.01,1,86
33,0,26476,Chez Reavie,.01,1,68
33,0,36699,Patrick Rodgers,.01,1,100
33,0,48081,Xander Schauffele,.01,1,79
33,0,39327,Ben Silverman,.01,1,78
33,0,27214,Kevin Streelman,.01,1,69
33,0,50493,Justin Suh,.01,1,74
33,0,40115,Adam Svensson,.01,1,107
33,0,48699,Callum Tarren,.01,1,70
33,0,30927,Brendon Todd,.01,1,99
33,0,38991,Alejandro Tosti,.01,1,69
33,0,48319,Tom Whitney,.01,1,68
33,0,31323,Gary Woodland,.01,1,80
33,0,52374,Brandon Wu,.01,1,81
