RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,50525,Collin Morikawa,27.29,573,21
2,0,35506,Mackenzie Hughes,27.38,712,26
3,0,45522,Christiaan Bezuidenhout,27.43,576,21
4,0,22371,Aaron Baddeley,27.55,606,22
5,0,57975,Harry Hall,27.61,635,23
6,0,46046,Scottie Scheffler,27.67,498,18
7,0,50188,S.H. Kim,27.74,860,31
8,0,51894,Vince Whaley,27.82,612,22
9,0,35450,Patrick Cantlay,27.88,474,17
9,0,51634,Sahith Theegala,27.88,697,25
11,0,54591,Ben Griffin,27.97,895,32
12,0,46442,Maverick McNealy,28.00,700,25
12,0,37275,Sam Ryder,28.00,728,26
12,0,30927,Brendon Todd,28.00,784,28
15,0,52215,Robert MacIntyre,28.04,645,23
16,0,33653,Thomas Detry,28.05,533,19
17,0,47995,Davis Riley,28.08,674,24
18,0,47504,Sam Burns,28.10,562,20
19,0,57900,Chandler Phillips,28.13,675,24
20,0,57366,Cameron Young,28.14,591,21
21,0,52514,Trace Crowe,28.19,592,21
21,0,34466,Peter Malnati,28.19,733,26
23,0,48081,Xander Schauffele,28.20,564,20
24,0,32839,Hideki Matsuyama,28.21,536,19
24,0,33448,Justin Thomas,28.21,536,19
26,0,34099,Harris English,28.23,734,26
27,0,51766,Wyndham Clark,28.25,565,20
28,0,28089,Jason Day,28.26,537,19
29,0,47993,Denny McCarthy,28.29,679,24
30,0,47591,Eric Cole,28.31,906,32
31,0,40058,Zac Blair,28.35,737,26
32,0,46441,Robby Shelton,28.38,681,24
33,0,27644,Brian Harman,28.39,653,23
33,0,29908,C.T. Pan,28.39,511,18
35,0,29221,Webb Simpson,28.44,455,16
35,0,55893,Sam Stevens,28.44,768,27
37,0,40098,Matt Fitzpatrick,28.45,569,20
37,0,40250,Taylor Pendrith,28.45,626,22
39,0,47420,Jake Knapp,28.52,599,21
39,0,28252,Seamus Power,28.52,770,27
41,0,52453,Nicolai HÃ¸jgaard,28.53,485,17
42,0,60004,Jacob Bridgeman,28.54,685,24
42,0,50493,Justin Suh,28.54,742,26
44,0,32367,Jorge Campillo,28.56,457,16
45,0,33948,Byeong Hun An,28.57,600,21
45,0,51997,Andrew Novak,28.57,657,23
45,0,40006,Erik van Rooyen,28.57,657,23
48,0,34098,Russell Henley,28.58,543,19
48,0,36799,Stephan Jaeger,28.58,686,24
48,0,49771,J.T. Poston,28.58,686,24
51,0,32102,Rickie Fowler,28.59,629,22
52,0,47806,Raul Pereda,28.60,572,20
53,0,37378,Min Woo Lee,28.61,515,18
53,0,32333,Kevin Tway,28.61,515,18
55,0,26476,Chez Reavie,28.64,716,25
56,0,31646,Emiliano Grillo,28.65,659,23
56,0,37455,Si Woo Kim,28.65,659,23
56,0,27936,Martin Laird,28.65,659,23
