RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,01226,Fred Couples,4.20,277,66
2,0,01887,Mark O'Meara,4.19,335,80
3,0,01329,Brad Faxon,4.02,330,82
4,0,01864,Larry Nelson,3.96,301,76
4,0,01876,Greg Norman,3.96,202,51
6,0,09011,David Duval,3.93,291,74
6,0,01577,Lee Janzen,3.93,362,92
8,0,01837,Gil Morgan,3.92,239,61
9,0,01706,Davis Love III,3.85,308,80
10,0,01724,Jeff Maggert,3.84,349,91
11,0,06034,Marco Dawson,3.82,332,87
11,0,06527,Steve Stricker,3.82,313,82
13,0,06613,Tommy Tolles,3.81,362,95
14,0,01326,Nick Faldo,3.80,213,56
14,0,01553,John Huston,3.80,319,84
16,0,01161,Mark Calcavecchia,3.78,386,102
16,0,06567,Vijay Singh,3.78,340,90
18,0,02146,Payne Stewart,3.77,328,87
19,0,01116,Michael Bradley,3.75,326,87
19,0,12660,Jesper Parnevik,3.75,255,68
19,0,01945,Kenny Perry,3.75,304,81
22,0,08931,Glen Day,3.74,333,89
23,0,01388,Robert Gamez,3.73,280,75
24,0,06522,Ernie Els,3.72,242,65
25,0,01042,Paul Azinger,3.71,286,77
25,0,01527,Scott Hoch,3.71,356,96
27,0,01810,Phil Mickelson,3.70,285,77
28,0,01132,Mark Brooks,3.69,373,101
29,0,01891,David Ogrin,3.67,374,102
30,0,01040,Emlyn Aubrey,3.66,212,58
31,0,10585,Scott McCarron,3.65,314,86
31,0,02256,Tom Watson,3.65,197,54
33,0,01408,Kelly Gibson,3.64,415,114
33,0,01457,Jay Haas,3.64,324,89
35,0,01006,John Adams,3.63,283,78
36,0,07867,Woody Austin,3.61,422,117
36,0,01975,Tom Purtzer,3.61,300,83
36,0,20259,Hisayuki Sasaki,3.61,231,64
39,0,10860,Justin Leonard,3.60,364,101
40,0,01510,Nolan Henke,3.59,284,79
40,0,01677,Tom Lehman,3.59,284,79
40,0,01905,Joe Ozaki,3.59,244,68
40,0,02214,Kirk Triplett,3.59,262,73
44,0,06012,Greg Kraft,3.58,290,81
44,0,01682,Wayne Levi,3.58,254,71
44,0,01920,Craig Parry,3.58,290,81
47,0,12782,Tim Herron,3.57,357,100
48,0,01385,Jim Gallagher Jr.,3.56,260,73
49,0,01378,David Frost,3.55,252,71
49,0,01823,Larry Mize,3.55,259,73
51,0,01093,Ronnie Black,3.54,301,85
51,0,01098,Jay Don Blake,3.54,322,91
51,0,01201,Lennie Clements,3.54,294,83
51,0,01219,John Cook,3.54,315,89
51,0,01331,Rick Fehr,3.54,262,74
51,0,08337,Mike Heinen,3.54,336,95
51,0,01599,Steve Jones,3.54,294,83
58,0,01096,Phil Blackmar,3.53,332,94
58,0,01203,Russ Cochran,3.53,293,83
58,0,01761,Len Mattiace,3.53,300,85
58,0,02170,Hal Sutton,3.53,311,88
62,0,01024,Billy Andrade,3.52,306,87
62,0,01958,Dan Pohl,3.52,204,58
62,0,07087,Hugh Royer III,3.52,320,91
62,0,02206,David Toms,3.52,313,89
66,0,01549,Mike Hulbert,3.51,330,94
66,0,02321,Fuzzy Zoeller,3.51,186,53
68,0,01323,Brad Fabel,3.50,301,86
68,0,01723,Andrew Magee,3.50,266,76
68,0,02104,Jeff Sluman,3.50,368,105
71,0,07235,John Morse,3.49,328,94
71,0,01943,Chris Perry,3.49,237,68
73,0,06214,Guy Boros,3.48,324,93
73,0,01381,Fred Funk,3.48,376,108
73,0,10809,Jim Furyk,3.48,348,100
73,0,01797,Rocco Mediate,3.48,240,69
73,0,02186,Brian Tennyson,3.48,261,75
78,0,20098,Stuart Appleby,3.44,327,95
78,0,01771,Blaine McCallister,3.44,313,91
80,0,01139,Olin Browne,3.43,322,94
80,0,01143,Brad Bryant,3.43,285,83
80,0,01175,Jim Carter,3.43,367,107
80,0,02010,Loren Roberts,3.43,278,81
84,0,11032,Frank Lickliter II,3.42,287,84
84,0,08547,John Maginnes,3.42,277,81
84,0,02159,Curtis Strange,3.42,270,79
84,0,02246,Duffy Waldorf,3.42,229,67
88,0,10569,Mike Brisky,3.41,283,83
88,0,06036,Scott Dunlap,3.41,273,80
90,0,01072,Chip Beck,3.40,313,92
91,0,12626,Joey Gullion,3.39,295,87
91,0,01604,Steve Jurgensen,3.39,295,87
91,0,01633,Tom Kite,3.39,234,69
91,0,01783,Mark McCumber,3.39,173,51
95,0,01249,John Daly,3.38,243,72
95,0,08993,Franklin Langham,3.38,311,92
95,0,01928,Corey Pavin,3.38,274,81
95,0,10215,Charlie Rymer,3.38,304,90
95,0,07101,Dave Stockton Jr.,3.38,311,92
95,0,06577,John Wilson,3.38,274,81
101,0,06643,Paul Goydos,3.37,283,84
102,0,06124,Patrick Burke,3.36,242,72
102,0,01707,Steve Lowery,3.36,336,100
102,0,02167,Mike Sullivan,3.36,286,85
105,0,01014,Fulton Allem,3.35,181,54
105,0,01968,Nick Price,3.35,174,52
107,0,02133,Craig Stadler,3.33,183,55
108,0,02101,Joey Sindelar,3.32,289,87
108,0,02279,Mark Wiebe,3.32,246,74
110,0,01235,Ben Crenshaw,3.31,195,59
110,0,01307,Joel Edwards,3.31,311,94
110,0,02223,Bob Tway,3.31,265,80
113,0,01748,Doug Martin,3.30,304,92
114,0,01068,Andy Bean,3.29,247,75
114,0,01185,Brandel Chamblee,3.29,230,70
114,0,06332,Neal Lancaster,3.29,336,102
114,0,01766,Billy Mayfair,3.29,306,93
114,0,02099,Scott Simpson,3.29,230,70
114,0,02135,Mike Standly,3.29,263,80
120,0,01475,Donnie Hammond,3.28,200,61
121,0,01156,Curt Byrum,3.27,183,56
121,0,01306,David Edwards,3.27,268,82
121,0,01313,Steve Elkington,3.27,209,64
121,0,06064,Jeff Gallagher,3.27,275,84
121,0,06315,Pete Jordan,3.27,239,73
121,0,02008,Lee Rinker,3.27,327,100
121,0,02023,Clarence Rose,3.27,278,85
121,0,02131,Mike Springer,3.27,278,85
129,0,01200,Keith Clearwater,3.26,254,78
129,0,01414,Bob Gilder,3.26,277,85
131,0,08375,Paul Stankowski,3.25,231,71
131,0,02245,Grant Waite,3.25,244,75
133,0,01960,Don Pooley,3.24,204,63
134,0,19883,Joe Daley,3.23,249,77
134,0,02218,Ted Tryba,3.23,333,103
134,0,10425,Jay Williamson,3.23,249,77
137,0,01361,Dan Forsman,3.22,209,65
138,0,01334,Keith Fergus,3.21,270,84
138,0,06044,Scott Gump,3.21,311,97
138,0,02303,Robert Wrenn,3.21,231,72
141,0,01157,Tom Byrum,3.20,243,76
141,0,01701,Bob Lohr,3.20,288,90
141,0,06090,Jim McGovern,3.20,278,87
144,0,06617,Brian Henninger,3.19,268,84
145,0,08075,Jerry Kelly,3.18,289,91
145,0,02049,Gene Sauers,3.18,248,78
147,0,06595,Kevin Sutherland,3.17,339,107
148,0,01196,Brian Claar,3.16,329,104
148,0,06140,Sean Murphy,3.16,256,81
150,0,20095,Carl Paulson,3.15,274,87
151,0,01261,Jay Delsing,3.14,270,86
152,0,01142,Bart Bryant,3.12,240,77
152,0,08385,Omar Uresti,3.12,293,94
154,0,20051,Joe Acosta Jr.,3.11,221,71
154,0,07267,Allen Doyle,3.11,274,88
156,0,01035,Tommy Armour III,3.09,164,53
156,0,01603,Jeff Julian,3.09,213,69
158,0,01607,Brian Kamm,3.08,268,87
159,0,10203,Bryan Gorman,3.07,212,69
160,0,02241,Bobby Wadkins,3.05,278,91
161,0,06599,John Elliott,3.04,155,51
161,0,02115,Taylor Smith,3.04,231,76
163,0,10505,Shane Bertsch,3.03,221,73
163,0,01435,Wayne Grady,3.03,194,64
163,0,01996,Mike Reid,3.03,218,72
166,0,10649,Tom Scherrer,3.01,268,89
167,0,01444,Ken Green,2.99,239,80
168,0,01133,Billy Ray Brown,2.97,229,77
169,0,02267,D.A. Weibring,2.96,157,53
170,0,01374,Robin Freeman,2.93,299,102
170,0,01938,David Peoples,2.93,164,56
170,0,10213,Dicky Pride,2.93,237,81
170,0,01971,Dillard Pruitt,2.93,217,74
174,0,01569,Peter Jacobsen,2.91,186,64
175,0,19913,Ron Whittaker,2.90,168,58
176,0,02171,Mike Swartz,2.86,209,73
177,0,01487,Jeff Hart,2.85,185,65
177,0,06066,Gary Rusnak,2.85,222,78
177,0,02242,Lanny Wadkins,2.85,177,62
180,0,02106,Chris Smith,2.83,226,80
181,0,01320,Bob Estes,2.81,180,64
182,0,06657,Steve Rintoul,2.80,210,75
183,0,02226,Tray Tyner,2.78,142,51
184,0,20505,Lucas Parsons,2.77,155,56
185,0,12781,Scott Medlin,2.74,145,53
186,0,01060,Dave Barr,2.71,157,58
187,0,01725,John Mahaffey,2.69,175,65
188,0,01557,John Inman,2.68,212,79
189,0,02201,Jim Thorpe,2.51,138,55
190,0,01346,Ed Fiori,2.50,150,60
