RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,08385,Omar Uresti,76.08,719,945
2,0,06621,Joe Durant,75.94,644,848
3,0,19846,Brian Gay,74.00,1016,1373
4,0,23135,Tim Clark,73.72,875,1187
5,0,07363,Craig Bowden,72.86,518,711
6,0,22293,Heath Slocum,72.42,948,1309
7,0,02206,David Toms,71.88,851,1184
8,0,24024,Zach Johnson,71.24,914,1283
9,0,23541,Ben Crane,71.13,818,1150
10,0,10809,Jim Furyk,71.01,735,1035
11,0,26420,Richard Johnson,70.92,817,1152
12,0,06643,Paul Goydos,70.58,770,1091
13,0,08075,Jerry Kelly,70.50,939,1332
14,0,20436,Garrett Willis,70.44,765,1086
15,0,25190,Jeff Quinney,70.34,849,1207
16,0,20472,Alex Cejka,70.31,772,1098
17,0,01766,Billy Mayfair,70.29,686,976
18,0,06251,Chris DiMarco,70.13,817,1165
19,0,22621,Ben Curtis,70.07,768,1096
20,0,10425,Jay Williamson,69.87,661,946
21,0,01619,Skip Kendall,69.63,486,698
22,0,10860,Justin Leonard,69.46,855,1231
23,0,27060,John Mallinger,69.34,735,1060
24,0,25686,Jason Dufner,69.24,842,1216
25,0,12510,Chad Campbell,69.01,895,1297
26,0,21878,Mark Wilson,68.85,798,1159
27,0,20127,Chris Riley,68.70,641,933
28,0,12705,Cliff Kresge,68.59,439,640
29,0,08725,Tom Gillis,68.54,926,1351
30,0,06527,Steve Stricker,68.50,696,1016
31,0,21753,Brian Davis,68.35,961,1406
32,0,01797,Rocco Mediate,68.27,654,958
33,0,23325,Vaughn Taylor,68.26,828,1213
34,0,02239,Scott Verplank,68.16,700,1027
35,0,01313,Steve Elkington,68.01,640,941
36,0,26596,Ryan Moore,67.99,754,1109
36,0,01945,Kenny Perry,67.99,650,956
38,0,24781,Hunter Mahan,67.94,801,1179
39,0,23108,Matt Kuchar,67.89,907,1336
40,0,01724,Jeff Maggert,67.55,639,946
41,0,01948,Tim Petrovic,67.37,989,1468
41,0,12602,Dean Wilson,67.37,450,668
43,0,10585,Scott McCarron,67.36,842,1250
44,0,29285,Brent Delahoussaye,67.28,477,709
45,0,28620,Aron Price,67.23,601,894
46,0,20645,John Senden,67.22,970,1443
47,0,26289,Boo Weekley,67.14,750,1117
48,0,01941,Tom Pernice Jr.,66.95,622,929
49,0,24507,Jason Bohn,66.89,782,1169
49,0,06595,Kevin Sutherland,66.89,798,1193
51,0,28087,Kris Blanks,66.87,773,1156
52,0,29910,Blake Adams,66.84,762,1140
53,0,27933,John Merrick,66.71,942,1412
54,0,07867,Woody Austin,66.48,823,1238
55,0,06004,Stephen Ames,66.47,686,1032
56,0,25396,Kevin Na,66.46,864,1300
57,0,24912,Will MacKenzie,66.33,666,1004
58,0,24227,Justin Bolli,66.28,452,682
59,0,07457,Steve Flesch,66.02,678,1027
60,0,24357,K.J. Choi,65.99,720,1091
61,0,23349,Charles Warren,65.93,534,810
62,0,11123,Chris Couch,65.87,606,920
63,0,26301,James Nitties,65.69,785,1195
64,0,27214,Kevin Streelman,65.64,787,1199
65,0,23638,Brendon de Jonge,65.51,965,1473
66,0,20498,Briny Baird,65.45,756,1155
66,0,20572,Rod Pampling,65.45,701,1071
68,0,08375,Paul Stankowski,65.38,493,754
69,0,20574,Mathew Goggin,65.24,775,1188
70,0,24361,Pat Perez,65.23,820,1257
70,0,23623,Bo Van Pelt,65.23,953,1461
72,0,22405,Justin Rose,65.17,711,1091
73,0,27466,Spencer Levin,65.12,924,1419
74,0,23353,J.J. Henry,65.07,760,1168
75,0,08537,J.P. Hayes,64.91,677,1043
76,0,20157,Retief Goosen,64.79,646,997
77,0,10885,Robert Allenby,64.75,676,1044
78,0,22946,Henrik Bjornstad,64.74,595,919
78,0,27436,Graham DeLaet,64.74,740,1143
80,0,22913,John Rollins,64.58,733,1135
81,0,25240,D.A. Points,64.52,811,1257
82,0,24663,Y.E. Yang,64.31,638,992
83,0,20378,Mathias Grönberg,64.28,493,767
84,0,27649,Brandt Snedeker,64.27,795,1237
85,0,01706,Davis Love III,64.20,712,1109
86,0,32102,Rickie Fowler,64.19,882,1374
86,0,20160,Charlie Wi,64.19,848,1321
88,0,24924,Bill Haas,64.17,779,1214
89,0,25892,Steve Wheatcroft,64.12,588,917
90,0,22378,Trevor Immelman,64.07,494,771
91,0,28780,Nicholas Thompson,64.04,748,1168
92,0,20229,Stewart Cink,63.98,723,1130
92,0,24140,Sean O'Hair,63.98,739,1155
94,0,06514,Kevin Johnson,63.85,498,780
95,0,21209,Sergio Garcia,63.75,466,731
96,0,12652,Cameron Beckman,63.72,569,893
97,0,27330,Josh Teater,63.69,877,1377
98,0,26695,Michael Letzig,63.47,742,1169
99,0,23673,Michael Connell,63.40,717,1131
99,0,26881,Jarrod Lyle,63.40,407,642
101,0,26882,Michael Sim,63.35,560,884
102,0,06567,Vijay Singh,63.28,660,1043
103,0,23800,Bryce Molder,63.16,703,1113
104,0,21350,Ryuji Imada,63.11,792,1255
105,0,31560,Brian Stuard,63.09,658,1043
106,0,12714,Chris Tidland,63.08,644,1021
107,0,27963,Chris Stroud,62.98,718,1140
108,0,20105,Jeff Gove,62.96,447,710
108,0,26679,Kevin Stadler,62.96,685,1088
110,0,24502,Adam Scott,62.93,601,955
