RANK,MOVEMENT,PLAYER_ID,PLAYER,RTP SCORE
1,0,22405,Justin Rose,-.090
2,0,06527,Steve Stricker,-.080
3,0,01810,Phil Mickelson,-.063
4,0,23322,Brett Wetterich,-.060
5,0,20157,Retief Goosen,-.056
6,0,07457,Steve Flesch,-.050
7,0,01320,Bob Estes,-.049
7,0,12705,Cliff Kresge,-.049
9,0,22378,Trevor Immelman,-.048
10,0,26596,Ryan Moore,-.046
11,0,20098,Stuart Appleby,-.045
11,0,12602,Dean Wilson,-.045
13,0,20848,Ángel Cabrera,-.039
13,0,23108,Matt Kuchar,-.039
15,0,21961,Charles Howell III,-.031
16,0,24924,Bill Haas,-.030
17,0,06522,Ernie Els,-.029
18,0,10885,Robert Allenby,-.023
19,0,26881,Jarrod Lyle,-.022
20,0,20766,Padraig Harrington,-.020
21,0,22046,Geoff Ogilvy,-.016
22,0,23621,Rory Sabbatini,-.013
22,0,25632,Jimmy Walker,-.013
24,0,27095,Nick Watney,-.012
25,0,09011,David Duval,-.011
25,0,23788,D.J. Trahan,-.011
27,0,24502,Adam Scott,-.009
28,0,25364,Paul Casey,E
28,0,10809,Jim Furyk,E
28,0,27466,Spencer Levin,E
28,0,01766,Billy Mayfair,E
28,0,06595,Kevin Sutherland,E
33,0,25804,Bubba Watson,+.006
34,0,27963,Chris Stroud,+.007
35,0,24663,Y.E. Yang,+.009
36,0,26882,Michael Sim,+.011
37,0,32102,Rickie Fowler,+.012
37,0,30946,Alex Prugh,+.012
39,0,21209,Sergio Garcia,+.014
39,0,24140,Sean O'Hair,+.014
39,0,22056,Cameron Percy,+.014
42,0,22122,Andrew McLardy,+.015
43,0,23409,James Driscoll,+.016
44,0,27060,John Mallinger,+.019
45,0,23800,Bryce Molder,+.021
46,0,23320,Ryan Palmer,+.023
47,0,01249,John Daly,+.025
47,0,08385,Omar Uresti,+.025
49,0,27770,Camilo Villegas,+.026
50,0,23541,Ben Crane,+.027
51,0,19846,Brian Gay,+.028
52,0,07867,Woody Austin,+.029
53,0,23983,Luke Donald,+.034
54,0,20229,Stewart Cink,+.036
54,0,06251,Chris DiMarco,+.036
54,0,08375,Paul Stankowski,+.036
57,0,24846,Ricky Barnes,+.038
58,0,28089,Jason Day,+.041
58,0,24490,George McNeill,+.041
58,0,22913,John Rollins,+.041
61,0,01313,Steve Elkington,+.042
61,0,07749,Brett Quigley,+.042
61,0,22293,Heath Slocum,+.042
64,0,20645,John Senden,+.043
65,0,24357,K.J. Choi,+.044
65,0,20850,Daniel Chopra,+.044
67,0,22371,Aaron Baddeley,+.048
67,0,23353,J.J. Henry,+.048
69,0,12714,Chris Tidland,+.051
70,0,21350,Ryuji Imada,+.052
70,0,27936,Martin Laird,+.052
70,0,29221,Webb Simpson,+.052
73,0,25900,Lucas Glover,+.054
74,0,25396,Kevin Na,+.055
75,0,24781,Hunter Mahan,+.059
75,0,06515,Shaun Micheel,+.059
77,0,27436,Graham DeLaet,+.060
77,0,01706,Davis Love III,+.060
77,0,23623,Bo Van Pelt,+.060
80,0,33419,Cameron Tringale,+.062
81,0,06567,Vijay Singh,+.063
82,0,29910,Blake Adams,+.065
82,0,26287,Roland Thatcher,+.065
84,0,21949,Joe Ogilvie,+.068
84,0,02206,David Toms,+.068
86,0,29285,Brent Delahoussaye,+.069
87,0,30925,Dustin Johnson,+.070
88,0,24925,Jonathan Byrd,+.071
88,0,25240,D.A. Points,+.071
88,0,25190,Jeff Quinney,+.071
91,0,20070,Matt Bettencourt,+.072
92,0,28780,Nicholas Thompson,+.074
93,0,08725,Tom Gillis,+.075
94,0,28500,Martin Flores,+.076
95,0,06004,Stephen Ames,+.078
95,0,10585,Scott McCarron,+.078
95,0,20663,Brenden Pappas,+.078
95,0,20686,Jeev Milkha Singh,+.078
99,0,27141,J.B. Holmes,+.079
99,0,23325,Vaughn Taylor,+.079
101,0,26300,Matt Jones,+.081
101,0,27120,Troy Matteson,+.081
103,0,10860,Justin Leonard,+.082
103,0,28475,Jeff Overton,+.082
105,0,26392,Chris Wilson,+.083
106,0,27214,Kevin Streelman,+.086
107,0,24227,Justin Bolli,+.089
108,0,26679,Kevin Stadler,+.090
109,0,02239,Scott Verplank,+.091
109,0,20160,Charlie Wi,+.091
111,0,26851,Marc Leishman,+.092
112,0,23638,Brendon de Jonge,+.093
113,0,11123,Chris Couch,+.094
113,0,25818,Scott Piercy,+.094
115,0,21731,Freddie Jacobson,+.097
116,0,20593,Greg Chalmers,+.098
116,0,21753,Brian Davis,+.098
116,0,32640,Troy Merritt,+.098
116,0,21959,Ted Purdy,+.098
116,0,27649,Brandt Snedeker,+.098
121,0,31560,Brian Stuard,+.099
122,0,22946,Henrik Bjornstad,+.100
122,0,28307,Matt Every,+.100
124,0,01577,Lee Janzen,+.101
124,0,28158,Steve Marino,+.101
126,0,20127,Chris Riley,+.102
