RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,08385,Omar Uresti,76.36,646,846,-0.09
2,0,06621,Joe Durant,76.05,600,789,-0.19
3,0,07363,Craig Bowden,73.98,492,665,-0.02
4,0,19846,Brian Gay,73.86,845,1144,-0.14
5,0,23135,Tim Clark,73.12,691,945,-0.13
6,0,10809,Jim Furyk,72.03,600,833,-0.20
7,0,22293,Heath Slocum,71.64,730,1019,-0.14
8,0,02206,David Toms,71.52,693,969,-0.16
9,0,20472,Alex Cejka,71.32,664,931,-0.11
10,0,26420,Richard Johnson,70.55,714,1012,-0.17
11,0,27060,John Mallinger,70.54,632,896,-0.15
12,0,20436,Garrett Willis,70.53,694,984,-0.13
13,0,24024,Zach Johnson,70.46,737,1046,-0.17
14,0,25190,Jeff Quinney,70.38,777,1104,-0.14
15,0,01619,Skip Kendall,70.35,477,678,-0.12
16,0,22621,Ben Curtis,70.31,644,916,-0.14
17,0,01766,Billy Mayfair,70.10,633,903,-0.09
18,0,23541,Ben Crane,70.09,642,916,-0.16
19,0,08075,Jerry Kelly,70.02,801,1144,-0.14
20,0,06643,Paul Goydos,69.80,638,914,-0.13
21,0,06251,Chris DiMarco,69.65,746,1071,-0.12
22,0,12510,Chad Campbell,69.40,780,1124,-0.16
23,0,20127,Chris Riley,69.30,605,873,-0.18
24,0,10860,Justin Leonard,69.13,692,1001,-0.16
25,0,10425,Jay Williamson,69.11,584,845,-0.14
26,0,08725,Tom Gillis,69.04,863,1250,-0.16
27,0,02239,Scott Verplank,69.03,535,775,-0.12
28,0,01797,Rocco Mediate,68.93,579,840,-0.15
29,0,12705,Cliff Kresge,68.92,428,621,-0.10
30,0,21878,Mark Wilson,68.91,758,1100,-0.13
31,0,25686,Jason Dufner,68.86,659,957,-0.11
32,0,23325,Vaughn Taylor,68.65,749,1091,-0.15
33,0,21753,Brian Davis,68.10,841,1235,-0.11
34,0,29285,Brent Delahoussaye,68.01,440,647,-0.10
35,0,26596,Ryan Moore,67.97,575,846,-0.17
36,0,28620,Aron Price,67.94,585,861,-0.17
37,0,12602,Dean Wilson,67.85,441,650,-0.16
38,0,28087,Kris Blanks,67.77,694,1024,-0.12
39,0,26289,Boo Weekley,67.74,697,1029,-0.15
40,0,23108,Matt Kuchar,67.66,703,1039,-0.25
41,0,01313,Steve Elkington,67.65,548,810,-0.15
42,0,06527,Steve Stricker,67.39,525,779,-0.20
43,0,01948,Tim Petrovic,67.38,876,1300,-0.16
44,0,27933,John Merrick,67.29,858,1275,-0.16
45,0,06004,Stephen Ames,67.15,642,956,-0.17
46,0,01945,Kenny Perry,67.14,525,782,-0.18
47,0,23349,Charles Warren,67.11,508,757,-0.18
48,0,24781,Hunter Mahan,67.10,622,927,-0.15
49,0,24912,Will MacKenzie,67.09,632,942,-0.17
50,0,24227,Justin Bolli,67.01,386,576,-0.04
51,0,01941,Tom Pernice Jr.,67.00,536,800,-0.16
52,0,07457,Steve Flesch,66.93,595,889,-0.08
53,0,01724,Jeff Maggert,66.90,584,873,-0.07
53,0,10585,Scott McCarron,66.90,764,1142,-0.15
55,0,29910,Blake Adams,66.83,691,1034,-0.14
55,0,24507,Jason Bohn,66.83,677,1013,-0.18
57,0,06595,Kevin Sutherland,66.73,718,1076,-0.18
58,0,07867,Woody Austin,66.61,762,1144,-0.14
59,0,26301,James Nitties,66.52,741,1114,-0.16
59,0,27214,Kevin Streelman,66.52,735,1105,-0.15
61,0,08375,Paul Stankowski,66.44,487,733,-0.18
62,0,20498,Briny Baird,66.39,721,1086,-0.14
63,0,23638,Brendon de Jonge,66.19,828,1251,-0.20
64,0,20645,John Senden,66.08,795,1203,-0.18
65,0,11123,Chris Couch,65.97,539,817,-0.18
66,0,24361,Pat Perez,65.94,759,1151,-0.19
66,0,22405,Justin Rose,65.94,635,963,-0.17
68,0,27466,Spencer Levin,65.93,894,1356,-0.16
69,0,20157,Retief Goosen,65.89,481,730,-0.23
70,0,24357,K.J. Choi,65.80,554,842,-0.17
70,0,25396,Kevin Na,65.80,687,1044,-0.20
72,0,23353,J.J. Henry,65.71,713,1085,-0.17
73,0,20572,Rod Pampling,65.60,635,968,-0.12
74,0,27436,Graham DeLaet,65.48,683,1043,-0.20
75,0,20574,Mathew Goggin,65.43,685,1047,-0.16
76,0,25892,Steve Wheatcroft,65.36,517,791,-0.11
77,0,22913,John Rollins,65.19,678,1040,-0.19
78,0,22946,Henrik Bjornstad,65.10,528,811,-0.15
79,0,01706,Davis Love III,64.76,590,911,-0.15
80,0,10885,Robert Allenby,64.73,547,845,-0.21
81,0,26881,Jarrod Lyle,64.56,408,632,-0.14
82,0,06514,Kevin Johnson,64.53,433,671,-0.04
83,0,26695,Michael Letzig,64.52,711,1102,-0.14
83,0,27330,Josh Teater,64.52,813,1260,-0.17
83,0,20160,Charlie Wi,64.52,793,1229,-0.19
86,0,08537,J.P. Hayes,64.51,607,941,-0.15
87,0,27649,Brandt Snedeker,64.47,664,1030,-0.17
88,0,24663,Y.E. Yang,64.40,521,809,-0.15
89,0,23623,Bo Van Pelt,64.37,777,1207,-0.22
90,0,31560,Brian Stuard,64.23,625,973,-0.11
91,0,28780,Nicholas Thompson,64.18,679,1058,-0.11
92,0,21350,Ryuji Imada,64.12,740,1154,-0.14
93,0,20378,Mathias Grönberg,64.11,443,691,-0.16
94,0,12714,Chris Tidland,63.94,601,940,-0.10
95,0,20105,Jeff Gove,63.93,390,610,-0.10
96,0,25240,D.A. Points,63.92,698,1092,-0.14
97,0,24924,Bill Haas,63.90,662,1036,-0.19
98,0,22378,Trevor Immelman,63.87,373,584,-0.12
99,0,27963,Chris Stroud,63.84,632,990,-0.19
100,0,26679,Kevin Stadler,63.77,632,991,-0.17
101,0,23673,Michael Connell,63.76,679,1065,-0.18
101,0,32102,Rickie Fowler,63.76,730,1145,-0.18
103,0,06515,Shaun Micheel,63.71,467,733,-0.15
104,0,20229,Stewart Cink,63.62,570,896,-0.20
105,0,25900,Lucas Glover,63.60,519,816,-0.20
106,0,26951,Johnson Wagner,63.56,647,1018,-0.15
107,0,23800,Bryce Molder,63.45,637,1004,-0.17
108,0,12652,Cameron Beckman,63.36,517,816,-0.13
109,0,24140,Sean O'Hair,63.34,572,903,-0.15
110,0,21731,Freddie Jacobson,63.32,675,1066,-0.18
111,0,23307,Roger Tambellini,63.18,537,850,-0.09
112,0,24138,Ian Poulter,63.01,293,465,-0.15
113,0,01707,Steve Lowery,62.94,479,761,-0.06
114,0,26882,Michael Sim,62.93,460,731,-0.15
115,0,12716,Charley Hoffman,62.89,666,1059,-0.22
116,0,22122,Andrew McLardy,62.77,381,607,-0.09
117,0,25345,Carl Pettersson,62.66,715,1141,-0.20
118,0,21959,Ted Purdy,62.39,632,1013,-0.12
119,0,32617,Jerod Turner,62.34,341,547,-0.03
120,0,24925,Jonathan Byrd,62.18,702,1129,-0.19
121,0,28158,Steve Marino,62.11,541,871,-0.21
122,0,20691,Greg Owen,61.98,525,847,-0.17
123,0,06567,Vijay Singh,61.78,485,785,-0.17
124,0,23548,Bill Lunde,61.74,568,920,-0.12
125,0,27302,Garth Mulroy,61.70,356,577,-0.11
126,0,23718,Nathan Green,61.68,689,1117,-0.12
126,0,06012,Greg Kraft,61.68,330,535,-0.05
128,0,27095,Nick Watney,61.67,592,960,-0.20
129,0,01320,Bob Estes,61.65,598,970,-0.14
130,0,20686,Jeev Milkha Singh,61.62,440,714,-0.15
131,0,28307,Matt Every,61.60,430,698,-0.19
132,0,23983,Luke Donald,61.38,445,725,-0.20
132,0,21209,Sergio Garcia,61.38,302,492,-0.16
134,0,28237,Rory McIlroy,61.30,339,553,-0.19
135,0,25364,Paul Casey,61.24,376,614,-0.22
136,0,01116,Michael Bradley,61.07,571,935,-0.14
137,0,25720,Chad Collins,60.99,630,1033,-0.18
137,0,23788,D.J. Trahan,60.99,688,1128,-0.17
139,0,27120,Troy Matteson,60.87,661,1086,-0.14
140,0,24502,Adam Scott,60.86,437,718,-0.16
141,0,07749,Brett Quigley,60.85,732,1203,-0.17
142,0,23621,Rory Sabbatini,60.82,565,929,-0.19
143,0,29221,Webb Simpson,60.73,767,1263,-0.19
144,0,26287,Roland Thatcher,60.69,565,931,-0.11
145,0,27770,Camilo Villegas,60.59,469,774,-0.19
146,0,20098,Stuart Appleby,60.35,729,1208,-0.15
147,0,27936,Martin Laird,60.20,655,1088,-0.19
148,0,26392,Chris Wilson,60.14,427,710,-0.07
149,0,21949,Joe Ogilvie,60.05,708,1179,-0.16
150,0,01161,Mark Calcavecchia,60.04,275,458,-0.08
151,0,01577,Lee Janzen,59.85,574,959,-0.14
152,0,32640,Troy Merritt,59.72,630,1055,-0.17
153,0,20593,Greg Chalmers,59.60,714,1198,-0.17
154,0,33419,Cameron Tringale,59.32,369,622,-0.15
155,0,22056,Cameron Percy,59.16,481,813,-0.17
156,0,24846,Ricky Barnes,58.62,663,1131,-0.18
157,0,01329,Brad Faxon,58.48,386,660,-0.08
158,0,23322,Brett Wetterich,58.39,428,733,-0.15
159,0,30946,Alex Prugh,58.12,637,1096,-0.19
160,0,06522,Ernie Els,58.01,442,762,-0.24
161,0,28089,Jason Day,57.95,565,975,-0.18
162,0,26851,Marc Leishman,57.85,571,987,-0.18
163,0,22371,Aaron Baddeley,57.78,691,1196,-0.18
164,0,20070,Matt Bettencourt,57.76,551,954,-0.18
164,0,23409,James Driscoll,57.76,588,1018,-0.20
166,0,12755,Vance Veazey,57.71,378,655,-0.11
167,0,26300,Matt Jones,57.38,630,1098,-0.19
168,0,22046,Geoff Ogilvy,57.18,394,689,-0.23
169,0,27613,David Lutterus,56.98,437,767,-0.10
170,0,09011,David Duval,56.97,429,753,-0.16
171,0,24358,Robert Garrigus,56.65,473,835,-0.20
172,0,25562,Andres Romero,56.58,559,988,-0.22
173,0,23320,Ryan Palmer,56.53,550,973,-0.21
174,0,25804,Bubba Watson,56.38,517,917,-0.19
175,0,25818,Scott Piercy,56.25,621,1104,-0.24
176,0,20766,Padraig Harrington,56.00,336,600,-0.19
177,0,28475,Jeff Overton,55.36,537,970,-0.19
178,0,27797,Derek Lamely,55.33,483,873,-0.12
179,0,27141,J.B. Holmes,55.22,661,1197,-0.25
180,0,20663,Brenden Pappas,55.20,414,750,-0.19
181,0,30925,Dustin Johnson,55.17,475,861,-0.24
182,0,23613,Rich Barcelo,55.13,430,780,-0.21
183,0,12782,Tim Herron,55.12,522,947,-0.19
184,0,21961,Charles Howell III,54.97,675,1228,-0.21
185,0,24490,George McNeill,54.54,523,959,-0.15
186,0,01249,John Daly,53.77,342,636,-0.18
187,0,20848,Ángel Cabrera,52.92,371,701,-0.18
188,0,10423,Mike Weir,52.57,286,544,-0.21
189,0,20850,Daniel Chopra,52.48,477,909,-0.14
190,0,25632,Jimmy Walker,52.13,490,940,-0.15
191,0,01810,Phil Mickelson,51.87,403,777,-0.26
192,0,28500,Martin Flores,49.02,425,867,-0.18
