RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,08385,Omar Uresti,18.79,159,846,+1.07
2,0,06621,Joe Durant,18.88,149,789,+1.41
3,0,19846,Brian Gay,20.02,229,1144,+0.66
4,0,07363,Craig Bowden,20.60,137,665,+1.68
5,0,01619,Skip Kendall,21.09,143,678,+1.82
6,0,23135,Tim Clark,21.27,201,945,+1.14
7,0,22293,Heath Slocum,21.30,217,1019,+0.32
8,0,02206,David Toms,21.98,213,969,+1.08
9,0,02239,Scott Verplank,22.06,171,775,+0.94
10,0,27060,John Mallinger,22.10,198,896,+1.46
11,0,20472,Alex Cejka,22.13,206,931,+1.65
12,0,20436,Garrett Willis,22.15,218,984,+0.73
13,0,24024,Zach Johnson,22.47,235,1046,+1.11
14,0,10809,Jim Furyk,22.69,189,833,+0.58
15,0,06643,Paul Goydos,22.76,208,914,+1.15
16,0,26420,Richard Johnson,22.83,231,1012,+1.86
17,0,08075,Jerry Kelly,23.08,264,1144,+1.14
18,0,01797,Rocco Mediate,23.10,194,840,+2.01
19,0,01766,Billy Mayfair,23.15,209,903,+0.96
20,0,22621,Ben Curtis,23.36,214,916,+1.26
21,0,23541,Ben Crane,23.69,217,916,+0.60
22,0,06251,Chris DiMarco,23.72,254,1071,+0.51
23,0,08725,Tom Gillis,23.84,298,1250,+0.74
24,0,25190,Jeff Quinney,24.00,265,1104,+1.13
25,0,21878,Mark Wilson,24.09,265,1100,+1.06
26,0,12510,Chad Campbell,24.11,271,1124,+1.37
27,0,24227,Justin Bolli,24.13,139,576,+1.73
28,0,25686,Jason Dufner,24.24,232,957,+1.16
29,0,28087,Kris Blanks,24.32,249,1024,+1.45
30,0,23638,Brendon de Jonge,24.46,306,1251,+0.98
31,0,27933,John Merrick,24.47,312,1275,+1.41
31,0,23325,Vaughn Taylor,24.47,267,1091,+0.97
33,0,28620,Aron Price,24.51,211,861,+1.42
34,0,21753,Brian Davis,24.53,303,1235,+1.29
35,0,29285,Brent Delahoussaye,24.57,159,647,+1.19
36,0,06004,Stephen Ames,24.58,235,956,+1.23
37,0,20127,Chris Riley,24.74,216,873,+1.25
38,0,12705,Cliff Kresge,24.80,154,621,+0.58
39,0,24361,Pat Perez,24.93,287,1151,+1.32
40,0,26301,James Nitties,24.96,278,1114,+1.08
41,0,23349,Charles Warren,24.97,189,757,+1.59
42,0,26596,Ryan Moore,25.06,212,846,+0.61
43,0,10860,Justin Leonard,25.17,252,1001,+1.07
44,0,06595,Kevin Sutherland,25.19,271,1076,+0.26
45,0,20572,Rod Pampling,25.21,244,968,+0.98
46,0,23108,Matt Kuchar,25.22,262,1039,E
47,0,26289,Boo Weekley,25.27,260,1029,+1.38
48,0,24357,K.J. Choi,25.30,213,842,+0.80
49,0,01948,Tim Petrovic,25.31,329,1300,+1.49
50,0,24912,Will MacKenzie,25.37,239,942,+0.88
51,0,22946,Henrik Bjornstad,25.40,206,811,+1.31
52,0,10585,Scott McCarron,25.57,292,1142,+0.55
53,0,07457,Steve Flesch,25.65,228,889,+0.66
54,0,24781,Hunter Mahan,25.67,238,927,+0.38
55,0,11123,Chris Couch,25.70,210,817,+0.57
55,0,01945,Kenny Perry,25.70,201,782,+1.24
57,0,01724,Jeff Maggert,25.77,225,873,+1.56
58,0,07867,Woody Austin,26.05,298,1144,+0.67
59,0,06514,Kevin Johnson,26.08,175,671,+1.94
60,0,20574,Mathew Goggin,26.17,274,1047,+1.86
61,0,08375,Paul Stankowski,26.19,192,733,+0.42
62,0,01706,Davis Love III,26.23,239,911,+0.59
63,0,10425,Jay Williamson,26.27,222,845,+1.26
64,0,01313,Steve Elkington,26.30,213,810,+0.56
64,0,25892,Steve Wheatcroft,26.30,208,791,+1.39
66,0,06527,Steve Stricker,26.32,205,779,-0.24
67,0,29910,Blake Adams,26.40,273,1034,+0.92
68,0,26695,Michael Letzig,26.50,292,1102,+0.82
69,0,26881,Jarrod Lyle,26.58,168,632,+0.18
70,0,27330,Josh Teater,26.59,335,1260,+1.79
71,0,20645,John Senden,26.60,320,1203,+0.72
71,0,27649,Brandt Snedeker,26.60,274,1030,+0.88
73,0,27466,Spencer Levin,26.70,362,1356,+0.91
73,0,27214,Kevin Streelman,26.70,295,1105,+1.29
75,0,32102,Rickie Fowler,26.72,306,1145,+0.42
76,0,01941,Tom Pernice Jr.,26.75,214,800,+1.59
77,0,20160,Charlie Wi,26.77,329,1229,+0.64
78,0,28780,Nicholas Thompson,26.94,285,1058,+1.26
79,0,24507,Jason Bohn,26.95,273,1013,+1.39
80,0,22405,Justin Rose,27.00,260,963,+0.04
81,0,24663,Y.E. Yang,27.07,219,809,+0.23
82,0,20157,Retief Goosen,27.12,198,730,-0.05
82,0,24924,Bill Haas,27.12,281,1036,E
84,0,27436,Graham DeLaet,27.13,283,1043,+0.04
85,0,25345,Carl Pettersson,27.17,310,1141,+0.68
86,0,22913,John Rollins,27.21,283,1040,+0.32
86,0,26951,Johnson Wagner,27.21,277,1018,+1.23
88,0,32617,Jerod Turner,27.24,149,547,+2.01
89,0,23353,J.J. Henry,27.37,297,1085,+0.30
90,0,20691,Greg Owen,27.39,232,847,+1.68
91,0,26679,Kevin Stadler,27.45,272,991,+0.96
92,0,20378,Mathias Grönberg,27.50,190,691,+1.11
93,0,22378,Trevor Immelman,27.57,161,584,+0.12
94,0,21731,Freddie Jacobson,27.58,294,1066,+1.02
94,0,27963,Chris Stroud,27.58,273,990,+0.40
96,0,23623,Bo Van Pelt,27.59,333,1207,+0.42
97,0,12602,Dean Wilson,27.69,180,650,-0.22
98,0,20105,Jeff Gove,27.70,169,610,+2.31
99,0,08537,J.P. Hayes,27.74,261,941,+1.00
100,0,21959,Ted Purdy,27.84,282,1013,+1.45
101,0,12716,Charley Hoffman,27.86,295,1059,+0.58
102,0,25396,Kevin Na,27.87,291,1044,+0.55
103,0,26882,Michael Sim,27.91,204,731,+0.34
104,0,10885,Robert Allenby,27.93,236,845,+0.42
104,0,25240,D.A. Points,27.93,305,1092,+0.89
106,0,20498,Briny Baird,27.99,304,1086,+1.02
107,0,12714,Chris Tidland,28.09,264,940,+0.68
108,0,25900,Lucas Glover,28.19,230,816,+0.57
109,0,28307,Matt Every,28.22,197,698,+1.22
110,0,21209,Sergio Garcia,28.25,139,492,-0.22
111,0,12652,Cameron Beckman,28.31,231,816,+1.43
112,0,23673,Michael Connell,28.36,302,1065,+1.09
113,0,01707,Steve Lowery,28.38,216,761,+1.20
114,0,31560,Brian Stuard,28.47,277,973,+1.23
115,0,23800,Bryce Molder,28.59,287,1004,+0.56
116,0,01161,Mark Calcavecchia,28.60,131,458,+1.22
117,0,25720,Chad Collins,28.65,296,1033,+1.22
118,0,06515,Shaun Micheel,28.79,211,733,+1.04
119,0,23548,Bill Lunde,28.80,265,920,+1.02
120,0,23307,Roger Tambellini,28.94,246,850,+1.42
121,0,06012,Greg Kraft,28.97,155,535,+2.32
122,0,21350,Ryuji Imada,29.03,335,1154,+0.93
123,0,01320,Bob Estes,29.07,282,970,+0.04
124,0,27302,Garth Mulroy,29.12,168,577,+1.01
125,0,24925,Jonathan Byrd,29.14,329,1129,+0.24
126,0,22122,Andrew McLardy,29.16,177,607,+0.85
127,0,23621,Rory Sabbatini,29.17,271,929,+0.22
128,0,07749,Brett Quigley,29.26,352,1203,+0.60
129,0,01116,Michael Bradley,29.41,275,935,+0.80
130,0,20229,Stewart Cink,29.46,264,896,+0.15
131,0,28158,Steve Marino,29.51,257,871,+0.70
132,0,24140,Sean O'Hair,29.68,268,903,+0.49
133,0,25364,Paul Casey,29.80,183,614,-0.05
134,0,24138,Ian Poulter,29.89,139,465,+1.37
135,0,20098,Stuart Appleby,29.97,362,1208,+0.41
136,0,26392,Chris Wilson,30.00,213,710,+0.99
137,0,33419,Cameron Tringale,30.06,187,622,+0.80
138,0,23718,Nathan Green,30.08,336,1117,+1.43
139,0,26287,Roland Thatcher,30.29,282,931,+0.92
140,0,27095,Nick Watney,30.42,292,960,-0.07
141,0,28237,Rory McIlroy,30.56,169,553,+0.24
142,0,01329,Brad Faxon,30.61,202,660,+2.62
143,0,22056,Cameron Percy,30.63,249,813,+0.16
144,0,06567,Vijay Singh,30.70,241,785,+0.41
145,0,32640,Troy Merritt,30.71,324,1055,+0.99
146,0,20593,Greg Chalmers,30.72,368,1198,+0.60
146,0,29221,Webb Simpson,30.72,388,1263,+0.44
148,0,24502,Adam Scott,30.78,221,718,-0.05
149,0,20686,Jeev Milkha Singh,30.81,220,714,+0.68
150,0,21949,Joe Ogilvie,30.87,364,1179,+0.74
151,0,26300,Matt Jones,31.06,341,1098,+0.41
152,0,23788,D.J. Trahan,31.12,351,1128,+0.11
153,0,27120,Troy Matteson,31.22,339,1086,+0.53
154,0,23409,James Driscoll,31.24,318,1018,+0.22
155,0,27770,Camilo Villegas,31.27,242,774,+0.62
156,0,24846,Ricky Barnes,31.30,354,1131,+0.42
157,0,23983,Luke Donald,31.31,227,725,-0.40
158,0,28089,Jason Day,31.49,307,975,+0.75
159,0,01577,Lee Janzen,31.60,303,959,+0.92
160,0,23322,Brett Wetterich,31.65,232,733,-0.22
161,0,27936,Martin Laird,31.99,348,1088,+0.60
162,0,09011,David Duval,32.01,241,753,+1.00
163,0,12755,Vance Veazey,32.06,210,655,+1.62
164,0,25818,Scott Piercy,32.16,355,1104,+0.90
165,0,20070,Matt Bettencourt,32.39,309,954,+0.97
166,0,22371,Aaron Baddeley,32.61,390,1196,-0.18
167,0,26851,Marc Leishman,32.62,322,987,+0.53
168,0,30946,Alex Prugh,32.76,359,1096,+0.72
169,0,23320,Ryan Palmer,32.79,319,973,+0.50
170,0,06522,Ernie Els,32.81,250,762,-0.20
171,0,27613,David Lutterus,32.99,253,767,+1.11
172,0,20663,Brenden Pappas,33.33,250,750,+1.28
173,0,22046,Geoff Ogilvy,33.38,230,689,+0.17
174,0,25562,Andres Romero,33.50,331,988,+0.82
175,0,24358,Robert Garrigus,33.53,280,835,+0.93
176,0,23613,Rich Barcelo,33.85,264,780,+1.70
177,0,27141,J.B. Holmes,33.92,406,1197,+0.10
178,0,20766,Padraig Harrington,34.00,204,600,+0.05
179,0,21961,Charles Howell III,34.12,419,1228,-0.17
179,0,28475,Jeff Overton,34.12,331,970,+0.51
181,0,24490,George McNeill,34.41,330,959,+0.15
182,0,25804,Bubba Watson,34.46,316,917,-0.60
183,0,30925,Dustin Johnson,34.49,297,861,+0.37
184,0,10423,Mike Weir,34.74,189,544,+1.69
185,0,27797,Derek Lamely,34.94,305,873,+1.11
186,0,12782,Tim Herron,35.16,333,947,+1.17
187,0,20850,Daniel Chopra,35.75,325,909,+0.34
188,0,01249,John Daly,36.95,235,636,+1.06
189,0,01810,Phil Mickelson,37.32,290,777,+0.17
190,0,25632,Jimmy Walker,37.77,355,940,-0.25
191,0,20848,Ángel Cabrera,37.80,265,701,E
192,0,28500,Martin Flores,38.18,331,867,+0.66
