RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
1,0,12510,Chad Campbell,35,0,1,1,2012450
2,0,30692,Scott Stallings,33,1,1,14,2012010
3,0,26476,Chez Reavie,27,0,1,13,2012450
4,0,28455,Will Claxton,26,1,2,1,2012150
4,0,33122,Russell Knox,26,1,1,9,2012430
4,0,22293,Heath Slocum,26,1,1,2,2012200
4,0,27649,Brandt Snedeker,26,0,1,7,2012320
8,0,23353,J.J. Henry,24,1,3,12,2012030
8,0,21961,Charles Howell III,24,1,3,18,2012450
10,0,21805,Harrison Frazar,23,1,2,3,2012010
10,0,10809,Jim Furyk,23,0,2,8,2012450
10,0,28475,Jeff Overton,23,9,1,10,2012300
10,0,26679,Kevin Stadler,23,0,4,9,2012390
14,0,24507,Jason Bohn,22,1,2,5,2012190
14,0,29479,Scott Brown,22,2,4,11,2012310
14,0,28093,Miguel Angel Carballo,22,1,1,18,2012150
14,0,32102,Rickie Fowler,22,0,4,5,2012190
14,0,22892,Jason Gore,22,0,1,7,2012310
14,0,12716,Charley Hoffman,22,1,2,10,2012150
14,0,34174,John Huh,22,0,1,7,2012430
14,0,27060,John Mallinger,22,0,1,17,2012060
14,0,27933,John Merrick,22,5,4,17,2012290
14,0,25396,Kevin Na,22,3,1,17,2012010
14,0,30110,Kyle Stanley,22,1,2,17,2012040
14,0,29518,Brendan Steele,22,3,1,10,2012430
14,0,23788,D.J. Trahan,22,10,2,13,2012480
27,0,27895,Jonas Blixt,21,1,1,5,2012150
27,0,27936,Martin Laird,21,0,3,14,2012010
27,0,27466,Spencer Levin,21,1,1,15,2012050
27,0,33419,Cameron Tringale,21,3,3,13,2012150
31,0,20098,Stuart Appleby,20,0,2,9,2012330
31,0,28307,Matt Every,20,5,3,8,2012390
31,0,24140,Sean O'Hair,20,2,1,13,2012450
31,0,25818,Scott Piercy,20,6,1,6,2012010
31,0,29476,Kyle Reifers,20,0,2,12,2012310
31,0,25834,Daniel Summerhays,20,0,1,10,2012190
31,0,32150,Michael Thompson,20,1,3,7,2012330
31,0,27770,Camilo Villegas,20,1,2,10,2012430
39,0,06004,Stephen Ames,19,0,1,6,2012020
39,0,25274,Steven Bowditch,19,1,1,15,2012450
